undine_01_f000001|Erstes Kapitel von Undine von Friedrich de la Motte Fouque.|Erstes Kapitel von Undine von Friedrich de la Motte Fouque.
undine_06_f000063|Undine war plötzlich ernst geworden und sah tiefsinnig vor sich nieder, während der Priester nach den nähern Umständen fragte und sich bei den Alten nach ihrer Einwilligung erkundigte.|Undine war plötzlich ernst geworden und sah tiefsinnig vor sich nieder, während der Priester nach den nähern Umständen fragte und sich bei den Alten nach ihrer Einwilligung erkundigte.
undine_06_f000064|Man kam nach mannigfachem Hin- und Herreden miteinander aufs reine; die Hausfrau ging, um den jungen Leuten das Brautgemach zu ordnen und zwei geweihte Kerzen,|Man kam nach mannigfachem Hin- und Herreden miteinander aufs reine; die Hausfrau ging, um den jungen Leuten das Brautgemach zu ordnen und zwei geweihte Kerzen,
undine_06_f000065|die sie seit langer Zeit verwahrt hielt, für die Trauungsfeierlichkeit hervorzusuchen.|die sie seit langer Zeit verwahrt hielt, für die Trauungsfeierlichkeit hervorzusuchen.
undine_06_f000066|Der Ritter nestelte indes an seiner goldnen Kette und wollte zwei Ringe losdrehen, um sie mit der Braut wechseln zu können.|Der Ritter nestelte indes an seiner goldnen Kette und wollte zwei Ringe losdrehen, um sie mit der Braut wechseln zu können.
undine_06_f000067|Diese aber fuhr, es bemerkend, aus ihrem tiefen Sinnen auf und sprach: Nicht also! Ganz bettelarm haben mich meine Eltern nicht in die Welt hineingeschickt;|Diese aber fuhr, es bemerkend, aus ihrem tiefen Sinnen auf und sprach: Nicht also! Ganz bettelarm haben mich meine Eltern nicht in die Welt hineingeschickt;
undine_06_f000068|vielmehr haben sie gewißlich schon frühe darauf gerechnet, daß ein solcher Abend aufgehn solle.|vielmehr haben sie gewißlich schon frühe darauf gerechnet, daß ein solcher Abend aufgehn solle.
undine_06_f000069|Damit war sie schnell aus der Tür und kam gleich darauf mit zwei kostbaren Ringen zurück, deren einen sie ihrem Bräutigam gab und den andern für sich behielt.|Damit war sie schnell aus der Tür und kam gleich darauf mit zwei kostbaren Ringen zurück, deren einen sie ihrem Bräutigam gab und den andern für sich behielt.
undine_06_f000070|Der alte Fischer war ganz erstaunt darüber und noch mehr die Hausfrau, die eben wieder hereintrat, daß beide diese Kleinodien noch niemals bei dem Kinde gesehn hatten.|Der alte Fischer war ganz erstaunt darüber und noch mehr die Hausfrau, die eben wieder hereintrat, daß beide diese Kleinodien noch niemals bei dem Kinde gesehn hatten.
undine_06_f000071|Meine Eltern, entgegnete Undine, ließen mir diese Dingerchen in das schöne Kleid nähen, das ich grade anhatte, da ich zu euch kam.|Meine Eltern, entgegnete Undine, ließen mir diese Dingerchen in das schöne Kleid nähen, das ich grade anhatte, da ich zu euch kam.
undine_06_f000072|Sie verboten mir auch, auf irgendeine Weise jemandem davon zu sagen vor meinem Hochzeitabend. Da habe ich sie denn also stille herausgetrennt und verborgengehalten bis heute.|Sie verboten mir auch, auf irgendeine Weise jemandem davon zu sagen vor meinem Hochzeitabend. Da habe ich sie denn also stille herausgetrennt und verborgengehalten bis heute.
undine_06_f000073|Der Priester unterbrach das weitere Fragen und Verwundern, indem er die geweihten Kerzen anzündete, sie auf einen Tisch stellte und das Brautpaar sich gegenübertreten hieß.|Der Priester unterbrach das weitere Fragen und Verwundern, indem er die geweihten Kerzen anzündete, sie auf einen Tisch stellte und das Brautpaar sich gegenübertreten hieß.
undine_06_f000074|Er gab sie sodann mit kurzen, feierlichen Worten zusammen, die alten Eheleute segneten die jungen, und die Braut lehnte sich leise zitternd und nachdenklich an den Ritter.|Er gab sie sodann mit kurzen, feierlichen Worten zusammen, die alten Eheleute segneten die jungen, und die Braut lehnte sich leise zitternd und nachdenklich an den Ritter.
undine_06_f000075|Da sagte der Priester mit einem Male: Ihr Leute seid doch seltsam! Was sagt ihr mir denn, ihr wäret die einzigen Menschen hier auf der Insel?|Da sagte der Priester mit einem Male: Ihr Leute seid doch seltsam! Was sagt ihr mir denn, ihr wäret die einzigen Menschen hier auf der Insel?
undine_06_f000076|Und während der ganzen Trauhandlung sah zu dem Fenster mir gegenüber ein ansehnlicher, langer Mann im weißen Mantel herein.|Und während der ganzen Trauhandlung sah zu dem Fenster mir gegenüber ein ansehnlicher, langer Mann im weißen Mantel herein.
undine_06_f000077|Er muß noch vor der Türe stehen, wenn ihr ihn etwa mit ins Haus nötigen wollt. – Gott bewahre! sagte die Wirtin zusammenfahrend, der alte Fischer schüttelte schweigend den Kopf,|Er muß noch vor der Türe stehen, wenn ihr ihn etwa mit ins Haus nötigen wollt. - Gott bewahre! sagte die Wirtin zusammenfahrend, der alte Fischer schüttelte schweigend den Kopf,
undine_06_f000078|und Huldbrand sprang nach dem Fenster.|und Huldbrand sprang nach dem Fenster.
undine_06_f000079|Es war ihm selbst, als sehe er noch einen weißen Streif, der aber bald im Dunkel gänzlich verschwand. Er redete dem Priester ein, daß er sich durchaus geirrt haben müsse,|Es war ihm selbst, als sehe er noch einen weißen Streif, der aber bald im Dunkel gänzlich verschwand. Er redete dem Priester ein, daß er sich durchaus geirrt haben müsse,
undine_06_f000080|und man setzte sich vertraulich mitsammen um den Herd.|und man setzte sich vertraulich mitsammen um den Herd.
undine_06_f000081|Ende des Sechstes Kapitels.|Ende des Sechstes Kapitels.
undine_07_f000001|Siebentes Kapitel von Undine von Friedrich de la Motte Fouque.|Siebentes Kapitel von Undine von Friedrich de la Motte Fouque.
undine_07_f000002|Diese librivox Aufnahme ist in der publik domain.|Diese librivox Aufnahme ist in der publik domain.
undine_07_f000003|Was sich weiter am Hochzeitabende begab|Was sich weiter am Hochzeitabende begab
undine_07_f000004|Gar sittig und still hatte sich Undine vor und während der Trauung bewiesen, nun aber war es, als schäumten alle die wunderlichen Grillen, welche in ihr hausten,|Gar sittig und still hatte sich Undine vor und während der Trauung bewiesen, nun aber war es, als schäumten alle die wunderlichen Grillen, welche in ihr hausten,
undine_07_f000005|um so dreister und kecklicher auf der Oberfläche hervor.|um so dreister und kecklicher auf der Oberfläche hervor.
undine_07_f000006|Sie neckte Bräutigam und Pflegeeltern und selbst den noch kaum so hochverehrten Priester mit allerhand kindischen Streichen, und als die Wirtin etwas dagegen sagen wollte,|Sie neckte Bräutigam und Pflegeeltern und selbst den noch kaum so hochverehrten Priester mit allerhand kindischen Streichen, und als die Wirtin etwas dagegen sagen wollte,
undine_07_f000007|brachten diese ein paar ernste Worte des Ritters, worin er Undinen mit großer Bedeutsamkeit seine Hausfrau nannte, zum Schweigen.|brachten diese ein paar ernste Worte des Ritters, worin er Undinen mit großer Bedeutsamkeit seine Hausfrau nannte, zum Schweigen.
undine_07_f000008|Ihm selbst indessen, dem Ritter, gefiel Undinens kindisches Bezeigen ebensowenig; aber da half kein Winken und kein Räuspern und keine tadelnde Rede.|Ihm selbst indessen, dem Ritter, gefiel Undinens kindisches Bezeigen ebensowenig; aber da half kein Winken und kein Räuspern und keine tadelnde Rede.
undine_07_f000009|Sooft die Braut ihres Lieblings Unzufriedenheit merkte – und das geschah einigemal –, ward sie freilich stiller, setzte sich neben ihn, streichelte ihn,|Sooft die Braut ihres Lieblings Unzufriedenheit merkte - und das geschah einigemal -, ward sie freilich stiller, setzte sich neben ihn, streichelte ihn,
undine_07_f000010|flüsterte ihm lächelnd etwas in das Ohr und glättete so die aufsteigenden Falten seiner Stirn.|flüsterte ihm lächelnd etwas in das Ohr und glättete so die aufsteigenden Falten seiner Stirn.
undine_07_f000011|Aber gleich darauf riß sie irgendein toller Einfall wieder in das gaukelnde Treiben hinein, und es ging nur ärger als zuvor.|Aber gleich darauf riß sie irgendein toller Einfall wieder in das gaukelnde Treiben hinein, und es ging nur ärger als zuvor.
undine_07_f000012|Da sagte der Priester sehr ernsthaft und sehr freundlich: Mein anmutiges junges Mägdlein, man kann Euch zwar nicht ohne Ergötzen ansehn, aber denkt darauf,|Da sagte der Priester sehr ernsthaft und sehr freundlich: Mein anmutiges junges Mägdlein, man kann Euch zwar nicht ohne Ergötzen ansehn, aber denkt darauf,
undine_07_f000013|Eure Seele beizeiten so zu stimmen, daß sie immer die Harmonie zu der Seele Eures angetrauten Bräutigams anklingen lasse.|Eure Seele beizeiten so zu stimmen, daß sie immer die Harmonie zu der Seele Eures angetrauten Bräutigams anklingen lasse.
undine_07_f000014|Seele! lachte ihn Undine an, das klingt recht hübsch und mag auch für die mehrsten Leute eine gar erbauliche und nutzreiche Regel sein.|Seele! lachte ihn Undine an, das klingt recht hübsch und mag auch für die mehrsten Leute eine gar erbauliche und nutzreiche Regel sein.
undine_07_f000015|Aber wenn nun eins gar keine Seele hat, bitt Euch, was soll es denn da stimmen? Und so geht es mir. – Der Priester schwieg tiefverletzt, im frommen Zürnen,|Aber wenn nun eins gar keine Seele hat, bitt Euch, was soll es denn da stimmen? Und so geht es mir. - Der Priester schwieg tiefverletzt, im frommen Zürnen,
undine_07_f000016|und kehrte sein Antlitz wehmütig von dem Mädchen ab.|und kehrte sein Antlitz wehmütig von dem Mädchen ab.
undine_07_f000017|Sie aber ging schmeichelnd auf ihn zu und sagte: Nein, hört doch erst ordentlich, eh Ihr böse ausseht, denn Euer Böseaussehn tut mir weh, und Ihr müßt doch keiner Kreatur weh tun,|Sie aber ging schmeichelnd auf ihn zu und sagte: Nein, hört doch erst ordentlich, eh Ihr böse ausseht, denn Euer Böseaussehn tut mir weh, und Ihr müßt doch keiner Kreatur weh tun,
undine_07_f000018|die Euch ihrerseits nichts zuleide getan hat.|die Euch ihrerseits nichts zuleide getan hat.
undine_07_f000019|Zeigt Euch nur duldsam gegen mich, und ich willes Euch ordentlich sagen, wie iches meine.|Zeigt Euch nur duldsam gegen mich, und ich willes Euch ordentlich sagen, wie iches meine.
undine_07_f000020|Man sah, sie stellte sich in Bereitschaft, etwas recht Ausführliches zu erzählen, aber plötzlich stockte sie, wie von einem innern Schauer ergriffen,|Man sah, sie stellte sich in Bereitschaft, etwas recht Ausführliches zu erzählen, aber plötzlich stockte sie, wie von einem innern Schauer ergriffen,
undine_07_f000021|und brach in einen reichen Strom der wehmütigsten Tränen aus.|und brach in einen reichen Strom der wehmütigsten Tränen aus.
undine_07_f000022|Sie wußten alle nicht mehr, was sie recht aus ihr machen sollten, und starrten sie in unterschiedlichen Besorgnissen schweigend an.|Sie wußten alle nicht mehr, was sie recht aus ihr machen sollten, und starrten sie in unterschiedlichen Besorgnissen schweigend an.
undine_07_f000023|Da sagte sie endlich, sich ihre Tränen abtrocknend und den Priester ernsthaft ansehend: Es muß etwas Liebes, aber auch etwas höchst Furchtbares um eine Seele sein.|Da sagte sie endlich, sich ihre Tränen abtrocknend und den Priester ernsthaft ansehend: Es muß etwas Liebes, aber auch etwas höchst Furchtbares um eine Seele sein.
undine_07_f000024|Um Gott, mein frommer Mann, wär es nicht besser, man würde ihrer nie teilhaftig? Sie schwieg wieder still, wie auf Antwort wartend, ihre Tränen waren gehemmt.|Um Gott, mein frommer Mann, wär es nicht besser, man würde ihrer nie teilhaftig? Sie schwieg wieder still, wie auf Antwort wartend, ihre Tränen waren gehemmt.
undine_07_f000025|Alle in der Hütte hatten sich von ihren Sitzen erhoben und traten schaudernd vor ihr zurück. Sie aber schien nur für den Geistlichen Augen zu haben,|Alle in der Hütte hatten sich von ihren Sitzen erhoben und traten schaudernd vor ihr zurück. Sie aber schien nur für den Geistlichen Augen zu haben,
undine_07_f000026|auf ihren Zügen malte sich der Ausdruck einer fürchtenden Neubegier, die eben deshalb den andern höchst furchtbar vorkam.|auf ihren Zügen malte sich der Ausdruck einer fürchtenden Neubegier, die eben deshalb den andern höchst furchtbar vorkam.
undine_07_f000027|Schwer muß die Seele lasten, fuhr sie fort, da ihr noch niemand antwortete, sehr schwer! Denn schon ihr annahendes Bild überschattet mich mit Angst und Trauer.|Schwer muß die Seele lasten, fuhr sie fort, da ihr noch niemand antwortete, sehr schwer! Denn schon ihr annahendes Bild überschattet mich mit Angst und Trauer.
undine_07_f000028|Und ach, ich war so leicht, so lustig sonst! – Und in einen erneuten Tränenstrom brach sie aus und schlug das Gewand vor ihrem Antlitze zusammen.|Und ach, ich war so leicht, so lustig sonst! - Und in einen erneuten Tränenstrom brach sie aus und schlug das Gewand vor ihrem Antlitze zusammen.
undine_07_f000029|Da trat der Preister, ernsten Ansehens, auf sie zu und sprach sie an und beschwur sie bei den heiligsten Namen, sie solle die lichte Hülle abwerfen, falls etwas Böses in ihr sei.|Da trat der Preister, ernsten Ansehens, auf sie zu und sprach sie an und beschwur sie bei den heiligsten Namen, sie solle die lichte Hülle abwerfen, falls etwas Böses in ihr sei.
undine_07_f000030|Sie aber sank vor ihm in die Knie, alles Fromme wiederholend, was er sprach, und Gott lobend und beteuernd, sie meine es gut mit der ganzen Welt.|Sie aber sank vor ihm in die Knie, alles Fromme wiederholend, was er sprach, und Gott lobend und beteuernd, sie meine es gut mit der ganzen Welt.
undine_07_f000031|Da sagte endlich der Priester zum Ritter: Herr Bräutigam, ich lasse Euch allein mit der, die ich Euch angetraut habe. Soviel ich ergründen kann,|Da sagte endlich der Priester zum Ritter: Herr Bräutigam, ich lasse Euch allein mit der, die ich Euch angetraut habe. Soviel ich ergründen kann,
undine_07_f000032|ist nichts Übles an ihr, wohl aber des Wundersamen viel.|ist nichts Übles an ihr, wohl aber des Wundersamen viel.
undine_07_f000033|Ich empfehle Euch Vorsicht, Liebe und Treue. – Damit ging er hinaus, die Fischersleute folgten ihm, sich bekreuzend.|Ich empfehle Euch Vorsicht, Liebe und Treue. - Damit ging er hinaus, die Fischersleute folgten ihm, sich bekreuzend.
undine_07_f000034|Undine war auf die Knie gesunken, sie entschleierte ihr Angesicht und sagte, scheu nach Huldbranden umblickend: Ach, nun willst du mich gewiß nicht behalten;|Undine war auf die Knie gesunken, sie entschleierte ihr Angesicht und sagte, scheu nach Huldbranden umblickend: Ach, nun willst du mich gewiß nicht behalten;
undine_07_f000035|und hab ich doch nichts Böses getan, ich armes, armes Kind!|und hab ich doch nichts Böses getan, ich armes, armes Kind!
undine_07_f000036|Sie sah dabei so unendlich anmutig und rührend aus, daß ihr Bräutigam alles Grauens und aller Rätselhaftigkeit vergaß, zu ihr hineilend und sie in seinen Armen emporrichtend.|Sie sah dabei so unendlich anmutig und rührend aus, daß ihr Bräutigam alles Grauens und aller Rätselhaftigkeit vergaß, zu ihr hineilend und sie in seinen Armen emporrichtend.
undine_07_f000037|Da lächelte sie durch ihre Tränen; es war, als wenn das Morgenrot auf kleinen Bächen spielt.|Da lächelte sie durch ihre Tränen; es war, als wenn das Morgenrot auf kleinen Bächen spielt.
undine_07_f000038|Du kannst nicht von mir lassen! flüsterte sie vertraulich und sicher und streichelte mit den zarten Händchen des Ritters Wangen.|Du kannst nicht von mir lassen! flüsterte sie vertraulich und sicher und streichelte mit den zarten Händchen des Ritters Wangen.
