tom_sawyer_01_f000001|Vorwort des Autors.|Vorwort des Autors.
tom_sawyer_03_f000040|Der Knabe, dessen Geschichte dieses Buch enthält, hatte keine Freude an dieser Predigt, er hörte sie einfach an - und vielleicht auch das nicht.|Der Knabe, dessen Geschichte dieses Buch enthält, hatte keine Freude an dieser Predigt, er hörte sie einfach an - und vielleicht auch das nicht.
tom_sawyer_03_f000041|Doch merkte er sich einzelne Details daraus, ganz unbewußt, denn, wie gesagt, er achtete kaum darauf,|Doch merkte er sich einzelne Details daraus, ganz unbewußt, denn, wie gesagt, er achtete kaum darauf,
tom_sawyer_03_f000042|aber er kannte den Sermon des Geistlichen schon längst und bemerkte es sofort, wenn mal irgend ein neuer Passus eingeschoben war, und das empfand er dann unangenehm;|aber er kannte den Sermon des Geistlichen schon längst und bemerkte es sofort, wenn mal irgend ein neuer Passus eingeschoben war, und das empfand er dann unangenehm;
tom_sawyer_03_f000043|er hielt Beisätze und Abweichungen von dem Althergebrachten für unnobel und unrecht.|er hielt Beisätze und Abweichungen von dem Althergebrachten für unnobel und unrecht.
tom_sawyer_03_f000044|Während der Predigt setzt sich eine Fliege auf den Sitz des Kirchenstuhls vor ihm und marterte ihn durch das fortwährende Aneinanderreiben ihrer Beine.|Während der Predigt setzt sich eine Fliege auf den Sitz des Kirchenstuhls vor ihm und marterte ihn durch das fortwährende Aneinanderreiben ihrer Beine.
tom_sawyer_03_f000045|Dann umarmte sie ihren eigenen Kopf und drückte ihn so stark, daß die Glieder am Kopfe angewachsen zu sein schienen,|Dann umarmte sie ihren eigenen Kopf und drückte ihn so stark, daß die Glieder am Kopfe angewachsen zu sein schienen,
tom_sawyer_03_f000046|fesselte ihre Flügel mit den Hinterbeinen und preßte sie an den Körper, wie einen Überrock und verrichtete ihre ganze Toilette mit einer Ruhe,|fesselte ihre Flügel mit den Hinterbeinen und preßte sie an den Körper, wie einen Überrock und verrichtete ihre ganze Toilette mit einer Ruhe,
tom_sawyer_03_f000047|als fühle sie sich vollkommen sicher.|als fühle sie sich vollkommen sicher.
tom_sawyer_03_f000048|Und so war es auch. Denn als sich Toms Hand ihr näherte, um sie zu erwischen, blieb sie ruhig sitzen.|Und so war es auch. Denn als sich Toms Hand ihr näherte, um sie zu erwischen, blieb sie ruhig sitzen.
tom_sawyer_03_f000049|Tom dachte, wenn sich ihm diese Beschäftigung bei Beginn der Predigt geboten hätte, würde es ein angenehmer Zeitvertreib für seinen Geist gewesen sein.|Tom dachte, wenn sich ihm diese Beschäftigung bei Beginn der Predigt geboten hätte, würde es ein angenehmer Zeitvertreib für seinen Geist gewesen sein.
tom_sawyer_03_f000050|Aber beim Schlußsatz begann seine Hand sich zu krümmen und sich vorwärts zu bewegen;|Aber beim Schlußsatz begann seine Hand sich zu krümmen und sich vorwärts zu bewegen;
tom_sawyer_03_f000051|und im Augenblick, da das Amen gesprochen wurde, war die Fliege eine Kriegsgefangene. Seine Tante sah es und veranlaßte ihre Befreiung.|und im Augenblick, da das Amen gesprochen wurde, war die Fliege eine Kriegsgefangene. Seine Tante sah es und veranlaßte ihre Befreiung.
tom_sawyer_03_f000052|Der Geistliche gab seinen Text an und behandelte den ersten Teil mit so gründlicher Langweile, daß manch ein Kopf zu nicken begann;|Der Geistliche gab seinen Text an und behandelte den ersten Teil mit so gründlicher Langweile, daß manch ein Kopf zu nicken begann;
tom_sawyer_03_f000053|ein anderer Teil wieder war so voll Feuer und Schwefel und setzte der Versammlung so zu, daß sie ganz geknickt und so klein und nichtig erschien,|ein anderer Teil wieder war so voll Feuer und Schwefel und setzte der Versammlung so zu, daß sie ganz geknickt und so klein und nichtig erschien,
tom_sawyer_03_f000054|daß es kaum der Erwähnung wert ist.|daß es kaum der Erwähnung wert ist.
tom_sawyer_03_f000055|Tom zählte die Seiten der Predigt, und nach dem Gottesdienst wußte er stets ganz genau, wie viel es gewesen waren, aber über die Predigt selbst wußte er selten etwas anzugeben.|Tom zählte die Seiten der Predigt, und nach dem Gottesdienst wußte er stets ganz genau, wie viel es gewesen waren, aber über die Predigt selbst wußte er selten etwas anzugeben.
tom_sawyer_03_f000056|Diesmal indessen gab er doch für eine kleine Weile Obacht.|Diesmal indessen gab er doch für eine kleine Weile Obacht.
tom_sawyer_03_f000057|Der Geistliche gab eine lange und rührende Schilderung vom Wiedersehen irdischer Schafe im Paradiese,|Der Geistliche gab eine lange und rührende Schilderung vom Wiedersehen irdischer Schafe im Paradiese,
tom_sawyer_03_f000058|wenn Löwe und Lamm beieinander liegen würden und ein kleines Kind sie am Gängelbande führen könnte.|wenn Löwe und Lamm beieinander liegen würden und ein kleines Kind sie am Gängelbande führen könnte.
tom_sawyer_03_f000059|Aber Pathos, Eifer, Moral - alles war verloren an dem kleinen Burschen;|Aber Pathos, Eifer, Moral - alles war verloren an dem kleinen Burschen;
tom_sawyer_03_f000060|er dachte bloß an die Herrlichkeit dieses Heldendarstellers unter den unsichtbaren Wesen;|er dachte bloß an die Herrlichkeit dieses Heldendarstellers unter den unsichtbaren Wesen;
tom_sawyer_03_f000061|und er stellte sich vor, wie schön es sein müsse, dieses Kind darzustellen - wenn der Löwe ein zahmer Löwe sein würde.|und er stellte sich vor, wie schön es sein müsse, dieses Kind darzustellen - wenn der Löwe ein zahmer Löwe sein würde.
tom_sawyer_03_f000062|Bei der Schlußbetrachtung geriet er dann wieder in tiefe Leiden. Er erinnerte sich plötzlich eines Schatzes, den er besaß und zog ihn hervor.|Bei der Schlußbetrachtung geriet er dann wieder in tiefe Leiden. Er erinnerte sich plötzlich eines Schatzes, den er besaß und zog ihn hervor.
tom_sawyer_03_f000063|Es war ein großes, schwarzes Ungeheuer, mit schrecklichen Kinnbacken - Kneifzangen, sagte Tom.|Es war ein großes, schwarzes Ungeheuer, mit schrecklichen Kinnbacken - Kneifzangen, sagte Tom.
tom_sawyer_03_f000064|Es befand sich in einer Zündholzschachtel. Das erste, was das Tier tat, war, ihn in den Finger zu beißen.|Es befand sich in einer Zündholzschachtel. Das erste, was das Tier tat, war, ihn in den Finger zu beißen.
tom_sawyer_03_f000065|Ein tüchtiger Nasenstüber folgte, und das Tier flog in einen Kirchenstuhl, wo es liegen blieb - der verwundete Finger wanderte in Toms Mund.|Ein tüchtiger Nasenstüber folgte, und das Tier flog in einen Kirchenstuhl, wo es liegen blieb - der verwundete Finger wanderte in Toms Mund.
tom_sawyer_03_f000066|Das Tier lag auf dem Rücken, hilflos mit den Beinen strampelnd, unfähig, aufzustehen.|Das Tier lag auf dem Rücken, hilflos mit den Beinen strampelnd, unfähig, aufzustehen.
tom_sawyer_03_f000067|Tom sah es und griff danach, aber es befand sich außerhalb seines Bereiches.|Tom sah es und griff danach, aber es befand sich außerhalb seines Bereiches.
tom_sawyer_03_f000068|Irgend jemand wollte sich auf den Stuhl niederlassen, sah das Tier ebenfalls und warf es kurzerhand herunter.|Irgend jemand wollte sich auf den Stuhl niederlassen, sah das Tier ebenfalls und warf es kurzerhand herunter.
tom_sawyer_03_f000069|Plötzlich kam ein herrenloser Pudel des Weges, trübselig, faul infolge der Sommerhitze, gelangweilt durch die Gefangenschaft, und sich nach einem Abenteuer umsehend.|Plötzlich kam ein herrenloser Pudel des Weges, trübselig, faul infolge der Sommerhitze, gelangweilt durch die Gefangenschaft, und sich nach einem Abenteuer umsehend.
tom_sawyer_03_f000070|Er entdeckte das Tier. Sein Schwanz richtete sich empor und begann zu wedeln.|Er entdeckte das Tier. Sein Schwanz richtete sich empor und begann zu wedeln.
tom_sawyer_03_f000071|Er betrachtete seinen Fund, ging um ihn herum, beschnüffelte ihn aus sicherer Entfernung, ging wieder im Kreis herum,|Er betrachtete seinen Fund, ging um ihn herum, beschnüffelte ihn aus sicherer Entfernung, ging wieder im Kreis herum,
tom_sawyer_03_f000072|kam näher und beschnüffelte ihn dreister, hob dann die Lefzen, schnappte nach ihm, ohne ihn zu fassen,|kam näher und beschnüffelte ihn dreister, hob dann die Lefzen, schnappte nach ihm, ohne ihn zu fassen,
tom_sawyer_03_f000073|wiederholte diese Prozedur mehrmals, begann zu spielen, legte sich, das Tier zwischen den Pfoten, und setzte seine Untersuchungen fort,|wiederholte diese Prozedur mehrmals, begann zu spielen, legte sich, das Tier zwischen den Pfoten, und setzte seine Untersuchungen fort,
tom_sawyer_03_f000074|wurde bald müde, gleichgültig und vergaß schließlich sein Spielzeug.|wurde bald müde, gleichgültig und vergaß schließlich sein Spielzeug.
tom_sawyer_03_f000075|Sein Kopf sank herab, und sein Kinn drückte immer mehr auf den Feind, welcher ihn plötzlich gepackt hielt.|Sein Kopf sank herab, und sein Kinn drückte immer mehr auf den Feind, welcher ihn plötzlich gepackt hielt.
tom_sawyer_03_f000076|Es ertönte ein scharfes Geheul, des Pudels Kopf schnellte in die Höhe, und das Tier flog ein paar Meter weit fort und lag nun wieder hilflos auf dem Rücken.|Es ertönte ein scharfes Geheul, des Pudels Kopf schnellte in die Höhe, und das Tier flog ein paar Meter weit fort und lag nun wieder hilflos auf dem Rücken.
tom_sawyer_03_f000077|Die nächstsitzenden Zuschauer stießen sich mit geheimem Vergnügen an, einzelne Gesichter verschwanden hinter Fächern und Taschentüchern, und Tom war ganz glücklich.|Die nächstsitzenden Zuschauer stießen sich mit geheimem Vergnügen an, einzelne Gesichter verschwanden hinter Fächern und Taschentüchern, und Tom war ganz glücklich.
tom_sawyer_03_f000078|Der Hund machte ein böses Gesicht und war wohl auch so gestimmt.|Der Hund machte ein böses Gesicht und war wohl auch so gestimmt.
tom_sawyer_03_f000079|Er war im Herzen gekränkt und brütete Rache. So ging er wieder zu dem Tier und machte einen neuen, heftigen Angriff,|Er war im Herzen gekränkt und brütete Rache. So ging er wieder zu dem Tier und machte einen neuen, heftigen Angriff,
tom_sawyer_03_f000080|indem er von verschiedenen Punkten eines Kreises aus, dessen Mittelpunkt sein Opfer bildete, auf dieses zusprang,|indem er von verschiedenen Punkten eines Kreises aus, dessen Mittelpunkt sein Opfer bildete, auf dieses zusprang,
tom_sawyer_03_f000081|mit den Vorderpfoten dicht vor seinen Augen fuchtelte, mit den Zähnen nach ihm schnappte und den Kopf dicht vor ihm schüttelte, daß die Ohren flogen.|mit den Vorderpfoten dicht vor seinen Augen fuchtelte, mit den Zähnen nach ihm schnappte und den Kopf dicht vor ihm schüttelte, daß die Ohren flogen.
tom_sawyer_03_f000082|Nach einer Weile wurde es ihm wieder langweilig. Er begann ein Spiel mit einer Fliege, aber das bot keinen rechten Ersatz.|Nach einer Weile wurde es ihm wieder langweilig. Er begann ein Spiel mit einer Fliege, aber das bot keinen rechten Ersatz.
tom_sawyer_03_f000083|Darauf lief er ein paarmal im Kreis herum, die Schnauze dicht an der Erde und bekam auch das satt.|Darauf lief er ein paarmal im Kreis herum, die Schnauze dicht an der Erde und bekam auch das satt.
tom_sawyer_03_f000084|Er gähnte, seufzte, vergaß das Tier völlig und setzte sich gerade darauf.|Er gähnte, seufzte, vergaß das Tier völlig und setzte sich gerade darauf.
tom_sawyer_03_f000085|Wieder ein durchdringender Schrei, und der Pudel sprang hilfesuchend auf einen Stuhl.|Wieder ein durchdringender Schrei, und der Pudel sprang hilfesuchend auf einen Stuhl.
tom_sawyer_03_f000086|Das Geschrei dauerte fort, und der Pudel tanzte dicht vor dem Altar herum, lief einen Gang hinunter, sprang an der Tür in die Höhe und flehte um menschliche Hilfe.|Das Geschrei dauerte fort, und der Pudel tanzte dicht vor dem Altar herum, lief einen Gang hinunter, sprang an der Tür in die Höhe und flehte um menschliche Hilfe.
tom_sawyer_03_f000087|Seine Angst nahm fortwährend zu, bis er plötzlich wie ein behaarter Komet in seinem Weltenraum herumfuhr.|Seine Angst nahm fortwährend zu, bis er plötzlich wie ein behaarter Komet in seinem Weltenraum herumfuhr.
tom_sawyer_03_f000088|Schließlich verließ der zum Wahnsinn getriebene Dulder seine Bahn und sprang auf den Schoß seines Herrn.|Schließlich verließ der zum Wahnsinn getriebene Dulder seine Bahn und sprang auf den Schoß seines Herrn.
tom_sawyer_03_f000089|Dieser warf ihn aus dem Fenster, und die Stimme des unglücklichen Geschöpfes entfernte sich und erstarb in der Ferne.|Dieser warf ihn aus dem Fenster, und die Stimme des unglücklichen Geschöpfes entfernte sich und erstarb in der Ferne.
tom_sawyer_03_f000090|Inzwischen saß die ganze Versammlung, rot vor unterdrücktem Lachen, und die Predigt hatte völlig aufgehört.|Inzwischen saß die ganze Versammlung, rot vor unterdrücktem Lachen, und die Predigt hatte völlig aufgehört.
tom_sawyer_03_f000091|Jetzt wurde sie wieder aufgenommen, aber sie ging stockend und abgerissen vor sich, und mit der Aufmerksamkeit war es nichts mehr.|Jetzt wurde sie wieder aufgenommen, aber sie ging stockend und abgerissen vor sich, und mit der Aufmerksamkeit war es nichts mehr.
tom_sawyer_03_f000092|Denn selbst die heiligste Andacht war beeinflußt durch schlecht unterdrückte höchst unheilige Heiterkeit, als wenn der arme Geistliche irgend einen schlechten Witz gemacht hätte.|Denn selbst die heiligste Andacht war beeinflußt durch schlecht unterdrückte höchst unheilige Heiterkeit, als wenn der arme Geistliche irgend einen schlechten Witz gemacht hätte.
tom_sawyer_03_f000093|Es bedeutete eine wahre Erleichterung für die Versammlung, als der Gottesdienst zu Ende und der Segen gesprochen war.|Es bedeutete eine wahre Erleichterung für die Versammlung, als der Gottesdienst zu Ende und der Segen gesprochen war.
tom_sawyer_03_f000094|Tom schlenderte höchst gemütlich heim und dachte bei sich, so ein Gottesdienst wäre doch ganz nett, wenn ein bißchen Abwechselung dabei sei.|Tom schlenderte höchst gemütlich heim und dachte bei sich, so ein Gottesdienst wäre doch ganz nett, wenn ein bißchen Abwechselung dabei sei.
tom_sawyer_03_f000095|Nur ein Gedanke quälte ihn; er hatte allerdings die Absicht gehabt, den Hund mit seiner Beißzange spielen zu lassen, aber er hätte sie nicht fortschleppen sollen.|Nur ein Gedanke quälte ihn; er hatte allerdings die Absicht gehabt, den Hund mit seiner Beißzange spielen zu lassen, aber er hätte sie nicht fortschleppen sollen.
tom_sawyer_03_f000096|Sechstes Kapitel.|Sechstes Kapitel.
tom_sawyer_03_f000097|Der Montagmorgen fand Tom höchst übler Laune. Jeder Montagmorgen fand ihn so, denn er eröffnete eine neue Woche voll von Schul-Leiden und -Sorgen.|Der Montagmorgen fand Tom höchst übler Laune. Jeder Montagmorgen fand ihn so, denn er eröffnete eine neue Woche voll von Schul-Leiden und -Sorgen.
tom_sawyer_03_f000098|Stets wurde dieser Tag mit Seufzen begonnen; er hätte in diesem Augenblick gewünscht, daß es gar keine die Woche unterbrechenden Feiertage geben möge;|Stets wurde dieser Tag mit Seufzen begonnen; er hätte in diesem Augenblick gewünscht, daß es gar keine die Woche unterbrechenden Feiertage geben möge;
tom_sawyer_03_f000099|denn doppelt schwer war es danach, sich in neue Sklaverei und Fronarbeit zu begeben.|denn doppelt schwer war es danach, sich in neue Sklaverei und Fronarbeit zu begeben.
tom_sawyer_03_f000100|Tom lag und dachte nach. Plötzlich kam ihm dann der Wunsch, krank zu sein, um zu Hause bleiben zu können.|Tom lag und dachte nach. Plötzlich kam ihm dann der Wunsch, krank zu sein, um zu Hause bleiben zu können.
tom_sawyer_03_f000101|Das war ein Gedanke. Er überlegte sich die Sache. Aber er konnte keine Krankheit finden und grübelte und grübelte.|Das war ein Gedanke. Er überlegte sich die Sache. Aber er konnte keine Krankheit finden und grübelte und grübelte.
tom_sawyer_03_f000102|Einmal glaubte er Anzeichen von Kolik zu entdecken und fing bereits an, sich trügerischen Hoffnungen hinzugeben.|Einmal glaubte er Anzeichen von Kolik zu entdecken und fing bereits an, sich trügerischen Hoffnungen hinzugeben.
tom_sawyer_03_f000103|Aber bald wurden diese Symptome wieder schwächer, um endlich ganz zu verschwinden. Also mußte er weiter denken. Plötzlich entdeckte er etwas. Einer seiner Oberzähne war locker.|Aber bald wurden diese Symptome wieder schwächer, um endlich ganz zu verschwinden. Also mußte er weiter denken. Plötzlich entdeckte er etwas. Einer seiner Oberzähne war locker.
tom_sawyer_03_f000104|Das war ein Glücksfall. Er war im Begriff, anzufangen zu stöhnen Starter pflegte er eine solche Improvisation zu nennen,|Das war ein Glücksfall. Er war im Begriff, anzufangen zu stöhnen Starter pflegte er eine solche Improvisation zu nennen,
