reisenachtilsit_1_f000001|Die Reise nach Tilsit Eine litauische Geschichte Wilwischken liegt am Haff.|Die Reise nach Tilsit Eine litauische Geschichte Wilwischken liegt am Haff.
reisenachtilsit_4_f000092|Da die Flasche mit dem Rosenlikör nun einmal hervorgeholt ist, wäre es unklug gewesen, sie wieder zu verstauen.|Da die Flasche mit dem Rosenlikör nun einmal hervorgeholt ist, wäre es unklug gewesen, sie wieder zu verstauen.
reisenachtilsit_4_f000093|Sie trinken also ab und zu einen Tropfen und werden immer glücklicher.|Sie trinken also ab und zu einen Tropfen und werden immer glücklicher.
reisenachtilsit_4_f000094|Noch an mancher Trift kommen sie vorbei und singen mit, was sie nur singen können, aber halten tun sie nicht mehr.|Noch an mancher Trift kommen sie vorbei und singen mit, was sie nur singen können, aber halten tun sie nicht mehr.
reisenachtilsit_4_f000095|Dazu ist der Rosenlikör ihnen zu schade.|Dazu ist der Rosenlikör ihnen zu schade.
reisenachtilsit_4_f000096|Manchmal will auch der Schlaf sie befallen, aber sie wehren sich tapfer.|Manchmal will auch der Schlaf sie befallen, aber sie wehren sich tapfer.
reisenachtilsit_4_f000097|Denn sonst weiß Gott, auf welcher Sandbank sie dann sitzen blieben!|Denn sonst weiß Gott, auf welcher Sandbank sie dann sitzen blieben!
reisenachtilsit_4_f000098|Nur eins darf der Ansas sich gönnen nämlich von dem Abschlag hernieder auf die Bodenbretter zu gleiten.|Nur eins darf der Ansas sich gönnen nämlich von dem Abschlag hernieder auf die Bodenbretter zu gleiten.
reisenachtilsit_4_f000099|So kann er die Indre in seinem linken Arm halten und mit dem rechten das Steuer versehen.|So kann er die Indre in seinem linken Arm halten und mit dem rechten das Steuer versehen.
reisenachtilsit_4_f000100|Und die Indre liegt mit dem Kopf auf seiner Brust und denkt selig: Der Endrik und die Elske und der Willus und nun sind wir alle fünfe wieder eins.|Und die Indre liegt mit dem Kopf auf seiner Brust und denkt selig: Der Endrik und die Elske und der Willus und nun sind wir alle fünfe wieder eins.
reisenachtilsit_4_f000101|Mit einemmal sie wissen nicht wie ist Ruß da.|Mit einemmal sie wissen nicht wie ist Ruß da.
reisenachtilsit_4_f000102|Sie erkennen es an dem Brionischker Schornstein, der wie ein warnender Finger zu ihnen sagt: Paßt auf!|Sie erkennen es an dem Brionischker Schornstein, der wie ein warnender Finger zu ihnen sagt: Paßt auf!
reisenachtilsit_4_f000103|Die Dzimken, die dort mit ihren Triften liegen, sind nun richtig schlafen gegangen.|Die Dzimken, die dort mit ihren Triften liegen, sind nun richtig schlafen gegangen.
reisenachtilsit_4_f000104|Auch ihr Kesselfeuer brennt nicht mehr.|Auch ihr Kesselfeuer brennt nicht mehr.
reisenachtilsit_4_f000105|Aber ob die tausendmal stillschweigen, was macht es aus?|Aber ob die tausendmal stillschweigen, was macht es aus?
reisenachtilsit_4_f000106|Von Ruß gibt es ein hübsches Liedchen: Zwei Fischer waren, Zwei schöne Knaben, Aus Ruß gen Westen Zum Haff gefahren.|Von Ruß gibt es ein hübsches Liedchen: Zwei Fischer waren, Zwei schöne Knaben, Aus Ruß gen Westen Zum Haff gefahren.
reisenachtilsit_4_f000107|Das singen sie aus voller Kehle, und um hernach die Kehle anzufeuchten, wollen sie sich noch einen Schluck von dem Rosenlikör genehmigen, aber siehe da die Flasche ist leer.|Das singen sie aus voller Kehle, und um hernach die Kehle anzufeuchten, wollen sie sich noch einen Schluck von dem Rosenlikör genehmigen, aber siehe da die Flasche ist leer.
reisenachtilsit_4_f000108|Sie lachen furchtbar, und der Ansas wird immer zärtlicher.|Sie lachen furchtbar, und der Ansas wird immer zärtlicher.
reisenachtilsit_4_f000109|Ach, liebes Ansaschen, bittet die Indre, gleich kommt der große Ellenbogen, und dann geht es westwärts, bis dahin muß du hübsch artig sein.|Ach, liebes Ansaschen, bittet die Indre, gleich kommt der große Ellenbogen, und dann geht es westwärts, bis dahin muß du hübsch artig sein.
reisenachtilsit_4_f000110|Ansas hört noch einmal auf sie, und da ist auch schon der blanke Szieszefluß, da wo die Krümmung beginnt.|Ansas hört noch einmal auf sie, und da ist auch schon der blanke Szieszefluß, da wo die Krümmung beginnt.
reisenachtilsit_4_f000111|Er holt die Segelleine mehr an und steuert nach links.|Er holt die Segelleine mehr an und steuert nach links.
reisenachtilsit_4_f000112|Es geht zwar schwer, aber es geht doch immer.|Es geht zwar schwer, aber es geht doch immer.
reisenachtilsit_4_f000113|Bis nach Windenburg hin, die anderthalb Meilen, läuft der Strom nun so schnurgerade, wie nur die Eisenbahn läuft.|Bis nach Windenburg hin, die anderthalb Meilen, läuft der Strom nun so schnurgerade, wie nur die Eisenbahn läuft.
reisenachtilsit_4_f000114|Kaum daß man hinter der Mündung der Mole ein wenig auszuweichen braucht.|Kaum daß man hinter der Mündung der Mole ein wenig auszuweichen braucht.
reisenachtilsit_4_f000115|Bei Windenburg freilich, wo die gefährliche Stelle ist, dort, wo gerade bei Südwind der Wellendrang aus dem breiten, tiefen Haff seitlich stark einsetzt,|Bei Windenburg freilich, wo die gefährliche Stelle ist, dort, wo gerade bei Südwind der Wellendrang aus dem breiten, tiefen Haff seitlich stark einsetzt,
reisenachtilsit_4_f000116|dort muß man die Sinne doppelt beisammen halten aber bis dahin ist noch lange, lange ach, wie lange Zeit!|dort muß man die Sinne doppelt beisammen halten aber bis dahin ist noch lange, lange ach, wie lange Zeit!
reisenachtilsit_4_f000117|Indre, wenn du mir meine Sünden wirklich vergeben hast, dann mußt dues mir auch beweisen.|Indre, wenn du mir meine Sünden wirklich vergeben hast, dann mußt dues mir auch beweisen.
reisenachtilsit_4_f000118|Ansaschen, du mußt aufpassen. Ach was, aufpassen!|Ansaschen, du mußt aufpassen. Ach was, aufpassen!
reisenachtilsit_4_f000119|Wenn man so lange blind und verhext neben der Besten, der Schönsten, neben einer Gottestochter dahergegangen ist und die Augen sind wieder aufgetan, was heißt da aufpassen?|Wenn man so lange blind und verhext neben der Besten, der Schönsten, neben einer Gottestochter dahergegangen ist und die Augen sind wieder aufgetan, was heißt da aufpassen?
reisenachtilsit_4_f000120|Meine Indre! Mein Ansaschen!|Meine Indre! Mein Ansaschen!
reisenachtilsit_4_f000121|Und nun liegen sie in ruhiger Seligkeit nebeneinander.|Und nun liegen sie in ruhiger Seligkeit nebeneinander.
reisenachtilsit_4_f000122|Der Kahn fährt dahin, als säße die Laime selber am Steuer.|Der Kahn fährt dahin, als säße die Laime selber am Steuer.
reisenachtilsit_4_f000123|Ansaschen aber nicht einschlafen!|Ansaschen aber nicht einschlafen!
reisenachtilsit_4_f000124|Ach, wo werde ich einschlafen.|Ach, wo werde ich einschlafen.
reisenachtilsit_4_f000125|Ansaschen wer einschläft, den muß der andere wecken.|Ansaschen wer einschläft, den muß der andere wecken.
reisenachtilsit_4_f000126|Jawohl den muß der andere wecken. Ansaschen, du schläfst!|Jawohl den muß der andere wecken. Ansaschen, du schläfst!
reisenachtilsit_4_f000127|Wer so was sagen kann der schläft selber. Ansaschen, wach auf!|Wer so was sagen kann der schläft selber. Ansaschen, wach auf!
reisenachtilsit_4_f000128|Ich wache. Wachst du? Und so schlafen sie ein.|Ich wache. Wachst du? Und so schlafen sie ein.
reisenachtilsit_4_f000129|Die Ane Doczys hat keine Ruh in ihrem Bett.|Die Ane Doczys hat keine Ruh in ihrem Bett.
reisenachtilsit_4_f000130|Sie weckt also ihren Mann und sagt: Doczys, steh auf, wir wollen aufs Haff hinausfahren.|Sie weckt also ihren Mann und sagt: Doczys, steh auf, wir wollen aufs Haff hinausfahren.
reisenachtilsit_4_f000131|Warum sollen wir aufs Haff hinausfahren? fragt der Doczys, sich den Schlaf aus den Augen reibend.|Warum sollen wir aufs Haff hinausfahren? fragt der Doczys, sich den Schlaf aus den Augen reibend.
reisenachtilsit_4_f000132|Fischen tue ich erst morgen.|Fischen tue ich erst morgen.
reisenachtilsit_4_f000133|Die Indre hat solche Reden geführt, sagt die Doczene, es ist besser, wir fahren ihnen entgegen.|Die Indre hat solche Reden geführt, sagt die Doczene, es ist besser, wir fahren ihnen entgegen.
reisenachtilsit_4_f000134|Da fügt er sich mit Seufzen, zieht sich an und setzt die Segel.|Da fügt er sich mit Seufzen, zieht sich an und setzt die Segel.
reisenachtilsit_4_f000135|Wie sie aufs Haff hinausfahren, wird es schon Tag, und der Frühnebel liegt so dicht, daß sie keine Handbreit vorauf sehen können.|Wie sie aufs Haff hinausfahren, wird es schon Tag, und der Frühnebel liegt so dicht, daß sie keine Handbreit vorauf sehen können.
reisenachtilsit_4_f000136|Wohin soll ich fahren? fragt der Doczys.|Wohin soll ich fahren? fragt der Doczys.
reisenachtilsit_4_f000137|Nach Windenburg zu, bestimmt die Doczene.|Nach Windenburg zu, bestimmt die Doczene.
reisenachtilsit_4_f000138|Der Südwind wirft ihnen kurze, harte Wellen entgegen, und sie müssen kreuzen.|Der Südwind wirft ihnen kurze, harte Wellen entgegen, und sie müssen kreuzen.
reisenachtilsit_4_f000139|Da, mit einemmal horcht die Doczene hoch auf.|Da, mit einemmal horcht die Doczene hoch auf.
reisenachtilsit_4_f000140|Eine Stimme ist hilferufend aus dem Nebel gedrungen eine Frauenstimme.|Eine Stimme ist hilferufend aus dem Nebel gedrungen eine Frauenstimme.
reisenachtilsit_4_f000141|Gerade drauf zu! schreit die Doczene.|Gerade drauf zu! schreit die Doczene.
reisenachtilsit_4_f000142|Aber er muß ja kreuzen.|Aber er muß ja kreuzen.
reisenachtilsit_4_f000143|Und sie kommen schließlich doch näher ganz nahe kommen sie.|Und sie kommen schließlich doch näher ganz nahe kommen sie.
reisenachtilsit_4_f000144|Da finden sie die Indre auf dem Wasser liegen, wie die Wellen sie auf und nieder schaukeln.|Da finden sie die Indre auf dem Wasser liegen, wie die Wellen sie auf und nieder schaukeln.
reisenachtilsit_4_f000145|Wie hat es zugehen können, daß sie nicht ertrunken ist?|Wie hat es zugehen können, daß sie nicht ertrunken ist?
reisenachtilsit_4_f000146|Rechts und links von ihrer Brust ragen halb aus dem Wasser zwei Bündel von grünen Binsen, die sind mit einem Bindfaden auf dem Rücken zusammengebunden.|Rechts und links von ihrer Brust ragen halb aus dem Wasser zwei Bündel von grünen Binsen, die sind mit einem Bindfaden auf dem Rücken zusammengebunden.
reisenachtilsit_4_f000147|Sie ziehen sie in den Kahn, und sie schreit immerzu: Rettet den Ansas!|Sie ziehen sie in den Kahn, und sie schreit immerzu: Rettet den Ansas!
reisenachtilsit_4_f000148|Rettet den Ansas!|Rettet den Ansas!
reisenachtilsit_4_f000149|Ja wo ist der Ansas?|Ja wo ist der Ansas?
reisenachtilsit_4_f000150|Sie weiß von nichts.|Sie weiß von nichts.
reisenachtilsit_4_f000151|Zuletzt, als sie wieder hochgekommen ist, da hat sie seine Hände gefühlt, wie er wassertretend die Binsen an ihr befestigte.|Zuletzt, als sie wieder hochgekommen ist, da hat sie seine Hände gefühlt, wie er wassertretend die Binsen an ihr befestigte.
reisenachtilsit_4_f000152|Und von da an weiß sie nichts mehr von ihm.|Und von da an weiß sie nichts mehr von ihm.
reisenachtilsit_4_f000153|Sie rufen und suchen, aber sie finden ihn nicht.|Sie rufen und suchen, aber sie finden ihn nicht.
reisenachtilsit_4_f000154|Nur den umgeschlagenen Kahn finden sie.|Nur den umgeschlagenen Kahn finden sie.
reisenachtilsit_4_f000155|An dem hätte er sich wohl halten können, aber er ist ihm sicher davongeschwommen, dieweil er die Binsen an Indres Leib befestigte.|An dem hätte er sich wohl halten können, aber er ist ihm sicher davongeschwommen, dieweil er die Binsen an Indres Leib befestigte.
reisenachtilsit_4_f000156|Fünf Stunden lang suchen sie, und die Indre liegt auf den Knien und betet um ein Wunder.|Fünf Stunden lang suchen sie, und die Indre liegt auf den Knien und betet um ein Wunder.
reisenachtilsit_4_f000157|Aber das Wunder ist nicht geschehen.|Aber das Wunder ist nicht geschehen.
reisenachtilsit_4_f000158|Zwei Tage später lag er oberwärts friedlich am Strande.|Zwei Tage später lag er oberwärts friedlich am Strande.
reisenachtilsit_4_f000159|Neun Monate nach dem Tode des Ansas gebar ihm die Indre einen Sohn.|Neun Monate nach dem Tode des Ansas gebar ihm die Indre einen Sohn.
reisenachtilsit_4_f000160|Er wurde nach ihrem Wunsch in der heiligen Taufe Galas, das heißt Abschluß, benannt.|Er wurde nach ihrem Wunsch in der heiligen Taufe Galas, das heißt Abschluß, benannt.
reisenachtilsit_4_f000161|Doch weil der Name ungebräuchlich ist, hat man ihn meistens nach dem Vater gerufen.|Doch weil der Name ungebräuchlich ist, hat man ihn meistens nach dem Vater gerufen.
reisenachtilsit_4_f000162|Und heute ist er ein ansehnlicher Mann.|Und heute ist er ein ansehnlicher Mann.
reisenachtilsit_4_f000163|Der Endrik hält die väterliche Wirtschaft in gutem Stande, die Elske hat einen wohlhabenden Besitzer geheiratet, und der Willus ist richtig ein Pfarrer geworden.|Der Endrik hält die väterliche Wirtschaft in gutem Stande, die Elske hat einen wohlhabenden Besitzer geheiratet, und der Willus ist richtig ein Pfarrer geworden.
reisenachtilsit_4_f000164|Seine Gemeinde sieht in ihm einen Abgesandten des Herrn, und auch die Gebetsleute halten zu ihm.|Seine Gemeinde sieht in ihm einen Abgesandten des Herrn, und auch die Gebetsleute halten zu ihm.
reisenachtilsit_4_f000165|Die Indre ist nun eine alte Frau und lebt im Ausgedinge bei dem ältesten Sohn.|Die Indre ist nun eine alte Frau und lebt im Ausgedinge bei dem ältesten Sohn.
reisenachtilsit_4_f000166|Wenn sie zur Kirche geht, neigen sich alle vor ihr.|Wenn sie zur Kirche geht, neigen sich alle vor ihr.
reisenachtilsit_4_f000167|Sie weiß, daß sie nun bald im Himmel mit Ansas vereint sein wird, denn Gott ist den Sündern gnädig.|Sie weiß, daß sie nun bald im Himmel mit Ansas vereint sein wird, denn Gott ist den Sündern gnädig.
reisenachtilsit_4_f000168|Und also gnädig sei er auch uns!|Und also gnädig sei er auch uns!
