das_letzte_marchen_004_f000001|Abschnitt 4 von das letzte Märchen vom Paul Keller.|Abschnitt vier von das letzte Marchen vom Paul Keller.
das_letzte_marchen_002_f000049|Ich kann unserem Auswärtigen Amt den Vorwurf nicht ersparen, daß es an der Grenze von Herididasufoturanien nicht für eine dem Deutschen Reiche würdige Beleuchtung gesorgt hat, und ich werde die Sache energisch zur Sprache bringen, falls ich noch einmal in den Reichstag gewählt werden sollte.|Ich kann unserem Auswärtigen Amt den Vorwurf nicht ersparen, daß es an der Grenze von Herididasufoturanien nicht für eine dem Deutschen Reiche würdige Beleuchtung gesorgt hat, und ich werde die Sache energisch zur Sprache bringen, falls ich noch einmal in den Reichstag gewählt werden sollte.
das_letzte_marchen_002_f000050|Zwei herididasufoturanische Grenzjäger tauchten auf und forschten nach Dynamitbomben und Alkohol.|Zwei herididasufoturanische Grenzjäger tauchten auf und forschten nach Dynamitbomben und Alkohol.
das_letzte_marchen_002_f000051|Wir hatten nichts Steuerbares oder Verbotenes und konnten passieren.|Wir hatten nichts Steuerbares oder Verbotenes und konnten passieren.
das_letzte_marchen_002_f000052|(In Parenthese bemerke ich, daß deutsche Grenzjäger da unten auch fehlen; ich muß unbedingt in den Reichstag.)|In Parenthese bemerke ich, daß deutsche Grenzjäger da unten auch fehlen; ich muß unbedingt in den Reichstag.
das_letzte_marchen_002_f000053|Achtung, Herrschaften!|Achtung, Herrschaften!
das_letzte_marchen_002_f000054|Der Fahrstuhl!|Der Fahrstuhl!
das_letzte_marchen_002_f000055|Wir bestiegen das elegant ausgestattete Coupé eines Fahrstuhls und sanken zur Tiefe.|Wir bestiegen das elegant ausgestattete Coupe eines Fahrstuhls und sanken zur Tiefe.
das_letzte_marchen_002_f000056|Wie tief es ging, weiß ich nicht; aber das weiß ich, daß dahinunter auch der riesigste Erdbohrer nimmer reichen wird, daß in jenes Gebiet auch der genialste Doktor-Ingenieur niemals dringen wird.|Wie tief es ging, weiß ich nicht; aber das weiß ich, daß dahinunter auch der riesigste Erdbohrer nimmer reichen wird, daß in jenes Gebiet auch der genialste Doktor-Ingenieur niemals dringen wird.
das_letzte_marchen_002_f000057|Wenn überhaupt ein Mensch sich dahin durchgräbt, so wird es ein Kind mit seinem Blechlöffel sein.|Wenn überhaupt ein Mensch sich dahin durchgräbt, so wird es ein Kind mit seinem Blechlöffel sein.
das_letzte_marchen_002_f000058|Im Erdlicht.|Im Erdlicht.
das_letzte_marchen_002_f000059|Erdlicht!|Erdlicht!
das_letzte_marchen_002_f000060|Ihr Menschen würdet nichts sehen als Dunkelheit, eine schwarze, schwüle Nacht, durch die ferne, unheimliche Feuer aufbrennen, durch die graugelbe Dampfschwaden ziehen und bläuliche Strahlungen phosphoreszieren.|Ihr Menschen würdet nichts sehen als Dunkelheit, eine schwarze, schwüle Nacht, durch die ferne, unheimliche Feuer aufbrennen, durch die graugelbe Dampfschwaden ziehen und bläuliche Strahlungen phosphoreszieren.
das_letzte_marchen_002_f000061|Wichtelchenaugen sind glücklicher.|Wichtelchenaugen sind glücklicher.
das_letzte_marchen_002_f000062|Ich sah, daß es Tag war, nicht ganz so heller Tag wie auf der Erde; etwa wie das Licht eines bewölkten Sommermittags so war's.|Ich sah, daß es Tag war, nicht ganz so heller Tag wie auf der Erde; etwa wie das Licht eines bewölkten Sommermittags so war's.
das_letzte_marchen_002_f000063|Ich war nicht in einer Höhle, ich war in einem weiten, unübersehbaren Lande.|Ich war nicht in einer Höhle, ich war in einem weiten, unübersehbaren Lande.
das_letzte_marchen_002_f000064|Dort, wo sich der Blick verlor, baute sich ein blaues Gebirge auf, davor lag ein schimmernder See, aus dem strahlten tausend farbige Springbrunnen zur Höhe.|Dort, wo sich der Blick verlor, baute sich ein blaues Gebirge auf, davor lag ein schimmernder See, aus dem strahlten tausend farbige Springbrunnen zur Höhe.
das_letzte_marchen_002_f000065|Und um den See waren blaue, weiße, gelbe, rote Hügel, darüber rannen bunte Bäche.|Und um den See waren blaue, weiße, gelbe, rote Hügel, darüber rannen bunte Bäche.
das_letzte_marchen_002_f000066|Durch langgestreckte Landzungen und kleine Inseln war der See in viele Becken geteilt.|Durch langgestreckte Landzungen und kleine Inseln war der See in viele Becken geteilt.
das_letzte_marchen_002_f000067|Der See der Gesundheit, sagte mein Begleiter.|Der See der Gesundheit, sagte mein Begleiter.
das_letzte_marchen_002_f000068|Ich fragte ihn nicht nach seiner Bedeutung, ich sah zuviel Neues.|Ich fragte ihn nicht nach seiner Bedeutung, ich sah zuviel Neues.
das_letzte_marchen_002_f000069|Da war ein Gebirge, das leuchtete wie die Schneefirnen, wenn sie im Abendglühen liegen, da war ein anderes, das schimmerte wie grünes Glas.|Da war ein Gebirge, das leuchtete wie die Schneefirnen, wenn sie im Abendglühen liegen, da war ein anderes, das schimmerte wie grünes Glas.
das_letzte_marchen_002_f000070|Ein breiter Strom ging durchs Land, daran lagen viel tausend Zelte und Häuser, und über alles spannte sich eine riesige braune Himmelskugel.|Ein breiter Strom ging durchs Land, daran lagen viel tausend Zelte und Häuser, und über alles spannte sich eine riesige braune Himmelskugel.
das_letzte_marchen_002_f000071|Ich starrte hinauf und wußte nicht, was das sei.|Ich starrte hinauf und wußte nicht, was das sei.
das_letzte_marchen_002_f000072|Ist denn das Erde?|Ist denn das Erde?
das_letzte_marchen_002_f000073|fragte ich Herrn von Stimpekrex und wies hinauf.|fragte ich Herrn von Stimpekrex und wies hinauf.
das_letzte_marchen_002_f000074|Gewiß, sagte er stolz, wir haben einen massiven Himmel.|Gewiß, sagte er stolz, wir haben einen massiven Himmel.
das_letzte_marchen_002_f000075|Und Sonne, Mond und Sterne?|Und Sonne, Mond und Sterne?
das_letzte_marchen_002_f000076|Haben wir nicht!|Haben wir nicht!
das_letzte_marchen_002_f000077|Brauchen wir auch nicht!|Brauchen wir auch nicht!
das_letzte_marchen_002_f000078|Wir haben ein Landesgesetz, das bestimmt ganz genau, welche Zeit als Tag und welche als Nacht anzusehen ist.|Wir haben ein Landesgesetz, das bestimmt ganz genau, welche Zeit als Tag und welche als Nacht anzusehen ist.
das_letzte_marchen_002_f000079|Aber es ist immer gleich hell?|Aber es ist immer gleich hell?
das_letzte_marchen_002_f000080|Immer!|Immer!
das_letzte_marchen_002_f000081|Ist aber egal, Nacht und Tag müssen wir doch haben.|Ist aber egal, Nacht und Tag müssen wir doch haben.
das_letzte_marchen_002_f000082|Wo kommt aber das Licht her?|Wo kommt aber das Licht her?
das_letzte_marchen_002_f000083|Das sollten Sie sich eigentlich denken können!|Das sollten Sie sich eigentlich denken können!
das_letzte_marchen_002_f000084|Den ganzen Tag trinkt die Erde Himmelslicht, sie trinkt es mit Millionen Poren, sie trinkt es durch jeden hohlen Blumenhalm, sie saugt es auf mit ihren blauen Augen, mit Meer und See; selbst in der Nacht, wenn Mond und Sterne scheinen, trinkt sie Licht, wie ein gesundes, vielhungriges Kindlein trinkt im Traum.|Den ganzen Tag trinkt die Erde Himmelslicht, sie trinkt es mit Millionen Poren, sie trinkt es durch jeden hohlen Blumenhalm, sie saugt es auf mit ihren blauen Augen, mit Meer und See; selbst in der Nacht, wenn Mond und Sterne scheinen, trinkt sie Licht, wie ein gesundes, vielhungriges Kindlein trinkt im Traum.
das_letzte_marchen_002_f000085|Wo kommt all das Licht hin, das die Erde trinkt?|Wo kommt all das Licht hin, das die Erde trinkt?
das_letzte_marchen_002_f000086|Es ist hier unten bei uns.|Es ist hier unten bei uns.
das_letzte_marchen_002_f000087|O, das ist gut, sagte ich; das ist gut!|O, das ist gut, sagte ich; das ist gut!
das_letzte_marchen_002_f000088|Ja, fuhr mein Begleiter fort, und was nun die Jahreszeiten anbelangt, so sind wir eigentlich in Verlegenheit.|Ja, fuhr mein Begleiter fort, und was nun die Jahreszeiten anbelangt, so sind wir eigentlich in Verlegenheit.
das_letzte_marchen_002_f000089|Es ist bei uns nämlich immer gleich warm.|Es ist bei uns nämlich immer gleich warm.
das_letzte_marchen_002_f000090|Da haben wir denn auch wieder ein Landesgesetz, das bestimmt, wenn Sommer und wenn Winter ist.|Da haben wir denn auch wieder ein Landesgesetz, das bestimmt, wenn Sommer und wenn Winter ist.
das_letzte_marchen_002_f000091|Im allgemeinen richten wir uns nach dem benachbarten und befreundeten Deutschland.|Im allgemeinen richten wir uns nach dem benachbarten und befreundeten Deutschland.
das_letzte_marchen_002_f000092|Jetzt haben wir auch Winter, das heißt also gesetzlichen Winter.|Jetzt haben wir auch Winter, das heißt also gesetzlichen Winter.
das_letzte_marchen_002_f000093|Die Eisenbahnverwaltung läßt jetzt die Waggons heizen, und wenn jetzt jemand barfuß ginge oder Vanille-Eis äße, dann würde er sich strafbar machen.|Die Eisenbahnverwaltung läßt jetzt die Waggons heizen, und wenn jetzt jemand barfuß ginge oder Vanille-Eis äße, dann würde er sich strafbar machen.
das_letzte_marchen_002_f000094|Sie werden das alles sehr praktisch und verständig finden.|Sie werden das alles sehr praktisch und verständig finden.
das_letzte_marchen_002_f000095|Nein, sagte ich, ich kann nicht begreifen, wozu alle diese Maßnahmen sind, wenn es doch immer gleich warm ist.|Nein, sagte ich, ich kann nicht begreifen, wozu alle diese Maßnahmen sind, wenn es doch immer gleich warm ist.
das_letzte_marchen_002_f000096|Der kleine Herr sah mich ärgerlich an.|Der kleine Herr sah mich ärgerlich an.
das_letzte_marchen_002_f000097|Was wollen Sie?|Was wollen Sie?
das_letzte_marchen_002_f000098|Wir müssen doch Abwechselung haben; wir sind weder Wüsten- noch Nordpolbewohner; wir müssen absolut Abwechselung haben, schon der Geschäfte wegen, die eine Sommer- und Wintersaison brauchen.|Wir müssen doch Abwechselung haben; wir sind weder Wüsten- noch Nordpolbewohner; wir müssen absolut Abwechselung haben, schon der Geschäfte wegen, die eine Sommer- und Wintersaison brauchen.
das_letzte_marchen_002_f000099|Ich rate Ihnen, Herr Doktor Barragu, stellen Sie sich nicht auf die Seite der Opposition.|Ich rate Ihnen, Herr Doktor Barragu, stellen Sie sich nicht auf die Seite der Opposition.
das_letzte_marchen_002_f000100|Das würde Ihnen furchtbar schaden!|Das würde Ihnen furchtbar schaden!
das_letzte_marchen_002_f000101|Was heißt das?|Was heißt das?
das_letzte_marchen_002_f000102|fragte ich bestürzt.|fragte ich bestürzt.
das_letzte_marchen_002_f000103|Verstehen Sie etwas von Politik?|Verstehen Sie etwas von Politik?
das_letzte_marchen_002_f000104|fragte er zurück.|fragte er zurück.
das_letzte_marchen_002_f000105|Nein, antwortete ich, Dichter verstehen nie etwas von Politik.|Nein, antwortete ich, Dichter verstehen nie etwas von Politik.
das_letzte_marchen_002_f000106|Der Gesandte atmete tief auf.|Der Gesandte atmete tief auf.
das_letzte_marchen_002_f000107|Eigentlich müßten Sie ja als Chefredakteur der Zeitung wohl was von Politik verstehen; aber es ist immer noch besser, Sie machen die Zeitung ohne Verständnis als mit falschem Verständnis.|Eigentlich müßten Sie ja als Chefredakteur der Zeitung wohl was von Politik verstehen; aber es ist immer noch besser, Sie machen die Zeitung ohne Verständnis als mit falschem Verständnis.
das_letzte_marchen_002_f000108|Wir woll'n unsern Lohn!|Wir woll'n unsern Lohn!
das_letzte_marchen_002_f000109|Wir haben gearbeit'!|Wir haben gearbeit'!
das_letzte_marchen_002_f000110|Wir woll'n nu mal heim!|Wir woll'n nu mal heim!
das_letzte_marchen_002_f000111|Mögen sie doch and're warten lassen!|Mögen sie doch and're warten lassen!
das_letzte_marchen_002_f000112|Das waren die Krähen, die immer noch bei uns waren.|Das waren die Krähen, die immer noch bei uns waren.
das_letzte_marchen_002_f000113|Herr van Stimpekrex hatte einen herididasufoturanischen Fluch auf den Lippen, unterdrückte ihn aber in Rücksicht auf die Damen und sagte nur: Bitte, kommen Sie mit nach dem Stationsgebäude, damit wir das scheußliche Pack los werden.|Herr van Stimpekrex hatte einen herididasufoturanischen Fluch auf den Lippen, unterdrückte ihn aber in Rücksicht auf die Damen und sagte nur: Bitte, kommen Sie mit nach dem Stationsgebäude, damit wir das scheußliche Pack los werden.
das_letzte_marchen_002_f000114|In dem Stationsgebäude fiel mir nichts Besonderes auf; es war ganz nach preußischem Muster eingerichtet: einfach, praktisch und ungemütlich.|In dem Stationsgebäude fiel mir nichts Besonderes auf; es war ganz nach preußischem Muster eingerichtet: einfach, praktisch und ungemütlich.
das_letzte_marchen_002_f000115|Die Lampen brannten, und die Kellnerin schlief.|Die Lampen brannten, und die Kellnerin schlief.
das_letzte_marchen_002_f000116|Das war, weil gesetzliche Nacht war.|Das war, weil gesetzliche Nacht war.
das_letzte_marchen_002_f000117|Herr von Stimpekrex bestellte bei dem schlaftrunkenen Mädchen vier Tassen Kaffee und verlangte außerdem Schreibzeug, sowie, daß der Stationsvorsteher erscheine.|Herr von Stimpekrex bestellte bei dem schlaftrunkenen Mädchen vier Tassen Kaffee und verlangte außerdem Schreibzeug, sowie, daß der Stationsvorsteher erscheine.
das_letzte_marchen_002_f000118|Hierauf schrieb er den Krähen vier Anweisungen über je 200 Gramm Regenwurmfleisch.|Hierauf schrieb er den Krähen vier Anweisungen über je zweihundert Gramm Regenwurmfleisch.
das_letzte_marchen_002_f000119|Das war die Taxe.|Das war die Taxe.
das_letzte_marchen_002_f000120|Eine Extragratifikation bekamen die Krähen nicht, und das wird in unserem Falle wohl auch der trinkgelderfreudigste Mensch begreiflich finden.|Eine Extragratifikation bekamen die Krähen nicht, und das wird in unserem Falle wohl auch der trinkgelderfreudigste Mensch begreiflich finden.
das_letzte_marchen_002_f000121|Die freche Gesellschaft erhob nach Empfang der Anweisungen einen furchtbaren Lärm vor dem Stationsgebäude, und besonders das schwarze Tier, auf dem ich geritten war, machte riesigen Skandal über unsere angebliche schmähliche Knickrigkeit und meinte, das weitere wird sich finden.|Die freche Gesellschaft erhob nach Empfang der Anweisungen einen furchtbaren Lärm vor dem Stationsgebäude, und besonders das schwarze Tier, auf dem ich geritten war, machte riesigen Skandal über unsere angebliche schmähliche Knickrigkeit und meinte, das weitere wird sich finden.
das_letzte_marchen_002_f000122|Wenn jemand wütend ist und gern drohen will, aber absolut nicht weiß, womit er drohen soll, dann sagt er immer: Das weitere wird sich finden!|Wenn jemand wütend ist und gern drohen will, aber absolut nicht weiß, womit er drohen soll, dann sagt er immer: Das weitere wird sich finden!
das_letzte_marchen_002_f000123|Es findet sich gewöhnlich dann rein gar nichts.|Es findet sich gewöhnlich dann rein gar nichts.
das_letzte_marchen_002_f000124|Also nahm ich auch diese Krähendrohung sehr leicht, diesmal aber sehr zu meinem Schaden, wie sich im Verlauf dieser ernsthaften Geschichte zeigen wird.|Also nahm ich auch diese Krähendrohung sehr leicht, diesmal aber sehr zu meinem Schaden, wie sich im Verlauf dieser ernsthaften Geschichte zeigen wird.
das_letzte_marchen_002_f000125|Inzwischen erschien der Stationschef.|Inzwischen erschien der Stationschef.
das_letzte_marchen_002_f000126|Er kam mir sehr sonderbar vor, schwankte immer hin und her und hatte die Kokarde seiner roten Mütze nach hinten gerichtet.|Er kam mir sehr sonderbar vor, schwankte immer hin und her und hatte die Kokarde seiner roten Mütze nach hinten gerichtet.
das_letzte_marchen_002_f000127|Auch redete er soviel vergnüglichen Unsinn, daß ich mich eines ganz bestimmten Verdachts nicht erwehren konnte.|Auch redete er soviel vergnüglichen Unsinn, daß ich mich eines ganz bestimmten Verdachts nicht erwehren konnte.
das_letzte_marchen_002_f000128|Herr von Stimpekrex schrie das vergnügte Männlein gewaltig an, stellte sich als Gesandten des Königs vor, und bestellte einen Extrazug.|Herr von Stimpekrex schrie das vergnügte Männlein gewaltig an, stellte sich als Gesandten des Königs vor, und bestellte einen Extrazug.
das_letzte_marchen_002_f000129|Jhähä, – jawohl ja, – Extrazug, – Extragesandter – wupp – wupp – Wuppgesandter!|Jhähä, - jawohl ja, - Extrazug, - Extragesandter - wupp - wupp - Wuppgesandter!
das_letzte_marchen_002_f000130|Stimpekrex erbleichte, und vor meinen Augen tanzte in der Luft eine lustige Nummer l7.|Stimpekrex erbleichte, und vor meinen Augen tanzte in der Luft eine lustige Nummer lsieben.
das_letzte_marchen_002_f000131|Mann, zischelte der Leutnant den Beamten an, was soll ich mir von Ihnen denken?|Mann, zischelte der Leutnant den Beamten an, was soll ich mir von Ihnen denken?
das_letzte_marchen_002_f000132|was soll dieser Herr denken?|was soll dieser Herr denken?
das_letzte_marchen_002_f000133|Hier flog die Tür auf und die Frau des Stationschefs trat hastig ein.|Hier flog die Tür auf und die Frau des Stationschefs trat hastig ein.
das_letzte_marchen_002_f000134|Sie war sehr erregt und fing gleich an zu bitten und zu jammern, Exzellenz solle nur das sonderbare Benehmen ihres Mannes entschuldigen und beileibe keine Meldung machen; der gute Mann habe furchtbar die Influenza und phantasiere schon seit Mitternacht.|Sie war sehr erregt und fing gleich an zu bitten und zu jammern, Exzellenz solle nur das sonderbare Benehmen ihres Mannes entschuldigen und beileibe keine Meldung machen; der gute Mann habe furchtbar die Influenza und phantasiere schon seit Mitternacht.
