meraviglieduemila_01_salgari_f000001|Le meraviglie del Duemila di Emilio Salgari|Le meraviglie del Duemila di Emilio Salgari
meraviglieduemila_05_salgari_f000158|— Vedete là a fianco della torre anche un tubo lucente, di dimensioni pure enormi? — Sì, e cos’è? — chiese Toby.|- Vedete là a fianco della torre anche un tubo lucente, di dimensioni pure enormi? - Sì, e cosè? - chiese Toby.
meraviglieduemila_05_salgari_f000159|— È il più grande cannocchiale che esista al mondo. — Deve essere immenso.|- È il più grande cannocchiale che esista al mondo. - Deve essere immenso.
meraviglieduemila_05_salgari_f000160|— È lungo centocinquanta metri, signori miei, una vera meraviglia che permette di vedere la luna ad un solo metro di distanza.|- È lungo centocinquanta metri, signori miei, una vera meraviglia che permette di vedere la luna ad un solo metro di distanza.
meraviglieduemila_05_salgari_f000161|— Sicchè voi avete realizzato l’antico sogno dei nostri astronomi.|- Sicchè voi avete realizzato lantico sogno dei nostri astronomi.
meraviglieduemila_05_salgari_f000162|— Ah! Anche i vostri scienziati hanno tentato di avvicinare di tanto il nostro satellite?|- Ah! Anche i vostri scienziati hanno tentato di avvicinare di tanto il nostro satellite?
meraviglieduemila_05_salgari_f000163|— Sì, nipote mio, — rispose Toby — e senza riuscirvi.|- Sì, nipote mio, - rispose Toby - e senza riuscirvi.
meraviglieduemila_05_salgari_f000164|Sicchè ora la luna è ormai conosciuta minutamente?|Sicchè ora la luna è ormai conosciuta minutamente?
meraviglieduemila_05_salgari_f000165|— Conosciamo anche le sue più piccole rocce. — È popolata?|- Conosciamo anche le sue più piccole rocce. - È popolata?
meraviglieduemila_05_salgari_f000166|— È un corpo spento, senz’aria, senz’acqua, senza vegetazione e senza abitanti.|- È un corpo spento, senzaria, senzacqua, senza vegetazione e senza abitanti.
meraviglieduemila_05_salgari_f000167|— Già, anche i nostri astronomi l’avevano supposta così.|- Già, anche i nostri astronomi lavevano supposta così.
meraviglieduemila_05_salgari_f000168|— E Marte a quanta distanza lo vedete col vostro cannocchiale? — chiese Brandok. — A soli trecento metri. — Che meraviglie! — Adagio, Harry, scendi piano.|- E Marte a quanta distanza lo vedete col vostro cannocchiale? - chiese Brandok. - A soli trecento metri. - Che meraviglie! - Adagio, Harry, scendi piano.
meraviglieduemila_05_salgari_f000169|Il Condor aveva superata una vasta cinta che circondava la stazione e scendeva dolcemente, descrivendo delle curve allungate.|Il Condor aveva superata una vasta cinta che circondava la stazione e scendeva dolcemente, descrivendo delle curve allungate.
meraviglieduemila_05_salgari_f000170|Alle otto del mattino s’adagiava a trenta metri dall’enorme telescopio.|Alle otto del mattino sadagiava a trenta metri dallenorme telescopio.
meraviglieduemila_06_salgari_f000001|Le meraviglie del Duemila di Emilio Salgari|Le meraviglie del Duemila di Emilio Salgari
meraviglieduemila_06_salgari_f000002|Capitulo Sesto I Marziani.|Capitulo Sesto I Marziani.
meraviglieduemila_06_salgari_f000003|Un uomo sulla sessantina, che aveva una testa ancor più grossa del signor Holker ed il viso completamente rasato|Un uomo sulla sessantina, che aveva una testa ancor più grossa del signor Holker ed il viso completamente rasato
meraviglieduemila_06_salgari_f000004|era uscito dall’immensa torre che s’innalzava nel centro della cinta e si era affrettato ad andare incontro ai visitatori|era uscito dallimmensa torre che sinnalzava nel centro della cinta e si era affrettato ad andare incontro ai visitatori
meraviglieduemila_06_salgari_f000005|dicendo: — Buon giorno, dottore;|dicendo: - Buon giorno, dottore;
meraviglieduemila_06_salgari_f000006|è un po’ di tempo che non vi si vede qui.|è un po di tempo che non vi si vede qui.
meraviglieduemila_06_salgari_f000007|— Buon giorno, signor Hibert — aveva risposto Holker.|- Buon giorno, signor Hibert - aveva risposto Holker.
meraviglieduemila_06_salgari_f000008|— Vi conduco due miei amici giunti ieri dall’Inghilterra e che sono curiosi di visitare la vostra stazione e di avere notizie dei martiani.|- Vi conduco due miei amici giunti ieri dallInghilterra e che sono curiosi di visitare la vostra stazione e di avere notizie dei martiani.
meraviglieduemila_06_salgari_f000009|— Siano i benvenuti — rispose il signor Hibert, stringendo la mano agli ospiti. — Sono a loro disposizione.|- Siano i benvenuti - rispose il signor Hibert, stringendo la mano agli ospiti. - Sono a loro disposizione.
meraviglieduemila_06_salgari_f000010|— Il più grande astronomo d’America — disse Holker, dopo la presentazione.|- Il più grande astronomo dAmerica - disse Holker, dopo la presentazione.
meraviglieduemila_06_salgari_f000011|— La gloria di aver messa in comunicazione la terra con Marte la dobbiamo a lui.|- La gloria di aver messa in comunicazione la terra con Marte la dobbiamo a lui.
meraviglieduemila_06_salgari_f000012|— Credevo che fossero stati gli scienziati europei — disse Toby.|- Credevo che fossero stati gli scienziati europei - disse Toby.
meraviglieduemila_06_salgari_f000013|— So che se ne occupavano molto, un tempo.|- So che se ne occupavano molto, un tempo.
meraviglieduemila_06_salgari_f000014|— L’America li ha preceduti — disse Holker.|- LAmerica li ha preceduti - disse Holker.
meraviglieduemila_06_salgari_f000015|— Sarei curioso di sapere come siete riuscito a dare a quei lontani abitanti notizie della terra.|- Sarei curioso di sapere come siete riuscito a dare a quei lontani abitanti notizie della terra.
meraviglieduemila_06_salgari_f000016|Dovete aver superate delle difficoltà immense.|Dovete aver superate delle difficoltà immense.
meraviglieduemila_06_salgari_f000017|— Eppure, che cosa direste se io vi raccontassi che l’idea di fare dei segnali a noi, nacque prima nel cervello dei martiani? — disse l’astronomo.|- Eppure, che cosa direste se io vi raccontassi che lidea di fare dei segnali a noi, nacque prima nel cervello dei martiani? - disse lastronomo.
meraviglieduemila_06_salgari_f000018|— Mi pare impossibile! — esclamò Brandok.|- Mi pare impossibile! - esclamò Brandok.
meraviglieduemila_06_salgari_f000019|— Eppure è precisamente così, mio caro signore.|- Eppure è precisamente così, mio caro signore.
meraviglieduemila_06_salgari_f000020|Già da molti lustri, anzi fin dal mille novecento e anche prima, i nostri vecchi astronomi e anche quelli europei|Già da molti lustri, anzi fin dal mille novecento e anche prima, i nostri vecchi astronomi e anche quelli europei
meraviglieduemila_06_salgari_f000021|specialmente l’italiano Schiaparelli, avevano notato che su quel pianeta apparivano di quando in quando|specialmente litaliano Schiaparelli, avevano notato che su quel pianeta apparivano di quando in quando
meraviglieduemila_06_salgari_f000022|specialmente dopo il ritiro delle acque che ogni anno invadono quelle terre|specialmente dopo il ritiro delle acque che ogni anno invadono quelle terre
meraviglieduemila_06_salgari_f000023|delle immense linee di fuoco che si estendevano per migliaia di chilometri.|delle immense linee di fuoco che si estendevano per migliaia di chilometri.
meraviglieduemila_06_salgari_f000024|— Me ne ricordo — disse il dottor Toby.|- Me ne ricordo - disse il dottor Toby.
meraviglieduemila_06_salgari_f000025|— L’ho già letto su una vecchia collezione di giornali del mille novecento che conservo in casa mia.|- Lho già letto su una vecchia collezione di giornali del mille novecento che conservo in casa mia.
meraviglieduemila_06_salgari_f000026|Si credeva allora che quei fuochi fossero segnali fattici dagli abitanti di Marte.|Si credeva allora che quei fuochi fossero segnali fattici dagli abitanti di Marte.
meraviglieduemila_06_salgari_f000027|— In questo secolo i nostri astronomi|- In questo secolo i nostri astronomi
meraviglieduemila_06_salgari_f000028|vedendo che quelle linee di fuoco si ripetevano con maggior frequenza e che descrivevano per lo più una forma rassomigliante ad una — J — mostruosa|vedendo che quelle linee di fuoco si ripetevano con maggior frequenza e che descrivevano per lo più una forma rassomigliante ad una - J - mostruosa
meraviglieduemila_06_salgari_f000029|supposero che fossero veramente segnali e decisero di provare a rispondere.|supposero che fossero veramente segnali e decisero di provare a rispondere.
meraviglieduemila_06_salgari_f000030|Fu nel mille novecento quaranta che si fece il primo esperimento nelle immense pianure del Far-West.|Fu nel mille novecento quaranta che si fece il primo esperimento nelle immense pianure del Far-West.
meraviglieduemila_06_salgari_f000031|Duecentomila uomini furono disseminati in modo da formare pure una — J — e duecentomila fuochi furono accesi durante una notte scurissima.|Duecentomila uomini furono disseminati in modo da formare pure una - J - e duecentomila fuochi furono accesi durante una notte scurissima.
meraviglieduemila_06_salgari_f000032|Ventiquattr’ore dopo lo stesso segnale appariva pure su uno degli immensi canali del pianeta marziano.|Ventiquattrore dopo lo stesso segnale appariva pure su uno degli immensi canali del pianeta marziano.
meraviglieduemila_06_salgari_f000033|Si pensò allora, per meglio accertare che si rispondeva a noi|Si pensò allora, per meglio accertare che si rispondeva a noi
meraviglieduemila_06_salgari_f000034|di ripetere l’esperimento cambiando però la forma del segnale e fu scelta la lettera — Z — .|di ripetere lesperimento cambiando però la forma del segnale e fu scelta la lettera - Z - .
meraviglieduemila_06_salgari_f000035|Venti notti dopo, i martiani rispondevano con una lingua di fuoco della stessa forma.|Venti notti dopo, i martiani rispondevano con una lingua di fuoco della stessa forma.
meraviglieduemila_06_salgari_f000036|Il dubbio ormai non poteva più sussistere.|Il dubbio ormai non poteva più sussistere.
meraviglieduemila_06_salgari_f000037|I martiani, chissà da quanto tempo, cercavano di mettersi in relazione con noi.|I martiani, chissà da quanto tempo, cercavano di mettersi in relazione con noi.
meraviglieduemila_06_salgari_f000038|Per un mese furono continuate le prove, cambiando sempre lettera e con crescente successo.|Per un mese furono continuate le prove, cambiando sempre lettera e con crescente successo.
meraviglieduemila_06_salgari_f000039|— Non potevate però comprendervi — disse Toby.|- Non potevate però comprendervi - disse Toby.
meraviglieduemila_06_salgari_f000040|— Sarebbe stato necessario che avessero avuto un alfabeto eguale al nostro, e poi quel mezzo sarebbe stato molto costoso.|- Sarebbe stato necessario che avessero avuto un alfabeto eguale al nostro, e poi quel mezzo sarebbe stato molto costoso.
meraviglieduemila_06_salgari_f000041|Nacque allora nella mente degli scienziati l’idea di mandare lassù un’onda herziana|Nacque allora nella mente degli scienziati lidea di mandare lassù unonda herziana
meraviglieduemila_06_salgari_f000042|nella speranza che anche i martiani avessero uno strumento ricevitore.|nella speranza che anche i martiani avessero uno strumento ricevitore.
meraviglieduemila_06_salgari_f000043|A spese dei vari governi americani fu innalzata questa torre d’acciaio|A spese dei vari governi americani fu innalzata questa torre dacciaio
meraviglieduemila_06_salgari_f000044|che fu spinta fino a quattrocento metri e piantata sulla cima una stazione ultrapotente di telegrafia senza fili.|che fu spinta fino a quattrocento metri e piantata sulla cima una stazione ultrapotente di telegrafia senza fili.
meraviglieduemila_06_salgari_f000045|— Una invenzione non moderna la telegrafia aerea — disse Brandok.|- Una invenzione non moderna la telegrafia aerea - disse Brandok.
meraviglieduemila_06_salgari_f000046|— È vero che si conosceva fin dai primi anni dello scorso secolo|- È vero che si conosceva fin dai primi anni dello scorso secolo
meraviglieduemila_06_salgari_f000047|e che fu perfezionata dalle scoperte di un bravo scienziato italiano, il signor Marconi;|e che fu perfezionata dalle scoperte di un bravo scienziato italiano, il signor Marconi;
meraviglieduemila_06_salgari_f000048|ma allora non aveva la potenza d’oggi.|ma allora non aveva la potenza doggi.
meraviglieduemila_06_salgari_f000049|I nostri strumenti, perfezionati da molti scienziati, hanno raggiunto una tale forza che noi potremmo corrispondere anche col sole|I nostri strumenti, perfezionati da molti scienziati, hanno raggiunto una tale forza che noi potremmo corrispondere anche col sole
meraviglieduemila_06_salgari_f000050|se lassù vi fossero degli abitanti e dei ricevitori elettrici.|se lassù vi fossero degli abitanti e dei ricevitori elettrici.
meraviglieduemila_06_salgari_f000051|Per molti mesi lanciammo onde elettriche senza alcun risultato;|Per molti mesi lanciammo onde elettriche senza alcun risultato;
meraviglieduemila_06_salgari_f000052|un giorno, con nostra grande meraviglia, udimmo i segnalatori suonare, erano i martiani che finalmente ci rispondevano.|un giorno, con nostra grande meraviglia, udimmo i segnalatori suonare, erano i martiani che finalmente ci rispondevano.
meraviglieduemila_06_salgari_f000053|— Quel popolo ha fatto anche da parte sua delle meravigliose scoperte! — esclamò Toby.|- Quel popolo ha fatto anche da parte sua delle meravigliose scoperte! - esclamò Toby.
meraviglieduemila_06_salgari_f000054|— Noi abbiamo i nostri motivi per credere che siano molto più avanti di noi.|- Noi abbiamo i nostri motivi per credere che siano molto più avanti di noi.
meraviglieduemila_06_salgari_f000055|Dapprima i segnali furono confusi e ci riuscì impossibile intenderci.|Dapprima i segnali furono confusi e ci riuscì impossibile intenderci.
meraviglieduemila_06_salgari_f000056|A poco a poco però fu combinato un cifrario speciale che i martiani dopo un paio d’anni riuscirono a comprendere|A poco a poco però fu combinato un cifrario speciale che i martiani dopo un paio danni riuscirono a comprendere
