sandmann_1_f000001|Nathanael an Lothar Gewiß seid Ihr alle voll Unruhe, daß ich so lange lange nicht geschrieben.|Nathanael an Lothar Gewiß seid Ihr alle voll Unruhe, daß ich so lange lange nicht geschrieben.
sandmann_4_f000094|Erinnerte sich aber auch Nathanael in hellen nüchternen Augenblicken, z.B. morgens gleich nach dem Erwachen, wirklich an Olimpias gänzliche Passivität und Wortkargheit, so sprach er doch: Was sind Worte Worte!|Erinnerte sich aber auch Nathanael in hellen nüchternen Augenblicken, z.B. morgens gleich nach dem Erwachen, wirklich an Olimpias gänzliche Passivität und Wortkargheit, so sprach er doch: Was sind Worte Worte!
sandmann_4_f000095|Der Blick ihres himmlischen Auges sagt mehr als jede Sprache hienieden.|Der Blick ihres himmlischen Auges sagt mehr als jede Sprache hienieden.
sandmann_4_f000096|Vermag denn überhaupt ein Kind des Himmels sich einzuschichten in den engen Kreis, den ein klägliches irdisches Bedürfnis gezogen?|Vermag denn überhaupt ein Kind des Himmels sich einzuschichten in den engen Kreis, den ein klägliches irdisches Bedürfnis gezogen?
sandmann_4_f000097|Professor Spalanzani schien hocherfreut über das Verhältnis seiner Tochter mit Nathanael;|Professor Spalanzani schien hocherfreut über das Verhältnis seiner Tochter mit Nathanael;
sandmann_4_f000098|er gab diesem allerlei unzweideutige Zeichen seines Wohlwollens und als es Nathanael endlich wagte von ferne auf eine Verbindung mit Olimpia anzuspielen, lächelte dieser mit dem ganzen Gesicht und meinte: er werde seiner Tochter völlig freie Wahl lassen.|er gab diesem allerlei unzweideutige Zeichen seines Wohlwollens und als es Nathanael endlich wagte von ferne auf eine Verbindung mit Olimpia anzuspielen, lächelte dieser mit dem ganzen Gesicht und meinte: er werde seiner Tochter völlig freie Wahl lassen.
sandmann_4_f000099|Ermutigt durch diese Worte, brennendes Verlangen im Herzen, beschloß Nathanael, gleich am folgenden Tage Olimpia anzusehen,|Ermutigt durch diese Worte, brennendes Verlangen im Herzen, beschloß Nathanael, gleich am folgenden Tage Olimpia anzusehen,
sandmann_4_f000100|daß sie das unumwunden in deutlichen Worten ausspreche, was längst ihr holder Liebesblick ihm gesagt, daß sie sein eigen immerdar sein wolle.|daß sie das unumwunden in deutlichen Worten ausspreche, was längst ihr holder Liebesblick ihm gesagt, daß sie sein eigen immerdar sein wolle.
sandmann_4_f000101|Er suchte nach dem Ringe, den ihm beim Abschiede die Mutter geschenkt, um ihn Olimpia als Symbol seiner Hingebung, seines mit ihr aufkeimenden, blühenden Lebens darzureichen.|Er suchte nach dem Ringe, den ihm beim Abschiede die Mutter geschenkt, um ihn Olimpia als Symbol seiner Hingebung, seines mit ihr aufkeimenden, blühenden Lebens darzureichen.
sandmann_4_f000102|Claras, Lothars Briefe fielen ihm dabei in die Hände; gleichgültig warf er sie beiseite, fand den Ring, steckte ihn ein und rannte herüber zu Olimpia.|Claras, Lothars Briefe fielen ihm dabei in die Hände; gleichgültig warf er sie beiseite, fand den Ring, steckte ihn ein und rannte herüber zu Olimpia.
sandmann_4_f000103|Schon auf der Treppe, auf dem Flur, vernahm er ein wunderliches Getöse; es schien aus Spalanzanis Studierzimmer herauszuschallen.|Schon auf der Treppe, auf dem Flur, vernahm er ein wunderliches Getöse; es schien aus Spalanzanis Studierzimmer herauszuschallen.
sandmann_4_f000104|Ein Stampfen ein Klirren ein Stoßen Schlagen gegen die Tür, dazwischen Flüche und Verwünschungen.|Ein Stampfen ein Klirren ein Stoßen Schlagen gegen die Tür, dazwischen Flüche und Verwünschungen.
sandmann_4_f000105|Laß los laß los Infamer Verruchter!|Laß los laß los Infamer Verruchter!
sandmann_4_f000106|Darum Leib und Leben daran gesetzt?|Darum Leib und Leben daran gesetzt?
sandmann_4_f000107|ha ha ha ha! so haben wir nicht gewettet ich, ich hab die Augen gemacht ich das Räderwerk dummer Teufel mit deinem Räderwerk verfluchter Hund von einfältigem Uhrmacher fort mit dir Satan halt Peipendreher teuflische Bestie!|ha ha ha ha! so haben wir nicht gewettet ich, ich hab die Augen gemacht ich das Räderwerk dummer Teufel mit deinem Räderwerk verfluchter Hund von einfältigem Uhrmacher fort mit dir Satan halt Peipendreher teuflische Bestie!
sandmann_4_f000108|halt fort laß los! Es waren Spalanzanis und des gräßlichen Coppelius Stimmen, die so durcheinander schwirrten und tobten.|halt fort laß los! Es waren Spalanzanis und des gräßlichen Coppelius Stimmen, die so durcheinander schwirrten und tobten.
sandmann_4_f000109|Hinein stürzte Nathanael von namenloser Angst ergriffen.|Hinein stürzte Nathanael von namenloser Angst ergriffen.
sandmann_4_f000110|Der Professor hatte eine weibliche Figur bei den Schultern gepackt, der Italiener Coppola bei den Füßen, die zerrten und zogen sie hin und her, streitend in voller Wut um den Besitz.|Der Professor hatte eine weibliche Figur bei den Schultern gepackt, der Italiener Coppola bei den Füßen, die zerrten und zogen sie hin und her, streitend in voller Wut um den Besitz.
sandmann_4_f000111|Voll tiefen Entsetzens prallte Nathanael zurück, als er die Figur für Olimpia erkannte; aufflammend in wildem Zorn wollte er den Wütenden die Geliebte entreißen,|Voll tiefen Entsetzens prallte Nathanael zurück, als er die Figur für Olimpia erkannte; aufflammend in wildem Zorn wollte er den Wütenden die Geliebte entreißen,
sandmann_4_f000112|aber in dem Augenblick wand Coppola sich mit Riesenkraft drehend die Figur dem Professor aus den Händen und versetzte ihm mit der Figur selbst einen fürchterlichen Schlag,|aber in dem Augenblick wand Coppola sich mit Riesenkraft drehend die Figur dem Professor aus den Händen und versetzte ihm mit der Figur selbst einen fürchterlichen Schlag,
sandmann_4_f000113|daß er rücklings über den Tisch, auf dem Phiolen, Retorten, Flaschen, gläserne Zylinder standen, taumelte und hinstürzte; alles Gerät klirrte in tausend Scherben zusammen.|daß er rücklings über den Tisch, auf dem Phiolen, Retorten, Flaschen, gläserne Zylinder standen, taumelte und hinstürzte; alles Gerät klirrte in tausend Scherben zusammen.
sandmann_4_f000114|Nun warf Coppola die Figur über die Schulter und rannte mit fürchterlich gellendem Gelächter rasch fort die Treppe herab, so daß die häßlich herunterhängenden Füße der Figur auf den Stufen hölzern klapperten und dröhnten.|Nun warf Coppola die Figur über die Schulter und rannte mit fürchterlich gellendem Gelächter rasch fort die Treppe herab, so daß die häßlich herunterhängenden Füße der Figur auf den Stufen hölzern klapperten und dröhnten.
sandmann_4_f000115|Erstarrt stand Nathanael nur zu deutlich hatte er gesehen, Olimpias toderbleichtes Wachsgesicht hatte keine Augen, statt ihrer schwarze Höhlen; sie war eine leblose Puppe.|Erstarrt stand Nathanael nur zu deutlich hatte er gesehen, Olimpias toderbleichtes Wachsgesicht hatte keine Augen, statt ihrer schwarze Höhlen; sie war eine leblose Puppe.
sandmann_4_f000116|Spalanzani wälzte sich auf der Erde, Glasscherben hatten ihm Kopf, Brust und Arm zerschnitten, wie aus Springquellen strömte das Blut empor.|Spalanzani wälzte sich auf der Erde, Glasscherben hatten ihm Kopf, Brust und Arm zerschnitten, wie aus Springquellen strömte das Blut empor.
sandmann_4_f000117|Aber er raffte seine Kräfte zusammen. Ihm nach ihm nach, was zauderst du?|Aber er raffte seine Kräfte zusammen. Ihm nach ihm nach, was zauderst du?
sandmann_4_f000118|Coppelius Coppelius, mein bestes Automat hat er mir geraubt Zwanzig Jahre daran gearbeitet Leib und Leben daran gesetzt das Räderwerk Sprache Gang mein die Augen die Augen dir gestohlen.|Coppelius Coppelius, mein bestes Automat hat er mir geraubt Zwanzig Jahre daran gearbeitet Leib und Leben daran gesetzt das Räderwerk Sprache Gang mein die Augen die Augen dir gestohlen.
sandmann_4_f000119|Verdammter Verfluchter ihm nach hol mir Olimpia da hast du die Augen!|Verdammter Verfluchter ihm nach hol mir Olimpia da hast du die Augen!
sandmann_4_f000120|Nun sah Nathanael, wie ein Paar blutige Augen auf dem Boden liegend ihn anstarrten, die ergriff Spalanzani mit der unverletzten Hand und warf sie nach ihm, daß sie seine Brust trafen.|Nun sah Nathanael, wie ein Paar blutige Augen auf dem Boden liegend ihn anstarrten, die ergriff Spalanzani mit der unverletzten Hand und warf sie nach ihm, daß sie seine Brust trafen.
sandmann_4_f000121|Da packte ihn der Wahnsinn mit glühenden Krallen und fuhr in sein Inneres hinein Sinn und Gedanken zerreißend.|Da packte ihn der Wahnsinn mit glühenden Krallen und fuhr in sein Inneres hinein Sinn und Gedanken zerreißend.
sandmann_4_f000122|Hui hui hui! Feuerkreis Feuerkreis! dreh dich Feuerkreis lustig lustig!|Hui hui hui! Feuerkreis Feuerkreis! dreh dich Feuerkreis lustig lustig!
sandmann_4_f000123|Holzpüppchen hui schön Holzpüppchen dreh dich damit warf er sich auf den Professor und drückte ihm die Kehle zu.|Holzpüppchen hui schön Holzpüppchen dreh dich damit warf er sich auf den Professor und drückte ihm die Kehle zu.
sandmann_4_f000124|Er hätte ihn erwürgt, aber das Getöse hatte viele Menschen herbeigelockt, die drangen ein, rissen den wütenden Nathanael auf und retteten so den Professor, der gleich verbunden wurde.|Er hätte ihn erwürgt, aber das Getöse hatte viele Menschen herbeigelockt, die drangen ein, rissen den wütenden Nathanael auf und retteten so den Professor, der gleich verbunden wurde.
sandmann_4_f000125|Siegmund, so stark er war, vermochte nicht den Rasenden zu bändigen; der schrie mit fürchterlicher Stimme immerfort: Holzpüppchen dreh dich und schlug um sich mit geballten Fäusten.|Siegmund, so stark er war, vermochte nicht den Rasenden zu bändigen; der schrie mit fürchterlicher Stimme immerfort: Holzpüppchen dreh dich und schlug um sich mit geballten Fäusten.
sandmann_4_f000126|Endlich gelang es der vereinten Kraft mehrerer, ihn zu überwältigen, indem sie ihn zu Boden warfen und banden.|Endlich gelang es der vereinten Kraft mehrerer, ihn zu überwältigen, indem sie ihn zu Boden warfen und banden.
sandmann_4_f000127|Seine Worte gingen unter in entsetzlichem tierischen Gebrüll.|Seine Worte gingen unter in entsetzlichem tierischen Gebrüll.
sandmann_4_f000128|So in gräßlicher Raserei tobend wurde er nach dem Tollhause gebracht.|So in gräßlicher Raserei tobend wurde er nach dem Tollhause gebracht.
sandmann_4_f000129|Ehe ich, günstiger Leser!|Ehe ich, günstiger Leser!
sandmann_4_f000130|dir zu erzählen fortfahre, was sich weiter mit dem unglücklichen Nathanael zugetragen, kann ich dir, solltest du einigen Anteil an dem geschickten Mechanikus und Automat-Fabrikanten Spalanzani nehmen, versichern, daß er von seinen Wunden völlig geheilt wurde.|dir zu erzählen fortfahre, was sich weiter mit dem unglücklichen Nathanael zugetragen, kann ich dir, solltest du einigen Anteil an dem geschickten Mechanikus und Automat-Fabrikanten Spalanzani nehmen, versichern, daß er von seinen Wunden völlig geheilt wurde.
sandmann_4_f000131|Er mußte indes die Universität verlassen, weil Nathanaels Geschichte Aufsehen erregt hatte und es allgemein für gänzlich unerlaubten Betrug gehalten wurde, vernünftigen Teezirkeln (Olimpia hatte sie mit Glück besucht) statt der lebendigen Person eine Holzpuppe einzuschwärzen.|Er mußte indes die Universität verlassen, weil Nathanaels Geschichte Aufsehen erregt hatte und es allgemein für gänzlich unerlaubten Betrug gehalten wurde, vernünftigen Teezirkeln Olimpia hatte sie mit Glück besucht statt der lebendigen Person eine Holzpuppe einzuschwärzen.
sandmann_4_f000132|Juristen nannten es sogar einen feinen und um so härter zu bestrafenden Betrug, als er gegen das Publikum gerichtet und so schlau angelegt worden, daß kein Mensch (ganz kluge Studenten ausgenommen) es gemerkt habe,|Juristen nannten es sogar einen feinen und um so härter zu bestrafenden Betrug, als er gegen das Publikum gerichtet und so schlau angelegt worden, daß kein Mensch ganz kluge Studenten ausgenommen es gemerkt habe,
sandmann_4_f000133|unerachtet jetzt alle weise tun und sich auf allerlei Tatsachen berufen wollten, die ihnen verdächtig vorgekommen.|unerachtet jetzt alle weise tun und sich auf allerlei Tatsachen berufen wollten, die ihnen verdächtig vorgekommen.
sandmann_4_f000134|Diese letzteren brachten aber eigentlich nichts Gescheutes zutage.|Diese letzteren brachten aber eigentlich nichts Gescheutes zutage.
sandmann_4_f000135|Denn konnte z.B. wohl irgend jemanden verdächtig vorgekommen sein, daß nach der Aussage eines eleganten Teeisten Olimpia gegen alle Sitte öfter genieset, als gegähnt hatte?|Denn konnte z.B. wohl irgend jemanden verdächtig vorgekommen sein, daß nach der Aussage eines eleganten Teeisten Olimpia gegen alle Sitte öfter genieset, als gegähnt hatte?
sandmann_4_f000136|Ersteres, meinte der Elegant, sei das Selbstaufziehen des verborgenen Triebwerks gewesen, merklich habe es dabei geknarrt usw.|Ersteres, meinte der Elegant, sei das Selbstaufziehen des verborgenen Triebwerks gewesen, merklich habe es dabei geknarrt usw.
sandmann_4_f000137|Der Professor der Poesie und Beredsamkeit nahm eine Prise, klappte die Dose zu, räusperte sich und sprach feierlich: Hochzuverehrende Herren und Damen!|Der Professor der Poesie und Beredsamkeit nahm eine Prise, klappte die Dose zu, räusperte sich und sprach feierlich: Hochzuverehrende Herren und Damen!
sandmann_4_f000138|merken Sie denn nicht, wo der Hase im Pfeffer liegt? Das Ganze ist eine Allegorie eine fortgeführte Metapher!|merken Sie denn nicht, wo der Hase im Pfeffer liegt? Das Ganze ist eine Allegorie eine fortgeführte Metapher!
sandmann_4_f000139|Sie verstehen mich! Sapienti sat!|Sie verstehen mich! Sapienti sat!
sandmann_4_f000140|Aber viele hochzuverehrende Herren beruhigten sich nicht dabei; die Geschichte mit dem Automat hatte tief in ihrer Seele Wurzel gefaßt und es schlich sich in der Tat abscheuliches Mißtrauen gegen menschliche Figuren ein.|Aber viele hochzuverehrende Herren beruhigten sich nicht dabei; die Geschichte mit dem Automat hatte tief in ihrer Seele Wurzel gefaßt und es schlich sich in der Tat abscheuliches Mißtrauen gegen menschliche Figuren ein.
sandmann_4_f000141|Um nun ganz überzeugt zu werden, daß man keine Holzpuppe liebe, wurde von mehrern Liebhabern verlangt, daß die Geliebte etwas taktlos singe und tanze, daß sie beim Vorlesen sticke, stricke, mit dem Möpschen spiele usw. vor allen Dingen aber,|Um nun ganz überzeugt zu werden, daß man keine Holzpuppe liebe, wurde von mehrern Liebhabern verlangt, daß die Geliebte etwas taktlos singe und tanze, daß sie beim Vorlesen sticke, stricke, mit dem Möpschen spiele usw. vor allen Dingen aber,
sandmann_4_f000142|daß sie nicht bloß höre, sondern auch manchmal in der Art spreche, daß dies Sprechen wirklich ein Denken und Empfinden voraussetze.|daß sie nicht bloß höre, sondern auch manchmal in der Art spreche, daß dies Sprechen wirklich ein Denken und Empfinden voraussetze.
sandmann_4_f000143|Das Liebesbündnis vieler wurde fester und dabei anmutiger, andere dagegen gingen leise auseinander.|Das Liebesbündnis vieler wurde fester und dabei anmutiger, andere dagegen gingen leise auseinander.
sandmann_4_f000144|Man kann wahrhaftig nicht dafür stehen, sagte dieser und jener.|Man kann wahrhaftig nicht dafür stehen, sagte dieser und jener.
sandmann_4_f000145|In den Tees wurde unglaublich gegähnt und niemals genieset, um jedem Verdacht zu begegnen.|In den Tees wurde unglaublich gegähnt und niemals genieset, um jedem Verdacht zu begegnen.
sandmann_4_f000146|Spalanzani mußte, wie gesagt, fort, um der Kriminaluntersuchung wegen [des] der menschlichen Gesellschaft betrüglicherweise eingeschobenen Automats zu entgehen.|Spalanzani mußte, wie gesagt, fort, um der Kriminaluntersuchung wegen des der menschlichen Gesellschaft betrüglicherweise eingeschobenen Automats zu entgehen.
sandmann_4_f000147|Coppola war auch verschwunden.|Coppola war auch verschwunden.
sandmann_4_f000148|Nathanael erwachte wie aus schwerem, fürchterlichem Traum, er schlug die Augen auf und fühlte wie ein unbeschreibliches Wonnegefühl mit sanfter himmlischer Wärme ihn durchströmte.|Nathanael erwachte wie aus schwerem, fürchterlichem Traum, er schlug die Augen auf und fühlte wie ein unbeschreibliches Wonnegefühl mit sanfter himmlischer Wärme ihn durchströmte.
sandmann_4_f000149|Er lag in seinem Zimmer in des Vaters Hause auf dem Bette, Clara hatte sich über ihn hingebeugt und unfern standen die Mutter und Lothar.|Er lag in seinem Zimmer in des Vaters Hause auf dem Bette, Clara hatte sich über ihn hingebeugt und unfern standen die Mutter und Lothar.
sandmann_4_f000150|Endlich, endlich, o mein herzlieber Nathanael nun bist du genesen von schwerer Krankheit nun bist du wieder mein!|Endlich, endlich, o mein herzlieber Nathanael nun bist du genesen von schwerer Krankheit nun bist du wieder mein!
sandmann_4_f000151|So sprach Clara recht aus tiefer Seele und faßte den Nathanael in ihre Arme.|So sprach Clara recht aus tiefer Seele und faßte den Nathanael in ihre Arme.
sandmann_4_f000152|Aber dem quollen vor lauter Wehmut und Entzücken die hellen glühenden Tränen aus den Augen und er stöhnte tief auf.|Aber dem quollen vor lauter Wehmut und Entzücken die hellen glühenden Tränen aus den Augen und er stöhnte tief auf.
sandmann_4_f000153|Meine meine Clara!|Meine meine Clara!
sandmann_4_f000154|Siegmund, der getreulich ausgeharrt bei dem Freunde in großer Not, trat herein.|Siegmund, der getreulich ausgeharrt bei dem Freunde in großer Not, trat herein.
sandmann_4_f000155|Nathanael reichte ihm die Hand: Du treuer Bruder hast mich doch nicht verlassen.|Nathanael reichte ihm die Hand: Du treuer Bruder hast mich doch nicht verlassen.
sandmann_4_f000156|Jede Spur des Wahnsinns war verschwunden, bald erkräftigte sich Nathanael in der sorglichen Pflege der Mutter, der Geliebten, der Freunde.|Jede Spur des Wahnsinns war verschwunden, bald erkräftigte sich Nathanael in der sorglichen Pflege der Mutter, der Geliebten, der Freunde.
sandmann_4_f000157|Das Glück war unterdessen in das Haus eingekehrt; denn ein alter karger Oheim, von dem niemand etwas gehofft, war gestorben und hatte der Mutter nebst einem nicht unbedeutenden Vermögen ein Gütchen in einer angenehmen Gegend unfern der Stadt hinterlassen.|Das Glück war unterdessen in das Haus eingekehrt; denn ein alter karger Oheim, von dem niemand etwas gehofft, war gestorben und hatte der Mutter nebst einem nicht unbedeutenden Vermögen ein Gütchen in einer angenehmen Gegend unfern der Stadt hinterlassen.
sandmann_4_f000158|Dort wollten sie hinziehen, die Mutter, Nathanael mit seiner Clara, die er nun zu heiraten gedachte, und Lothar.|Dort wollten sie hinziehen, die Mutter, Nathanael mit seiner Clara, die er nun zu heiraten gedachte, und Lothar.
sandmann_4_f000159|Nathanael war milder, kindlicher geworden, als er je gewesen und erkannte nun erst recht Claras himmlisch reines, herrliches Gemüt.|Nathanael war milder, kindlicher geworden, als er je gewesen und erkannte nun erst recht Claras himmlisch reines, herrliches Gemüt.
sandmann_4_f000160|Niemand erinnerte ihn auch nur durch den leisesten Anklang an die Vergangenheit.|Niemand erinnerte ihn auch nur durch den leisesten Anklang an die Vergangenheit.
sandmann_4_f000161|Nur, als Siegmund von ihm schied, sprach Nathanael: Bei Gott Bruder!|Nur, als Siegmund von ihm schied, sprach Nathanael: Bei Gott Bruder!
sandmann_4_f000162|ich war auf schlimmen Wege, aber zu rechter Zeit leitete mich ein Engel auf den lichten Pfad!|ich war auf schlimmen Wege, aber zu rechter Zeit leitete mich ein Engel auf den lichten Pfad!
sandmann_4_f000163|Ach es war ja Clara!|Ach es war ja Clara!
sandmann_4_f000164|Siegmund ließ ihn nicht weiter reden, aus Besorgnis, tief verletzende Erinnerungen möchten ihm zu hell und flammend aufgehen.|Siegmund ließ ihn nicht weiter reden, aus Besorgnis, tief verletzende Erinnerungen möchten ihm zu hell und flammend aufgehen.
sandmann_4_f000165|Es war an der Zeit, daß die vier glücklichen Menschen nach dem Gütchen ziehen wollten.|Es war an der Zeit, daß die vier glücklichen Menschen nach dem Gütchen ziehen wollten.
sandmann_4_f000166|Zur Mittagsstunde gingen sie durch die Straßen der Stadt.|Zur Mittagsstunde gingen sie durch die Straßen der Stadt.
sandmann_4_f000167|Sie hatten manches eingekauft, der hohe Ratsturm warf seinen Riesenschatten über den Markt.|Sie hatten manches eingekauft, der hohe Ratsturm warf seinen Riesenschatten über den Markt.
sandmann_4_f000168|Ei! sagte Clara: steigen wir doch noch einmal herauf und schauen in das ferne Gebirge hinein!|Ei! sagte Clara: steigen wir doch noch einmal herauf und schauen in das ferne Gebirge hinein!
sandmann_4_f000169|Gesagt, getan! Beide, Nathanael und Clara, stiegen herauf, die Mutter ging mit der Dienstmagd nach Hause, und Lothar, nicht geneigt, die vielen Stufen zu erklettern, wollte unten warten.|Gesagt, getan! Beide, Nathanael und Clara, stiegen herauf, die Mutter ging mit der Dienstmagd nach Hause, und Lothar, nicht geneigt, die vielen Stufen zu erklettern, wollte unten warten.
sandmann_4_f000170|Da standen die beiden Liebenden Arm in Arm auf der höchsten Galerie des Turmes und schauten hinein in die duftigen Waldungen, hinter denen das blaue Gebirge, wie eine Riesenstadt, sich erhob.|Da standen die beiden Liebenden Arm in Arm auf der höchsten Galerie des Turmes und schauten hinein in die duftigen Waldungen, hinter denen das blaue Gebirge, wie eine Riesenstadt, sich erhob.
sandmann_4_f000171|Sieh doch den sonderbaren kleinen grauen Busch, der ordentlich auf uns los zu schreiten scheint, frug Clara.|Sieh doch den sonderbaren kleinen grauen Busch, der ordentlich auf uns los zu schreiten scheint, frug Clara.
sandmann_4_f000172|Nathanael faßte mechanisch nach der Seitentasche; er fand Coppolas Perspektiv, er schaute seitwärts Clara stand vor dem Glase!|Nathanael faßte mechanisch nach der Seitentasche; er fand Coppolas Perspektiv, er schaute seitwärts Clara stand vor dem Glase!
sandmann_4_f000173|Da zuckte es krampfhaft in seinen Pulsen und Adern totenbleich starrte er Clara an, aber bald glühten und sprühten Feuerströme durch die rollenden Augen, gräßlich brüllte er auf, wie ein gehetztes Tier;|Da zuckte es krampfhaft in seinen Pulsen und Adern totenbleich starrte er Clara an, aber bald glühten und sprühten Feuerströme durch die rollenden Augen, gräßlich brüllte er auf, wie ein gehetztes Tier;
sandmann_4_f000174|dann sprang er hoch in die Lüfte und grausig dazwischen lachend schrie er in schneidendem Ton: Holzpüppchen dreh dich Holzpüppchen dreh dich und mit gewaltiger Kraft faßte er Clara und wollte sie herabschleudern,|dann sprang er hoch in die Lüfte und grausig dazwischen lachend schrie er in schneidendem Ton: Holzpüppchen dreh dich Holzpüppchen dreh dich und mit gewaltiger Kraft faßte er Clara und wollte sie herabschleudern,
sandmann_4_f000175|aber Clara krallte sich in verzweifelnder Todesangst fest an das Geländer.|aber Clara krallte sich in verzweifelnder Todesangst fest an das Geländer.
sandmann_4_f000176|Lothar hörte den Rasenden toben, er hörte Claras Angstgeschrei, gräßliche Ahnung durchflog ihn, er rannte herauf, die Tür der zweiten Treppe war verschlossen stärker hallte Claras Jammergeschrei.|Lothar hörte den Rasenden toben, er hörte Claras Angstgeschrei, gräßliche Ahnung durchflog ihn, er rannte herauf, die Tür der zweiten Treppe war verschlossen stärker hallte Claras Jammergeschrei.
sandmann_4_f000177|Unsinnig vor Wut und Angst stieß er gegen die Tür, die endlich aufsprang Matter und matter wurden nun Claras Laute: Hülfe rettet rettet so erstarb die Stimme in den Lüften.|Unsinnig vor Wut und Angst stieß er gegen die Tür, die endlich aufsprang Matter und matter wurden nun Claras Laute: Hülfe rettet rettet so erstarb die Stimme in den Lüften.
sandmann_4_f000178|Sie ist hin ermordet von dem Rasenden, so schrie Lothar.|Sie ist hin ermordet von dem Rasenden, so schrie Lothar.
sandmann_4_f000179|Auch die Tür zur Galerie war zugeschlagen.|Auch die Tür zur Galerie war zugeschlagen.
sandmann_4_f000180|Die Verzweiflung gab ihm Riesenkraft, er sprengte die Tür aus den Angeln.|Die Verzweiflung gab ihm Riesenkraft, er sprengte die Tür aus den Angeln.
sandmann_4_f000181|Gott im Himmel Clara schwebte von dem rasenden Nathanael erfaßt über der Galerie in den Lüften nur mit einer Hand hatte sie noch die Eisenstäbe umklammert.|Gott im Himmel Clara schwebte von dem rasenden Nathanael erfaßt über der Galerie in den Lüften nur mit einer Hand hatte sie noch die Eisenstäbe umklammert.
sandmann_4_f000182|Rasch wie der Blitz erfaßte Lothar die Schwester, zog sie hinein, und schlug im demselben Augenblick mit geballter Faust dem Wütenden ins Gesicht, daß er zurückprallte und die Todesbeute fallen ließ.|Rasch wie der Blitz erfaßte Lothar die Schwester, zog sie hinein, und schlug im demselben Augenblick mit geballter Faust dem Wütenden ins Gesicht, daß er zurückprallte und die Todesbeute fallen ließ.
sandmann_4_f000183|Lothar rannte herab, die ohnmächtige Schwester in den Armen.|Lothar rannte herab, die ohnmächtige Schwester in den Armen.
sandmann_4_f000184|Sie war gerettet. Nun raste Nathanael herum auf der Galerie und sprang hoch in die Lüfte und schrie Feuerkreis dreh dich Feuerkreis dreh dich Die Menschen liefen auf das wilde Geschrei zusammen; unter ihnen ragte riesengroß der Advokat Coppelius hervor,|Sie war gerettet. Nun raste Nathanael herum auf der Galerie und sprang hoch in die Lüfte und schrie Feuerkreis dreh dich Feuerkreis dreh dich Die Menschen liefen auf das wilde Geschrei zusammen; unter ihnen ragte riesengroß der Advokat Coppelius hervor,
sandmann_4_f000185|der eben in die Stadt gekommen und gerades Weges nach dem Markt geschritten war.|der eben in die Stadt gekommen und gerades Weges nach dem Markt geschritten war.
sandmann_4_f000186|Man wollte herauf, um sich des Rasenden zu bemächtigen, da lachte Coppelius sprechend: Ha ha wartet nur, der kommt schon herunter von selbst, und schaute wie die übrigen hinauf.|Man wollte herauf, um sich des Rasenden zu bemächtigen, da lachte Coppelius sprechend: Ha ha wartet nur, der kommt schon herunter von selbst, und schaute wie die übrigen hinauf.
sandmann_4_f000187|Nathanael blieb plötzlich wie erstarrt stehen, er bückte sich herab, wurde den Coppelius gewahr und mit dem gellenden Schrei: Ha!|Nathanael blieb plötzlich wie erstarrt stehen, er bückte sich herab, wurde den Coppelius gewahr und mit dem gellenden Schrei: Ha!
sandmann_4_f000188|Sköne Oke Sköne Oke, sprang er über das Geländer.|Sköne Oke Sköne Oke, sprang er über das Geländer.
sandmann_4_f000189|Als Nathanael mit zerschmettertem Kopf auf dem, Steinpflaster lag, war Coppelius im Gewühl verschwunden.|Als Nathanael mit zerschmettertem Kopf auf dem, Steinpflaster lag, war Coppelius im Gewühl verschwunden.
sandmann_4_f000190|Nach mehreren Jahren will man in einer entfernten Gegend Clara gesehen haben, wie sie mit einem freundlichen Mann, Hand in Hand vor der Türe eines schönen Landhauses saß und vor ihr zwei muntre Knaben spielten.|Nach mehreren Jahren will man in einer entfernten Gegend Clara gesehen haben, wie sie mit einem freundlichen Mann, Hand in Hand vor der Türe eines schönen Landhauses saß und vor ihr zwei muntre Knaben spielten.
sandmann_4_f000191|Es wäre daraus zu schließen, daß Clara das ruhige häusliche Glück noch fand, das ihrem heitern lebenslustigen Sinn zusagte und das ihr der im Innern zerrissene Nathanael niemals hätte gewähren können.|Es wäre daraus zu schließen, daß Clara das ruhige häusliche Glück noch fand, das ihrem heitern lebenslustigen Sinn zusagte und das ihr der im Innern zerrissene Nathanael niemals hätte gewähren können.
