ferien_vom_ich_001_f000001|Abschnitt 1.|Abschnitt eins.
ferien_vom_ich_003_f000233|Kommen Sie mit?|Kommen Sie mit?
ferien_vom_ich_003_f000234|Sie haben es doch wohl nicht so eilig nach Hause?|Sie haben es doch wohl nicht so eilig nach Hause?
ferien_vom_ich_003_f000235|Ich wußte, daß ich bei diesem Manne verspielt hatte, aber ich nahm die Einladung an.|Ich wußte, daß ich bei diesem Manne verspielt hatte, aber ich nahm die Einladung an.
ferien_vom_ich_003_f000236|Er sagte, er habe nun noch Geschäfte, wir würden uns im Theater treffen.|Er sagte, er habe nun noch Geschäfte, wir würden uns im Theater treffen.
ferien_vom_ich_003_f000237|Damit händigte er mir eine Theaterkarte ein und verließ mich. – Mendelssohns Ouvertüre zum Sommernachtstraum huschte und zwitscherte an mir vorüber, Shakespeares unsterbliches Werk reinster Fröhlichkeit tat sich in glänzender Darstellung vor mir auf, aber ich saß wie ein Geistesabwesender auf meinem Platze.|Damit händigte er mir eine Theaterkarte ein und verließ mich. - Mendelssohns Ouvertüre zum Sommernachtstraum huschte und zwitscherte an mir vorüber, Shakespeares unsterbliches Werk reinster Fröhlichkeit tat sich in glänzender Darstellung vor mir auf, aber ich saß wie ein Geistesabwesender auf meinem Platze.
ferien_vom_ich_003_f000238|Der Stuhl neben mir war leer geblieben.|Der Stuhl neben mir war leer geblieben.
ferien_vom_ich_003_f000239|Stefenson war nicht erschienen.|Stefenson war nicht erschienen.
ferien_vom_ich_003_f000240|Der Märchenwald, durch den die Elfen huschten, blaute vor meinen Augen; aber ich dachte an den Wald an dem Abhang des Waltersburger Weihnachtsberges.|Der Märchenwald, durch den die Elfen huschten, blaute vor meinen Augen; aber ich dachte an den Wald an dem Abhang des Waltersburger Weihnachtsberges.
ferien_vom_ich_003_f000241|Pyramus und Thisbe trieben ihren grotesken Spaß.|Pyramus und Thisbe trieben ihren grotesken Spaß.
ferien_vom_ich_003_f000242|Da dröhnte von meiner Logentür her tiefes Gelächter.|Da dröhnte von meiner Logentür her tiefes Gelächter.
ferien_vom_ich_003_f000243|Stefenson stand dort.|Stefenson stand dort.
ferien_vom_ich_003_f000244|Er beachtete mich nicht, er schaute nur vergnügt nach der Bühne und lachte so laut, daß er die Aufmerksamkeit des Publikums auf sich zog.|Er beachtete mich nicht, er schaute nur vergnügt nach der Bühne und lachte so laut, daß er die Aufmerksamkeit des Publikums auf sich zog.
ferien_vom_ich_003_f000245|Die nächste Pause kam.|Die nächste Pause kam.
ferien_vom_ich_003_f000246|Da setzte sich Stefenson neben mich und sagte zur Entschuldigung seines späten Kommens: Manche Geschäfte wickeln sich in Berlin sehr langsam ab.|Da setzte sich Stefenson neben mich und sagte zur Entschuldigung seines späten Kommens: Manche Geschäfte wickeln sich in Berlin sehr langsam ab.
ferien_vom_ich_003_f000247|Nach dem Theater fuhren wir nach einem Restaurant.|Nach dem Theater fuhren wir nach einem Restaurant.
ferien_vom_ich_003_f000248|Nachdem wir gegessen hatten, sagte Stefenson ganz unvermittelt: Die Luise habe ich flottgemacht.|Nachdem wir gegessen hatten, sagte Stefenson ganz unvermittelt: Die Luise habe ich flottgemacht.
ferien_vom_ich_003_f000249|Zuviel Schwierigkeiten habe ich mit dem alten Gauner nicht gehabt.|Zuviel Schwierigkeiten habe ich mit dem alten Gauner nicht gehabt.
ferien_vom_ich_003_f000250|Der Hauswirt war gerade bei ihm und drängte um die Miete; da machte es der Kerl um dreihundert Mark.|Der Hauswirt war gerade bei ihm und drängte um die Miete; da machte es der Kerl um dreihundert Mark.
ferien_vom_ich_003_f000251|Er gab alles schriftlich, was ich wünschte.|Er gab alles schriftlich, was ich wünschte.
ferien_vom_ich_003_f000252|Mit Anwälten ist das nichts.|Mit Anwälten ist das nichts.
ferien_vom_ich_003_f000253|Das ist teuer und umständlich.|Das ist teuer und umständlich.
ferien_vom_ich_003_f000254|Mit dreihundert Mark war alles in zwanzig Minuten gemacht, und ich hatte das Kind.|Mit dreihundert Mark war alles in zwanzig Minuten gemacht, und ich hatte das Kind.
ferien_vom_ich_003_f000255|Dann war ich um eine Pflegeschwester aus.|Dann war ich um eine Pflegeschwester aus.
ferien_vom_ich_003_f000256|Das hat länger gedauert.|Das hat länger gedauert.
ferien_vom_ich_003_f000257|Das hat unsinnig lange gedauert.|Das hat unsinnig lange gedauert.
ferien_vom_ich_003_f000258|Die ganze schöne Eselsszene habe ich im Theater verpaßt.|Die ganze schöne Eselsszene habe ich im Theater verpaßt.
ferien_vom_ich_003_f000259|Die Pflegeschwester ist nun mit der Luise in unserem Hotel.|Die Pflegeschwester ist nun mit der Luise in unserem Hotel.
ferien_vom_ich_003_f000260|Nummer 187 wohnen sie.|Nummer hundertsiebenundachtzig wohnen sie.
ferien_vom_ich_003_f000261|Bald fahren sie nach einem Erziehungsinstitut in Thüringen.|Bald fahren sie nach einem Erziehungsinstitut in Thüringen.
ferien_vom_ich_003_f000262|Es ist mir empfohlen worden.|Es ist mir empfohlen worden.
ferien_vom_ich_003_f000263|Da wird ja wohl die Luise körperlich und seelisch zurechtgestutzt werden.|Da wird ja wohl die Luise körperlich und seelisch zurechtgestutzt werden.
ferien_vom_ich_003_f000264|Ich schlug wieder einmal die Hände zusammen.|Ich schlug wieder einmal die Hände zusammen.
ferien_vom_ich_003_f000265|Guter Herr Stefenson, das haben Sie getan?|Guter Herr Stefenson, das haben Sie getan?
ferien_vom_ich_003_f000266|Ich bitte, exaltieren Sie sich nicht!|Ich bitte, exaltieren Sie sich nicht!
ferien_vom_ich_003_f000267|Eine Zeitlang wird die Luise in dem Institut bleiben, und dann kann sie zu uns in das Ferienheim kommen – so als eine Art – als eine Art Einweihungsengel.|Eine Zeitlang wird die Luise in dem Institut bleiben, und dann kann sie zu uns in das Ferienheim kommen - so als eine Art - als eine Art Einweihungsengel.
ferien_vom_ich_003_f000268|Mich würgte es in der Kehle.|Mich würgte es in der Kehle.
ferien_vom_ich_003_f000269|Sie wollen das Heim doch mit mir gründen?|Sie wollen das Heim doch mit mir gründen?
ferien_vom_ich_003_f000270|Ja, sagte er ganz ruhig, ich will.|Ja, sagte er ganz ruhig, ich will.
ferien_vom_ich_003_f000271|Es hat mir was an Ihrer Geschichte gefallen.|Es hat mir was an Ihrer Geschichte gefallen.
ferien_vom_ich_003_f000272|Natürlich nicht das Sentimentale, aber daß sie fünf Jahre lang die Jagd machten, das zeugt doch von einer gewissen Ausdauer.|Natürlich nicht das Sentimentale, aber daß sie fünf Jahre lang die Jagd machten, das zeugt doch von einer gewissen Ausdauer.
ferien_vom_ich_003_f000273|Und Ausdauer ist zu gebrauchen.|Und Ausdauer ist zu gebrauchen.
ferien_vom_ich_003_f000274|Ich bin wieder im stillen Waltersburg.|Ich bin wieder im stillen Waltersburg.
ferien_vom_ich_003_f000275|Berlin N liegt hinter mir wie ein wüster Traum.|Berlin N liegt hinter mir wie ein wüster Traum.
ferien_vom_ich_003_f000276|Welch Gegensatz!|Welch Gegensatz!
ferien_vom_ich_003_f000277|Die kleine Luise ist gut untergebracht.|Die kleine Luise ist gut untergebracht.
ferien_vom_ich_003_f000278|Stefenson hat mir gestern schriftlich mitgeteilt, daß er mich für keinen Philosophen halte, auch nicht für das, was man einen lebensklugen Menschen nenne, und was ich als Arzt tauge, könne er nicht beurteilen.|Stefenson hat mir gestern schriftlich mitgeteilt, daß er mich für keinen Philosophen halte, auch nicht für das, was man einen lebensklugen Menschen nenne, und was ich als Arzt tauge, könne er nicht beurteilen.
ferien_vom_ich_003_f000279|Er halte mich für einen Dichter.|Er halte mich für einen Dichter.
ferien_vom_ich_003_f000280|Meine ganze Idee sei weniger ärztliches Problem als vielmehr eine Dichtung.|Meine ganze Idee sei weniger ärztliches Problem als vielmehr eine Dichtung.
ferien_vom_ich_003_f000281|Aber Dichtung sei besser als Problem.|Aber Dichtung sei besser als Problem.
ferien_vom_ich_003_f000282|Dichtung ist etwas Gezeugtes, Probleme sind etwas Konstruiertes, Dichtung ist Lebewesen, Problem ist Mechanik.|Dichtung ist etwas Gezeugtes, Probleme sind etwas Konstruiertes, Dichtung ist Lebewesen, Problem ist Mechanik.
ferien_vom_ich_003_f000283|Und so solle ich nur jetzt meine Dichtung ganz ausgestalten und ihm vertrauensvoll übergeben.|Und so solle ich nur jetzt meine Dichtung ganz ausgestalten und ihm vertrauensvoll übergeben.
ferien_vom_ich_003_f000284|Was ausführbar sei, werde ausgeführt werden, das andere werde als blauer Dampf in die Höhe ziehen und auch als Wölklein am Himmel noch schön sein.|Was ausführbar sei, werde ausgeführt werden, das andere werde als blauer Dampf in die Höhe ziehen und auch als Wölklein am Himmel noch schön sein.
ferien_vom_ich_003_f000285|Ende von abschnitt 3.|Ende von abschnitt drei.
ferien_vom_ich_004_f000001|Abschnitt 4 von Ferien vom ich vom Paul Keller.|Abschnitt vier von Ferien vom ich vom Paul Keller.
ferien_vom_ich_004_f000002|Diese Librivox Aufnahme ist in der public Domain.|Diese Librivox Aufnahme ist in der public Domain.
ferien_vom_ich_004_f000003|IN DEN TAGEN DES WERDENS.|IN DEN TAGEN DES WERDENS.
ferien_vom_ich_004_f000004|Beschaulichen und nachdenksamen Charakters ist Herr Stefenson nicht.|Beschaulichen und nachdenksamen Charakters ist Herr Stefenson nicht.
ferien_vom_ich_004_f000005|Es geht alles so verblüffend schnell bei ihm, daß er, wenn ein anderer noch bei den ersten Erwägungen und Bedenken stände, schon am Ende ist.|Es geht alles so verblüffend schnell bei ihm, daß er, wenn ein anderer noch bei den ersten Erwägungen und Bedenken stände, schon am Ende ist.
ferien_vom_ich_004_f000006|Freilich kommt dazu, daß er Glück hat.|Freilich kommt dazu, daß er Glück hat.
ferien_vom_ich_004_f000007|Das Gelände am Ostabhang des Weihnachtsberges steht zum Verkauf.|Das Gelände am Ostabhang des Weihnachtsberges steht zum Verkauf.
ferien_vom_ich_004_f000008|Es gehört einem Manne, der, wie Hans im Glück, ständig seinen Besitz vertauschte.|Es gehört einem Manne, der, wie Hans im Glück, ständig seinen Besitz vertauschte.
ferien_vom_ich_004_f000009|Dieses Gut hat er gegen große, sehr ertragreiche Steinbrüche umgetauscht, die Steinbrüche gegen eine Fabrik, die noch besser war, und so ist es langsam bergab gegangen, und Herr Stefenson mit seinem großen Geldbeutel hat wenig Schwierigkeiten gefunden.|Dieses Gut hat er gegen große, sehr ertragreiche Steinbrüche umgetauscht, die Steinbrüche gegen eine Fabrik, die noch besser war, und so ist es langsam bergab gegangen, und Herr Stefenson mit seinem großen Geldbeutel hat wenig Schwierigkeiten gefunden.
ferien_vom_ich_004_f000010|Achtundvierzig Stunden haben die Verhandlungen gedauert, dann war das Gut, das mit Wiese und Wald 2500 Hektar groß ist, von Stefenson gekauft.|Achtundvierzig Stunden haben die Verhandlungen gedauert, dann war das Gut, das mit Wiese und Wald zweitausendfünfhundert Hektar groß ist, von Stefenson gekauft.
ferien_vom_ich_004_f000011|Um einen Preis, bei dessen Nennung einem früheren Schiffsarzt die Gänsehaut ankommt.|Um einen Preis, bei dessen Nennung einem früheren Schiffsarzt die Gänsehaut ankommt.
ferien_vom_ich_004_f000012|Nun ist das Gelände da, nun muß die Gemeinde errichtet werden, sagte Stefenson sehr einfach.|Nun ist das Gelände da, nun muß die Gemeinde errichtet werden, sagte Stefenson sehr einfach.
ferien_vom_ich_004_f000013|In einem Jahre müssen sämtliche Häuser stehen.|In einem Jahre müssen sämtliche Häuser stehen.
ferien_vom_ich_004_f000014|In einem Jahre?|In einem Jahre?
ferien_vom_ich_004_f000015|Ja!|Ja!
ferien_vom_ich_004_f000016|Die Deutschen brauchen, wenn sie einen Dom bauen wollen, vierhundert Jahre, der Amerikaner braucht, wenn er eine Stadt baut, sechs Monate.|Die Deutschen brauchen, wenn sie einen Dom bauen wollen, vierhundert Jahre, der Amerikaner braucht, wenn er eine Stadt baut, sechs Monate.
ferien_vom_ich_004_f000017|Es ist dann aber auch danach.|Es ist dann aber auch danach.
ferien_vom_ich_004_f000018|Ob es danach ist oder nicht, ist gleich, erwiderte Stefenson verdrossen.|Ob es danach ist oder nicht, ist gleich, erwiderte Stefenson verdrossen.
ferien_vom_ich_004_f000019|Jedenfalls habe ich für die ganze Chose nicht mehr Zeit.|Jedenfalls habe ich für die ganze Chose nicht mehr Zeit.
ferien_vom_ich_004_f000020|Ich muß nach Neuyork, nach Milwaukee, nach Trinidad.|Ich muß nach Neuyork, nach Milwaukee, nach Trinidad.
ferien_vom_ich_004_f000021|Sehen Sie sich das Gelände an und machen Sie Ihren Plan.|Sehen Sie sich das Gelände an und machen Sie Ihren Plan.
ferien_vom_ich_004_f000022|Ich werde auch einen Plan machen.|Ich werde auch einen Plan machen.
ferien_vom_ich_004_f000023|Ich brauche drei Tage Zeit dazu.|Ich brauche drei Tage Zeit dazu.
ferien_vom_ich_004_f000024|Ich würde drei Jahre dazu brauchen, aber um Ihretwillen werde ich in sechs Wochen mit meinem Plane fertig sein.|Ich würde drei Jahre dazu brauchen, aber um Ihretwillen werde ich in sechs Wochen mit meinem Plane fertig sein.
ferien_vom_ich_004_f000025|Er wandte sich finster ab.|Er wandte sich finster ab.
ferien_vom_ich_004_f000026|Drei Tage lang lief er auf dem erworbenen Gelände umher, zeichnete, machte Notizen und ging mir aus dem Wege.|Drei Tage lang lief er auf dem erworbenen Gelände umher, zeichnete, machte Notizen und ging mir aus dem Wege.
ferien_vom_ich_004_f000027|Am vierten Tage teilte er mir auf einer Postkarte mit, er habe einen kleinen Abstecher nach Sizilien unternommen.|Am vierten Tage teilte er mir auf einer Postkarte mit, er habe einen kleinen Abstecher nach Sizilien unternommen.
ferien_vom_ich_004_f000028|Ich war froh darüber und ging nun daran, mein Ferienheim im Plane zu entwerfen.|Ich war froh darüber und ging nun daran, mein Ferienheim im Plane zu entwerfen.
ferien_vom_ich_004_f000029|Das Gelände kannte ich genau.|Das Gelände kannte ich genau.
ferien_vom_ich_004_f000030|Die meisten meiner Bubenstreiche hatten in jenem Walde gespielt; auf jenen Wiesenrainen war ich als Student tausendmal gegangen.|Die meisten meiner Bubenstreiche hatten in jenem Walde gespielt; auf jenen Wiesenrainen war ich als Student tausendmal gegangen.
ferien_vom_ich_004_f000031|Eines war zu vermeiden – alle Gleichförmigkeit.|Eines war zu vermeiden - alle Gleichförmigkeit.
ferien_vom_ich_004_f000032|Eine Villa neben die andere zu bauen, ein Logierhaus wie das andere, alles in zimperlich geordneten Gärten, wo man kaum einen Fuß hineinzusetzen wagt wie in die gute Stube einer peinlichen,|Eine Villa neben die andere zu bauen, ein Logierhaus wie das andere, alles in zimperlich geordneten Gärten, wo man kaum einen Fuß hineinzusetzen wagt wie in die gute Stube einer peinlichen,
ferien_vom_ich_004_f000033|eitlen Hausfrau, das sollte uns gewiß nicht einfallen, ganz abgesehen von Basaren, Hotels, Restaurants, Plätzen und Straßen großstädtischer Art.|eitlen Hausfrau, das sollte uns gewiß nicht einfallen, ganz abgesehen von Basaren, Hotels, Restaurants, Plätzen und Straßen großstädtischer Art.
ferien_vom_ich_004_f000034|Im Mittelpunkt der Ferienheimat soll das Rathaus liegen.|Im Mittelpunkt der Ferienheimat soll das Rathaus liegen.
ferien_vom_ich_004_f000035|Es soll ein großer, geräumiger Bau altdeutschen Stils sein.|Es soll ein großer, geräumiger Bau altdeutschen Stils sein.
ferien_vom_ich_004_f000036|Der Bürgermeister wird darin wohnen; denn einen solchen wird uns wohl das Gesetz auferlegen; aber auch die Sprechzimmer der Ärzte sollen im Rathaus untergebracht sein, ebenso die Verwaltungsräume, die Kasse, die Nachtwächterstuben.|Der Bürgermeister wird darin wohnen; denn einen solchen wird uns wohl das Gesetz auferlegen; aber auch die Sprechzimmer der Ärzte sollen im Rathaus untergebracht sein, ebenso die Verwaltungsräume, die Kasse, die Nachtwächterstuben.
ferien_vom_ich_004_f000037|Auch einen großen ehrwürdigen Saal soll das Rathaus haben, in dem die Feriengäste manchmal zu einer Feierstunde nationaler, künstlerischer oder geselliger Art geladen werden.|Auch einen großen ehrwürdigen Saal soll das Rathaus haben, in dem die Feriengäste manchmal zu einer Feierstunde nationaler, künstlerischer oder geselliger Art geladen werden.
ferien_vom_ich_004_f000038|In diesem Rathaus wird auch das verbotene Zimmer mit den Zeitungen sein.|In diesem Rathaus wird auch das verbotene Zimmer mit den Zeitungen sein.
ferien_vom_ich_004_f000039|Ein Posten wird davor Wache halten und nur diejenigen einlassen, die eine Karte vorzeigen, und eine solche Karte wird jedem während der Dauer des Ferienaufenthaltes nur zweimal gewährt werden.|Ein Posten wird davor Wache halten und nur diejenigen einlassen, die eine Karte vorzeigen, und eine solche Karte wird jedem während der Dauer des Ferienaufenthaltes nur zweimal gewährt werden.
ferien_vom_ich_004_f000040|Das Rathaus wird am Lindenplatz liegen, dort, wo die große Linde mitten auf der Wiese steht.|Das Rathaus wird am Lindenplatz liegen, dort, wo die große Linde mitten auf der Wiese steht.
ferien_vom_ich_004_f000041|So oft auch die Dichter vom Platz unter der Linde und vom Tanz mit dem schönen Kinde und dem Traum im Abendwinde gesungen haben, mir ist die alte Weise nicht zu abgeleiert, ich will das fröhliche Glück vergangener Tage neu erstehen lassen.|So oft auch die Dichter vom Platz unter der Linde und vom Tanz mit dem schönen Kinde und dem Traum im Abendwinde gesungen haben, mir ist die alte Weise nicht zu abgeleiert, ich will das fröhliche Glück vergangener Tage neu erstehen lassen.
ferien_vom_ich_004_f000042|Am Lindenplatz, dem Rathaus gegenüber, soll die Lindenherberge liegen, unser größtes Gasthaus.|Am Lindenplatz, dem Rathaus gegenüber, soll die Lindenherberge liegen, unser größtes Gasthaus.
