maerchen_001_f000001|Der glückliche Prinz.|Der glückliche Prinz.
maerchen_006_f000015|der durch den wundervollen Zauber seines Lautenspiels der jungen Prinzessin Liebe erobert hatte, während andere von einem Künstler aus Rimini sprachen, dem die Prinzessin viel, vielleicht zuviel Ehre erwiesen hatte,|der durch den wundervollen Zauber seines Lautenspiels der jungen Prinzessin Liebe erobert hatte, während andere von einem Künstler aus Rimini sprachen, dem die Prinzessin viel, vielleicht zuviel Ehre erwiesen hatte,
maerchen_006_f000016|und der plötzlich aus der Stadt verschwunden war, ohne sein Werk im Dom vollendet zu haben.|und der plötzlich aus der Stadt verschwunden war, ohne sein Werk im Dom vollendet zu haben.
maerchen_006_f000017|Das Kind stahl man, als es kaum eine Woche alt war, von der Seite seiner schlafenden Mutter weg und gab es einem einfachen Landmann und seiner Frau,|Das Kind stahl man, als es kaum eine Woche alt war, von der Seite seiner schlafenden Mutter weg und gab es einem einfachen Landmann und seiner Frau,
maerchen_006_f000018|die selbst keine Kinder hatten und im entlegensten Teil des Waldes, mehr als einen Tagesritt von der Stadt entfernt, lebten.|die selbst keine Kinder hatten und im entlegensten Teil des Waldes, mehr als einen Tagesritt von der Stadt entfernt, lebten.
maerchen_006_f000019|Kummer oder die Pest, wie der Hofarzt feststellte, oder, wie manche glaubten, ein schnelles italienisches Gift, das in einem Becher gewürzten Weins gereicht wurde, tötete innerhalb einer Stunde nach seinem Erwachen das zarte Mädchen,|Kummer oder die Pest, wie der Hofarzt feststellte, oder, wie manche glaubten, ein schnelles italienisches Gift, das in einem Becher gewürzten Weins gereicht wurde, tötete innerhalb einer Stunde nach seinem Erwachen das zarte Mädchen,
maerchen_006_f000020|das ihn geboren hatte, und als der treue Bote, der das Kind auf seinem Sattelbogen trug, von seinem müden Pferd herabstieg und an die grobe Tür der Hütte des Ziegenhirten klopfte,|das ihn geboren hatte, und als der treue Bote, der das Kind auf seinem Sattelbogen trug, von seinem müden Pferd herabstieg und an die grobe Tür der Hütte des Ziegenhirten klopfte,
maerchen_006_f000021|wurde die Leiche der Prinzessin in ein offenes Grab hinabgelassen, das auf einem verlassenen Kirchhof jenseits der Stadtmauern gegraben war, in ein Grab, von dem es hieß, daß in ihm schon eine andere Leiche lag,|wurde die Leiche der Prinzessin in ein offenes Grab hinabgelassen, das auf einem verlassenen Kirchhof jenseits der Stadtmauern gegraben war, in ein Grab, von dem es hieß, daß in ihm schon eine andere Leiche lag,
maerchen_006_f000022|die eines jungen Mannes von wunderbarer und fremdländischer Schönheit, dem man die Hände mit verschlungenen Stricken auf dem Rücken zusammengebunden hatte, und dessen Brust viele rote Stichwunden zeigte.|die eines jungen Mannes von wunderbarer und fremdländischer Schönheit, dem man die Hände mit verschlungenen Stricken auf dem Rücken zusammengebunden hatte, und dessen Brust viele rote Stichwunden zeigte.
maerchen_006_f000023|So wenigstens lautete die Geschichte, die sich die Menschen zuflüsterten.|So wenigstens lautete die Geschichte, die sich die Menschen zuflüsterten.
maerchen_006_f000024|Und sicher war es, daß der alte König, als er auf dem Sterbebett lag, entweder aus Reue über seine große Sünde oder einfach, weil er nicht wünschte, daß das Königtum an eine andere Linie fallen sollte,|Und sicher war es, daß der alte König, als er auf dem Sterbebett lag, entweder aus Reue über seine große Sünde oder einfach, weil er nicht wünschte, daß das Königtum an eine andere Linie fallen sollte,
maerchen_006_f000025|den Jüngling holen ließ und ihn in Gegenwart seines Staatsrats als Erben anerkannte.|den Jüngling holen ließ und ihn in Gegenwart seines Staatsrats als Erben anerkannte.
maerchen_006_f000026|Und es scheint, daß er von dem ersten Augenblick seiner Anerkennung an Merkmale jener seltsamen Leidenschaft für Schönheit gezeigt hatte, die bestimmt war, einen so großen Einfluß über sein Leben zu haben.|Und es scheint, daß er von dem ersten Augenblick seiner Anerkennung an Merkmale jener seltsamen Leidenschaft für Schönheit gezeigt hatte, die bestimmt war, einen so großen Einfluß über sein Leben zu haben.
maerchen_006_f000027|Diejenigen, die ihn nach der Zimmerflucht begleiteten, die man zu seiner Benutzung ausgewählt hatte, sprachen oft von dem Freudenschrei, der von seinen Lippen brach, als er das feine Gewand und die reichen Juwelen sah,|Diejenigen, die ihn nach der Zimmerflucht begleiteten, die man zu seiner Benutzung ausgewählt hatte, sprachen oft von dem Freudenschrei, der von seinen Lippen brach, als er das feine Gewand und die reichen Juwelen sah,
maerchen_006_f000028|die man für ihn bereithielt, und die fast wilde Lust, mit der er den groben Lederrock und den rauhen Schaffellmantel von sich schleuderte.|die man für ihn bereithielt, und die fast wilde Lust, mit der er den groben Lederrock und den rauhen Schaffellmantel von sich schleuderte.
maerchen_006_f000029|Er vermißte zwar manchmal die schöne Freiheit seines Waldlebens und war stets geneigt, sich über die langweiligen Hofzeremonien zu ärgern, die ihm soviel von jedem Tag fortnahmen,|Er vermißte zwar manchmal die schöne Freiheit seines Waldlebens und war stets geneigt, sich über die langweiligen Hofzeremonien zu ärgern, die ihm soviel von jedem Tag fortnahmen,
maerchen_006_f000030|aber der wundervolle Palast – den freudenreichen nannte man ihn – in dessen Besitz er sich jetzt wußte, erschien ihm wie eine neue Welt, die zu seinem Entzücken eigens geschaffen war.|aber der wundervolle Palast - den freudenreichen nannte man ihn - in dessen Besitz er sich jetzt wußte, erschien ihm wie eine neue Welt, die zu seinem Entzücken eigens geschaffen war.
maerchen_006_f000031|Und sobald er der Ratsversammlung oder dem Audienzzimmer entfliehen konnte, lief er die große Treppe mit ihren Löwen aus vergoldeter Bronze und ihren Stufen aus schimmerndem Porphyr hinab und wanderte von Zimmer zu Zimmer und von Flur zu Flur, wie jemand, der im Schönen ein Heilmittel gegen den Schmerz, eine Gesundung aus dem Siechtum sucht.|Und sobald er der Ratsversammlung oder dem Audienzzimmer entfliehen konnte, lief er die große Treppe mit ihren Löwen aus vergoldeter Bronze und ihren Stufen aus schimmerndem Porphyr hinab und wanderte von Zimmer zu Zimmer und von Flur zu Flur, wie jemand, der im Schönen ein Heilmittel gegen den Schmerz, eine Gesundung aus dem Siechtum sucht.
maerchen_006_f000032|Auf diesen Entdeckungsfahrten, wie er sie wohl nannte – und sie waren ja für ihn wirkliche Reisen durch ein wunderbares Land, wurde er oft von den schlanken, blondhaarigen Hofpagen begleitet mit ihren wehenden Mänteln und den lustig flatternden Bändern.|Auf diesen Entdeckungsfahrten, wie er sie wohl nannte - und sie waren ja für ihn wirkliche Reisen durch ein wunderbares Land, wurde er oft von den schlanken, blondhaarigen Hofpagen begleitet mit ihren wehenden Mänteln und den lustig flatternden Bändern.
maerchen_006_f000033|Aber noch viel öfter war er allein, denn mit einem schnellen, sicheren Instinkt, der fast eine Offenbarung war, fühlte er, daß die Geheimnisse der Kunst nur im Geheimen gelernt werden können, und daß Schönheit, wie Weisheit, den einsamen Verehrer liebt.|Aber noch viel öfter war er allein, denn mit einem schnellen, sicheren Instinkt, der fast eine Offenbarung war, fühlte er, daß die Geheimnisse der Kunst nur im Geheimen gelernt werden können, und daß Schönheit, wie Weisheit, den einsamen Verehrer liebt.
maerchen_006_f000034|Viele seltsame Geschichten wurden um diese Zeit über ihn berichtet.|Viele seltsame Geschichten wurden um diese Zeit über ihn berichtet.
maerchen_006_f000035|Man erzählte, daß ein würdiger Bürgermeister, der gekommen war, für die Bürger der Stadt eine mit blühenden Phrasen geschmückte Denkschrift zu überreichen, gesehen hatte, wie er in wirklicher Anbetung vor einem großen Gemälde kniete,|Man erzählte, daß ein würdiger Bürgermeister, der gekommen war, für die Bürger der Stadt eine mit blühenden Phrasen geschmückte Denkschrift zu überreichen, gesehen hatte, wie er in wirklicher Anbetung vor einem großen Gemälde kniete,
maerchen_006_f000036|das man gerade aus Venedig gebracht hatte, und das den Dienst irgendwelcher neuen Götter zu verkünden schien.|das man gerade aus Venedig gebracht hatte, und das den Dienst irgendwelcher neuen Götter zu verkünden schien.
maerchen_006_f000037|Ein andermal wurde er mehrere Stunden vermißt und nach langem Suchen fand man ihn in einer kleinen Kammer in einem der Nordtürme des Palastes, wie er ganz verzaubert auf eine griechische Gemme starrte, in die die Figur des Adonis eingeschnitten war.|Ein andermal wurde er mehrere Stunden vermißt und nach langem Suchen fand man ihn in einer kleinen Kammer in einem der Nordtürme des Palastes, wie er ganz verzaubert auf eine griechische Gemme starrte, in die die Figur des Adonis eingeschnitten war.
maerchen_006_f000038|Man hatte ferner beobachtet, wie er seine warmen Lippen auf die marmorne Stirn einer antiken Statue drückte, die man beim Bau einer Steinbrücke im Flußbett gefunden hatte, und die den Namen eines bithynischen Sklaven Hadrians trug.|Man hatte ferner beobachtet, wie er seine warmen Lippen auf die marmorne Stirn einer antiken Statue drückte, die man beim Bau einer Steinbrücke im Flußbett gefunden hatte, und die den Namen eines bithynischen Sklaven Hadrians trug.
maerchen_006_f000039|Und eine ganze Nacht verbrachte er damit, den Eindruck zu beobachten, den das Mondlicht auf eine silberne Statue des Endymion machte.|Und eine ganze Nacht verbrachte er damit, den Eindruck zu beobachten, den das Mondlicht auf eine silberne Statue des Endymion machte.
maerchen_006_f000040|Alle seltenen und kostbaren Gegenstände übten jedenfalls einen starken Zauber auf ihn aus, und in seinem Verlangen, sie sich zu verschaffen, hatte er viele Kaufleute ausgesandt, einige, um von dem rauhen Fischervolk der Nordsee Meerschaum einzuhandeln, andere,|Alle seltenen und kostbaren Gegenstände übten jedenfalls einen starken Zauber auf ihn aus, und in seinem Verlangen, sie sich zu verschaffen, hatte er viele Kaufleute ausgesandt, einige, um von dem rauhen Fischervolk der Nordsee Meerschaum einzuhandeln, andere,
maerchen_006_f000041|um in Ägypten nach jenen merkwürdigen grünen Türkisen zu suchen, die man nur in den Gräbern der Könige findet, und von denen man sagt, daß sie magische Eigenschaften besitzen.|um in Ägypten nach jenen merkwürdigen grünen Türkisen zu suchen, die man nur in den Gräbern der Könige findet, und von denen man sagt, daß sie magische Eigenschaften besitzen.
maerchen_006_f000042|Noch andere mußten nach Persien reisen für seidene Teppiche und bemalte Töpferwaren, oder nach Indien, um Florgewebe zu kaufen und buntes Elfenbein, Mondsteine und Armbänder aus Achat, Sandelholz und blaues Emaille und Halstücher aus weicher Wolle.|Noch andere mußten nach Persien reisen für seidene Teppiche und bemalte Töpferwaren, oder nach Indien, um Florgewebe zu kaufen und buntes Elfenbein, Mondsteine und Armbänder aus Achat, Sandelholz und blaues Emaille und Halstücher aus weicher Wolle.
maerchen_006_f000043|Aber, was ihn am meisten beschäftigt hatte, war das Gewand, das er bei seiner Krönung tragen sollte, das Kleid aus gewebtem Gold, die rubinengeschmückte Krone und das Zepter mit seinen Kränzen und Reihen von Perlen.|Aber, was ihn am meisten beschäftigt hatte, war das Gewand, das er bei seiner Krönung tragen sollte, das Kleid aus gewebtem Gold, die rubinengeschmückte Krone und das Zepter mit seinen Kränzen und Reihen von Perlen.
maerchen_006_f000044|Und auch an diesem Abend dachte er daran, als er auf seinem kostbaren Lager lag, und den großen Block von Tannenholz betrachtete, der langsam in dem offenen Kamin verglühte.|Und auch an diesem Abend dachte er daran, als er auf seinem kostbaren Lager lag, und den großen Block von Tannenholz betrachtete, der langsam in dem offenen Kamin verglühte.
maerchen_006_f000045|Die Entwürfe aus den Händen der berühmtesten Künstler waren ihm schon vor vielen Monaten vorgelegt worden, und er hatte Befehl gegeben, daß die Handwerker Tag und Nacht arbeiten sollten, um sie auszuführen, und daß man die ganze Welt nach Juwelen durchsuchen sollte, die dieser Arbeit würdig waren.|Die Entwürfe aus den Händen der berühmtesten Künstler waren ihm schon vor vielen Monaten vorgelegt worden, und er hatte Befehl gegeben, daß die Handwerker Tag und Nacht arbeiten sollten, um sie auszuführen, und daß man die ganze Welt nach Juwelen durchsuchen sollte, die dieser Arbeit würdig waren.
maerchen_006_f000046|In Gedanken sah er sich schon in dem strahlenden Gewand eines Königs vor dem Hochaltar des Domes stehen, und ein Lächeln umspielte seine jungen Lippen und entfachte strahlenden Glanz in seinen dunklen Waldaugen.|In Gedanken sah er sich schon in dem strahlenden Gewand eines Königs vor dem Hochaltar des Domes stehen, und ein Lächeln umspielte seine jungen Lippen und entfachte strahlenden Glanz in seinen dunklen Waldaugen.
maerchen_006_f000047|Nach einiger Zeit erhob er sich von seinem Lager, lehnte sich gegen den geschnitzten Vorbau des Kamins und sah sich in dem matterleuchteten Raum um.|Nach einiger Zeit erhob er sich von seinem Lager, lehnte sich gegen den geschnitzten Vorbau des Kamins und sah sich in dem matterleuchteten Raum um.
maerchen_006_f000048|Die Wände waren mit reichen Gobelins behangen, die den Triumph der Schönheit darstellten.|Die Wände waren mit reichen Gobelins behangen, die den Triumph der Schönheit darstellten.
maerchen_006_f000049|Ein großer, mit Achat und Lapislazuli ausgelegter Schrank nahm die eine Ecke ein, und dem Fenster gegenüber stand ein seltsam gearbeiteter Juwelenschrank mit Lacktäfelung aus gepulvertem und in Mosaik ausgelegtem Gold,|Ein großer, mit Achat und Lapislazuli ausgelegter Schrank nahm die eine Ecke ein, und dem Fenster gegenüber stand ein seltsam gearbeiteter Juwelenschrank mit Lacktäfelung aus gepulvertem und in Mosaik ausgelegtem Gold,
maerchen_006_f000050|auf dem einige kostbare Humpen aus venetianischem Glas standen und ein Becher aus dunkelgeädertem Onyx.|auf dem einige kostbare Humpen aus venetianischem Glas standen und ein Becher aus dunkelgeädertem Onyx.
maerchen_006_f000051|Die seidene Bettdecke war mit bleichen Mohnblumen bestickt, als seien sie der müden Hand des Schlafes entfallen, und schlankes Ried aus gerilltem Elfenbein trug den samtenen Betthimmel,|Die seidene Bettdecke war mit bleichen Mohnblumen bestickt, als seien sie der müden Hand des Schlafes entfallen, und schlankes Ried aus gerilltem Elfenbein trug den samtenen Betthimmel,
maerchen_006_f000052|von dem große Büschel von Straußenfedern wie ein weißer Schaum zu dem bleichen Silber der gegitterten Decke emporsprangen.|von dem große Büschel von Straußenfedern wie ein weißer Schaum zu dem bleichen Silber der gegitterten Decke emporsprangen.
maerchen_006_f000053|Ein lachender Narziß in grüner Bronze hielt einen polierten Spiegel über seinen Kopf.|Ein lachender Narziß in grüner Bronze hielt einen polierten Spiegel über seinen Kopf.
maerchen_006_f000054|Auf dem Tisch stand eine flache Schüssel aus Amethyst.|Auf dem Tisch stand eine flache Schüssel aus Amethyst.
maerchen_006_f000055|Draußen konnte er den hohen Bau des Domes sehen, der wie ein Scheingebilde über den schattenversunkenen Häusern emporragte, und die müden Schildwachen, die auf der nebligen Terrasse am Fluß auf und ab gingen.|Draußen konnte er den hohen Bau des Domes sehen, der wie ein Scheingebilde über den schattenversunkenen Häusern emporragte, und die müden Schildwachen, die auf der nebligen Terrasse am Fluß auf und ab gingen.
maerchen_006_f000056|Weit entfernt sang eine Nachtigall in einem Obstgarten.|Weit entfernt sang eine Nachtigall in einem Obstgarten.
maerchen_006_f000057|Ein leiser Jasminduft kam durch das offne Fenster.|Ein leiser Jasminduft kam durch das offne Fenster.
maerchen_006_f000058|Er strich seine braunen Locken aus der Stirn, nahm eine Laute und ließ seine Finger über die Saiten gleiten.|Er strich seine braunen Locken aus der Stirn, nahm eine Laute und ließ seine Finger über die Saiten gleiten.
maerchen_006_f000059|Seine schweren Augenlider sanken, und eine seltsame Erschlaffung überkam ihn.|Seine schweren Augenlider sanken, und eine seltsame Erschlaffung überkam ihn.
maerchen_006_f000060|Noch nie hatte er bisher so eindringlich oder mit einer solchen köstlichen Freude den Zauber und das Geheimnis schöner Dinge empfunden.|Noch nie hatte er bisher so eindringlich oder mit einer solchen köstlichen Freude den Zauber und das Geheimnis schöner Dinge empfunden.
