koenigsgaukler_1_f000001|Die Geburt Mantaos in der Lotosblume|Die Geburt Mantaos in der Lotosblume
koenigsgaukler_7_f000048|Die Königin der Ferne aber harrte in unsagbarer Schönheit ihres Königs in einem heiligen Hain von Lorbeer und Rosen.|Die Königin der Ferne aber harrte in unsagbarer Schönheit ihres Königs in einem heiligen Hain von Lorbeer und Rosen.
koenigsgaukler_7_f000049|Mantao, mein Liebster, Mantao, mein Königsgaukler, sagte sie, du hast meine weißen Glieder mit deinen Gedanken gebaut, du hast mein Gewand mit deinen Werken gewirkt und hast mein Diadem mit Edelsteinen geschmückt auf deiner einsamen Wanderung.|Mantao, mein Liebster, Mantao, mein Königsgaukler, sagte sie, du hast meine weißen Glieder mit deinen Gedanken gebaut, du hast mein Gewand mit deinen Werken gewirkt und hast mein Diadem mit Edelsteinen geschmückt auf deiner einsamen Wanderung.
koenigsgaukler_7_f000050|Nun sind wir vereint auf eine lange Zeit, bis du wieder einmal ausziehst, deinen Schild zu halten über allem, was atmet, und um wiederum zu mir zurückzukehren in Ewigkeit.|Nun sind wir vereint auf eine lange Zeit, bis du wieder einmal ausziehst, deinen Schild zu halten über allem, was atmet, und um wiederum zu mir zurückzukehren in Ewigkeit.
koenigsgaukler_7_f000051|Nun will ich dir deine unsichtbare Krone aufsetzen, die keiner auf Erden sah.|Nun will ich dir deine unsichtbare Krone aufsetzen, die keiner auf Erden sah.
koenigsgaukler_7_f000052|Siehe, es ist meine Krone, die du geschmückt hast, denn ich bin du, Mantao, mein Liebster, mein Königsgaukler.|Siehe, es ist meine Krone, die du geschmückt hast, denn ich bin du, Mantao, mein Liebster, mein Königsgaukler.
koenigsgaukler_7_f000053|Da lehnte Mantao seinen Schild und sein Schwert an den Altar Brahmas zwischen Lorbeer und Rosen.|Da lehnte Mantao seinen Schild und sein Schwert an den Altar Brahmas zwischen Lorbeer und Rosen.
koenigsgaukler_7_f000054|Die Königin der Ferne aber küßte ihn und krönte ihn mit ihrer und seiner Krone.|Die Königin der Ferne aber küßte ihn und krönte ihn mit ihrer und seiner Krone.
koenigsgaukler_7_f000055|Die Tränen, die er gemindert, waren Diamanten darin, das Blut, über dem er seinen Schild gehalten, hing in roten Rubintropfen an seinem Diadem und in ihm funkelten die Lichter der erloschenen Lampen, die er wieder entzündet hatte.|Die Tränen, die er gemindert, waren Diamanten darin, das Blut, über dem er seinen Schild gehalten, hing in roten Rubintropfen an seinem Diadem und in ihm funkelten die Lichter der erloschenen Lampen, die er wieder entzündet hatte.
koenigsgaukler_7_f000056|Den schönsten Edelstein aber in seiner Krone hatte ein kleiner Affe gespendet, der wieder in junger Kinderfreude zu seinen Füßen spielte.|Den schönsten Edelstein aber in seiner Krone hatte ein kleiner Affe gespendet, der wieder in junger Kinderfreude zu seinen Füßen spielte.
koenigsgaukler_7_f000057|Da erfaßte Mantao, der Königsgaukler, was Seligkeit ist, und er barg das Haupt im Schoße seiner Königin der Ferne.|Da erfaßte Mantao, der Königsgaukler, was Seligkeit ist, und er barg das Haupt im Schoße seiner Königin der Ferne.
koenigsgaukler_7_f000058|Seht ihr, das ist die Geschichte von Mantao, dem Königsgaukler.|Seht ihr, das ist die Geschichte von Mantao, dem Königsgaukler.
koenigsgaukler_7_f000059|Es ist eine alte und feierliche Geschichte und es ist viele, viele tausend Jahre her, daß sie geschehen ist.|Es ist eine alte und feierliche Geschichte und es ist viele, viele tausend Jahre her, daß sie geschehen ist.
koenigsgaukler_7_f000060|Aber ihr müßt nicht denken, daß das eine lange Zeit ist.|Aber ihr müßt nicht denken, daß das eine lange Zeit ist.
koenigsgaukler_7_f000061|Ist es euch nicht, als wäre Mantao, der Königsgaukler, erst heute in einer Lotosblume geboren?|Ist es euch nicht, als wäre Mantao, der Königsgaukler, erst heute in einer Lotosblume geboren?
koenigsgaukler_7_f000062|Ist es nicht heute gewesen, daß er niederstieg von den Bergen Tibets in das Wunderland von Indien,|Ist es nicht heute gewesen, daß er niederstieg von den Bergen Tibets in das Wunderland von Indien,
koenigsgaukler_7_f000063|in die Stadt der bunten Lampen und in die Stadt der erloschenen Lampen – daß er sein flammendes Schwert erhob gegen das Heer der Prinzessin Amaranth und seinen Schild hielt über der Tänzerin Myramar und seinem kleinen Affen?|in die Stadt der bunten Lampen und in die Stadt der erloschenen Lampen - daß er sein flammendes Schwert erhob gegen das Heer der Prinzessin Amaranth und seinen Schild hielt über der Tänzerin Myramar und seinem kleinen Affen?
koenigsgaukler_7_f000064|Ist es nicht heute, daß ihm sein Engel die Hütte seiner Kindheit wiedererbaute über den Sternen und daß er sein Haupt barg im Schoß der Königin der Ferne?|Ist es nicht heute, daß ihm sein Engel die Hütte seiner Kindheit wiedererbaute über den Sternen und daß er sein Haupt barg im Schoß der Königin der Ferne?
koenigsgaukler_7_f000065|Denn noch heute und immer wieder sendet der Erhabene seine Schildträger aus, daß sie ihren Schild halten über allem, was atmet, und den gleichen einsamen Weg wandern, wie Mantao, der Königsgaukler.|Denn noch heute und immer wieder sendet der Erhabene seine Schildträger aus, daß sie ihren Schild halten über allem, was atmet, und den gleichen einsamen Weg wandern, wie Mantao, der Königsgaukler.
