maedchenvommoorhof_1_f000001|Es ist in einem Thingsaal, weit draußen auf dem Lande.|Es ist in einem Thingsaal, weit draußen auf dem Lande.
maedchenvommoorhof_3_f000019|da hatte sie solche Angst vor den harten und grausamen Worten bekommen, die sie ihr sagen würden, daß sie es nicht wagte, hineinzugehen.|da hatte sie solche Angst vor den harten und grausamen Worten bekommen, die sie ihr sagen würden, daß sie es nicht wagte, hineinzugehen.
maedchenvommoorhof_3_f000020|Sie gedachte draußen zu bleiben, bis sie sich zu Bett gelegt hätten; dann brauchte sie vielleicht nicht vor dem nächsten Tage von der unglücklichen Sache zu sprechen.|Sie gedachte draußen zu bleiben, bis sie sich zu Bett gelegt hätten; dann brauchte sie vielleicht nicht vor dem nächsten Tage von der unglücklichen Sache zu sprechen.
maedchenvommoorhof_3_f000021|Und so hatte sie sich in dem Holzschuppen versteckt.|Und so hatte sie sich in dem Holzschuppen versteckt.
maedchenvommoorhof_3_f000022|Aber während sie so dasaß und fror und hungerte, kam es ihr erst recht zu Bewußtsein, wie unglücklich und ausgestoßen sie war.|Aber während sie so dasaß und fror und hungerte, kam es ihr erst recht zu Bewußtsein, wie unglücklich und ausgestoßen sie war.
maedchenvommoorhof_3_f000023|Alle Schmach und Angst, die sie hatte erleiden müssen, und alle Schmach und Angst, die ihrer noch harrten, stand vor ihr und drückte sie mit Bleischwere zu Boden.|Alle Schmach und Angst, die sie hatte erleiden müssen, und alle Schmach und Angst, die ihrer noch harrten, stand vor ihr und drückte sie mit Bleischwere zu Boden.
maedchenvommoorhof_3_f000024|Sie weinte über sich selbst, darüber, daß sie so elend war, und daß niemand etwas von ihr wissen wollte.|Sie weinte über sich selbst, darüber, daß sie so elend war, und daß niemand etwas von ihr wissen wollte.
maedchenvommoorhof_3_f000025|Sie erinnerte sich, wie sie einmal als Kind in einen Morast gefallen und gleich untergesunken war.|Sie erinnerte sich, wie sie einmal als Kind in einen Morast gefallen und gleich untergesunken war.
maedchenvommoorhof_3_f000026|Je mehr sie sich gemüht hatte, in die Höhe zu kommen, desto tiefer war sie gesunken.|Je mehr sie sich gemüht hatte, in die Höhe zu kommen, desto tiefer war sie gesunken.
maedchenvommoorhof_3_f000027|Alle Büsche und Sträucher, nach denen sie gegriffen, hatten nachgegeben.|Alle Büsche und Sträucher, nach denen sie gegriffen, hatten nachgegeben.
maedchenvommoorhof_3_f000028|So war es auch jetzt. Alles, wonach sie zu greifen versuchte, um sich aufrechtzuhalten, ließ sie im Stich.|So war es auch jetzt. Alles, wonach sie zu greifen versuchte, um sich aufrechtzuhalten, ließ sie im Stich.
maedchenvommoorhof_3_f000029|Niemand wollte ihr helfen.|Niemand wollte ihr helfen.
maedchenvommoorhof_3_f000030|Damals, als sie ins Moor versinken wollte, war schließlich ein Hirtenbub gekommen und hatte sie herausgezogen; jetzt aber kam niemand, sie zu retten.|Damals, als sie ins Moor versinken wollte, war schließlich ein Hirtenbub gekommen und hatte sie herausgezogen; jetzt aber kam niemand, sie zu retten.
maedchenvommoorhof_3_f000031|Jetzt war es gewiß ihre Bestimmung, zugrunde zu gehen.|Jetzt war es gewiß ihre Bestimmung, zugrunde zu gehen.
maedchenvommoorhof_3_f000032|Als Helga das Moor in den Sinn kam, wurde es ihr mit einem Male klar: das beste, was sie tun konnte, war, dorthin zu gehn, in den Schlamm hinauszuwandern und sich einsinken und begraben zu lassen.|Als Helga das Moor in den Sinn kam, wurde es ihr mit einem Male klar: das beste, was sie tun konnte, war, dorthin zu gehn, in den Schlamm hinauszuwandern und sich einsinken und begraben zu lassen.
maedchenvommoorhof_3_f000033|Wenn eine so elend wäre, daß kein Mensch etwas mit ihr zu tun haben wollte, dann könnte sie wohl gar nichts Besseres tun als sterben.|Wenn eine so elend wäre, daß kein Mensch etwas mit ihr zu tun haben wollte, dann könnte sie wohl gar nichts Besseres tun als sterben.
maedchenvommoorhof_3_f000034|Es wäre auch für das Kind das Beste, wenn sie fortginge; denn Helgas Mutter hatte es gern, obgleich sie es nicht zeigen wollte, wenn Helga daheim war.|Es wäre auch für das Kind das Beste, wenn sie fortginge; denn Helgas Mutter hatte es gern, obgleich sie es nicht zeigen wollte, wenn Helga daheim war.
maedchenvommoorhof_3_f000035|Aber wenn Helga einmal für immer aus dem Wege wäre, dann würde sich die Großmutter des Kindes wohl so annehmen, als wäre es ihr eigenes.|Aber wenn Helga einmal für immer aus dem Wege wäre, dann würde sich die Großmutter des Kindes wohl so annehmen, als wäre es ihr eigenes.
maedchenvommoorhof_3_f000036|Sie begriff nicht, daß sie mitten in ihrem größten Elend etwas getan hatte, wodurch den Leuten eine bessere Meinung über sie gegeben würde.|Sie begriff nicht, daß sie mitten in ihrem größten Elend etwas getan hatte, wodurch den Leuten eine bessere Meinung über sie gegeben würde.
maedchenvommoorhof_3_f000037|Ihr wurde mit jedem Augenblick gewisser, daß das Moor der einzige Zufluchtsort für sie sei.|Ihr wurde mit jedem Augenblick gewisser, daß das Moor der einzige Zufluchtsort für sie sei.
maedchenvommoorhof_3_f000038|Und je klarer sie dies einsah, desto mehr weinte sie.|Und je klarer sie dies einsah, desto mehr weinte sie.
maedchenvommoorhof_3_f000039|Es war darum nicht so leicht für sie, die Tränen zu unterdrücken.|Es war darum nicht so leicht für sie, die Tränen zu unterdrücken.
maedchenvommoorhof_3_f000040|Es dauerte nicht lange, so begann sie von neuem zu schluchzen.|Es dauerte nicht lange, so begann sie von neuem zu schluchzen.
maedchenvommoorhof_3_f000041|Gudmund war nichts verhaßter, als wenn Weibsleute weinten.|Gudmund war nichts verhaßter, als wenn Weibsleute weinten.
maedchenvommoorhof_3_f000042|Er hatte die größte Lust, auf und davon zu laufen; aber er sagte sich, wenn er sich nun einmal die Mühe gemacht hätte, zur Hütte hinaufzuklettern, müßte er seinen Auftrag auch ausführen.|Er hatte die größte Lust, auf und davon zu laufen; aber er sagte sich, wenn er sich nun einmal die Mühe gemacht hätte, zur Hütte hinaufzuklettern, müßte er seinen Auftrag auch ausführen.
maedchenvommoorhof_3_f000043|Was ist dir denn? sagte er in barschem Ton zu Helga.|Was ist dir denn? sagte er in barschem Ton zu Helga.
maedchenvommoorhof_3_f000044|Warum gehst du nicht ins Haus?|Warum gehst du nicht ins Haus?
maedchenvommoorhof_3_f000045|Ach ich getraue mich nicht, antwortete Helga, und ihre Zähne schlugen aufeinander.|Ach ich getraue mich nicht, antwortete Helga, und ihre Zähne schlugen aufeinander.
maedchenvommoorhof_3_f000046|Ich getraue mich nicht.|Ich getraue mich nicht.
maedchenvommoorhof_3_f000047|Wovor hast du denn Angst?|Wovor hast du denn Angst?
maedchenvommoorhof_3_f000048|Du hast dich doch heute morgen gegen Gerichtsdiener und Richter tapfer gehalten.|Du hast dich doch heute morgen gegen Gerichtsdiener und Richter tapfer gehalten.
maedchenvommoorhof_3_f000049|Da kannst du wohl nicht vor deinen leiblichen Eltern Angst haben.|Da kannst du wohl nicht vor deinen leiblichen Eltern Angst haben.
maedchenvommoorhof_3_f000050|O ja, o ja, die sind viel schlimmer als alle andern.|O ja, o ja, die sind viel schlimmer als alle andern.
maedchenvommoorhof_3_f000051|Warum sollten sie denn gerade heute so böse sein?|Warum sollten sie denn gerade heute so böse sein?
maedchenvommoorhof_3_f000052|Ich bekomme ja kein Geld.|Ich bekomme ja kein Geld.
maedchenvommoorhof_3_f000053|Na, du bist doch ein so tüchtiges Mädel, daß du für dich und dein Kind das Brot verdienen kannst.|Na, du bist doch ein so tüchtiges Mädel, daß du für dich und dein Kind das Brot verdienen kannst.
maedchenvommoorhof_3_f000054|Ja, aber mich will doch niemand nehmen.|Ja, aber mich will doch niemand nehmen.
maedchenvommoorhof_3_f000055|Plötzlich fiel es Helga ein, daß die Eltern ihre Stimmen hören und herauskommen und fragen könnten, wer da spräche.|Plötzlich fiel es Helga ein, daß die Eltern ihre Stimmen hören und herauskommen und fragen könnten, wer da spräche.
maedchenvommoorhof_3_f000056|Und dann wäre sie gezwungen, ihnen alles zu erzählen.|Und dann wäre sie gezwungen, ihnen alles zu erzählen.
maedchenvommoorhof_3_f000057|Dann könnte sie sich nicht in das Moor retten.|Dann könnte sie sich nicht in das Moor retten.
maedchenvommoorhof_3_f000058|Und in ihrem Schrecken sprang sie auf und wollte an Gudmund vorbeieilen.|Und in ihrem Schrecken sprang sie auf und wollte an Gudmund vorbeieilen.
maedchenvommoorhof_3_f000059|Aber er kam ihr zuvor.|Aber er kam ihr zuvor.
maedchenvommoorhof_3_f000060|Er packte sie am Arm und hielt sie fest.|Er packte sie am Arm und hielt sie fest.
maedchenvommoorhof_3_f000061|Nein! Du kommst nicht davon, bis ich nicht mit dir gesprochen habe.|Nein! Du kommst nicht davon, bis ich nicht mit dir gesprochen habe.
maedchenvommoorhof_3_f000062|Laß mich gehen, rief sie und blickte ihn wild an.|Laß mich gehen, rief sie und blickte ihn wild an.
maedchenvommoorhof_3_f000063|Du siehst aus, als wenn du ins Wasser gehen wolltest, sagte er; denn jetzt stand sie draußen im Mondschein, und er konnte ihr Gesicht sehen.|Du siehst aus, als wenn du ins Wasser gehen wolltest, sagte er; denn jetzt stand sie draußen im Mondschein, und er konnte ihr Gesicht sehen.
maedchenvommoorhof_3_f000064|Ja, das würde wohl auch niemand etwas angehen, wenn ich das täte, sagte Helga und warf dabei den Kopf zurück und sah ihm gerade in die Augen.|Ja, das würde wohl auch niemand etwas angehen, wenn ich das täte, sagte Helga und warf dabei den Kopf zurück und sah ihm gerade in die Augen.
maedchenvommoorhof_3_f000065|Heute morgen wolltest du mich nicht einmal rückwärts auf deinem Wagen mitfahren lassen.|Heute morgen wolltest du mich nicht einmal rückwärts auf deinem Wagen mitfahren lassen.
maedchenvommoorhof_3_f000066|Niemand will etwas mit mir zu tun haben.|Niemand will etwas mit mir zu tun haben.
maedchenvommoorhof_3_f000067|Da mußt du doch selbst einsehen, daß es für solch ein armes Wurm, wie mich, am besten ist, wenn ich ein Ende mache.|Da mußt du doch selbst einsehen, daß es für solch ein armes Wurm, wie mich, am besten ist, wenn ich ein Ende mache.
maedchenvommoorhof_3_f000068|Gudmund wußte nicht, was er beginnen solle.|Gudmund wußte nicht, was er beginnen solle.
maedchenvommoorhof_3_f000069|Er wünschte sich weit weg, aber er fühlte auch, daß er einen Menschen in solcher Verzweiflung nicht verlassen konnte.|Er wünschte sich weit weg, aber er fühlte auch, daß er einen Menschen in solcher Verzweiflung nicht verlassen konnte.
maedchenvommoorhof_3_f000070|Hör mich jetzt an!|Hör mich jetzt an!
maedchenvommoorhof_3_f000071|Versprich nur, daß du anhörst, was ich dir zu sagen habe.|Versprich nur, daß du anhörst, was ich dir zu sagen habe.
maedchenvommoorhof_3_f000072|Dann kannst du gehen wohin du willst.|Dann kannst du gehen wohin du willst.
maedchenvommoorhof_3_f000073|Ja, das versprach sie.|Ja, das versprach sie.
maedchenvommoorhof_3_f000074|Kann man hier nirgends sitzen?|Kann man hier nirgends sitzen?
maedchenvommoorhof_3_f000075|Drüben steht doch der Hackblock.|Drüben steht doch der Hackblock.
maedchenvommoorhof_3_f000076|Also geh hin und setze dich und sei still!|Also geh hin und setze dich und sei still!
maedchenvommoorhof_3_f000077|Sie ging ganz gehorsam hin und setzte sich.|Sie ging ganz gehorsam hin und setzte sich.
maedchenvommoorhof_3_f000078|Weine jetzt nicht mehr! sagte er; denn es war ihm, als finge er an, Macht über sie zu gewinnen.|Weine jetzt nicht mehr! sagte er; denn es war ihm, als finge er an, Macht über sie zu gewinnen.
maedchenvommoorhof_3_f000079|Aber das hätte er nicht sagen sollen, denn sie ließ sogleich den Kopf in die Hände sinken und weinte heftiger denn je.|Aber das hätte er nicht sagen sollen, denn sie ließ sogleich den Kopf in die Hände sinken und weinte heftiger denn je.
maedchenvommoorhof_3_f000080|Weine nicht! sagte er und war nahe daran, mit dem Fuß auf die Erde zu stampfen.|Weine nicht! sagte er und war nahe daran, mit dem Fuß auf die Erde zu stampfen.
maedchenvommoorhof_3_f000081|Es gibt genug Leute, denen es schlechter geht als dir.|Es gibt genug Leute, denen es schlechter geht als dir.
maedchenvommoorhof_3_f000082|Nein, keinem kann es schlechter gehen.|Nein, keinem kann es schlechter gehen.
maedchenvommoorhof_3_f000083|Du bist jung und gesund, du solltest nur wissen, wie es meiner Mutter geht.|Du bist jung und gesund, du solltest nur wissen, wie es meiner Mutter geht.
maedchenvommoorhof_3_f000084|Sie ist von Schmerzen so geplagt, daß sie sich nicht rühren kann, aber sie klagt nie.|Sie ist von Schmerzen so geplagt, daß sie sich nicht rühren kann, aber sie klagt nie.
maedchenvommoorhof_3_f000085|Sie ist nicht so verlassen von allen wie ich.|Sie ist nicht so verlassen von allen wie ich.
maedchenvommoorhof_3_f000086|Du bist auch nicht verlassen.|Du bist auch nicht verlassen.
maedchenvommoorhof_3_f000087|Ich habe mit Mutter über dich gesprochen, und Mutter hat mich zu dir geschickt.|Ich habe mit Mutter über dich gesprochen, und Mutter hat mich zu dir geschickt.
maedchenvommoorhof_3_f000088|Das Schluchzen hörte auf.|Das Schluchzen hörte auf.
maedchenvommoorhof_3_f000089|Man vernahm gleichsam das große Schweigen des Waldes, als ob der den Atem anhielte und auf etwas Wunderbares wartete.|Man vernahm gleichsam das große Schweigen des Waldes, als ob der den Atem anhielte und auf etwas Wunderbares wartete.
maedchenvommoorhof_3_f000090|Ich soll dir bestellen, daß du morgen zu Mutter kommst, damit sie dich sieht.|Ich soll dir bestellen, daß du morgen zu Mutter kommst, damit sie dich sieht.
maedchenvommoorhof_3_f000091|Mutter gedenkt dich zu fragen; ob du zu uns in Dienst gehen willst.|Mutter gedenkt dich zu fragen; ob du zu uns in Dienst gehen willst.
maedchenvommoorhof_3_f000092|Das will sie mich fragen? Ja, aber zuerst will sie dich sehen.|Das will sie mich fragen? Ja, aber zuerst will sie dich sehen.
maedchenvommoorhof_3_f000093|Weiß sie, daß?|Weiß sie, daß?
maedchenvommoorhof_3_f000094|Sie weiß ebensoviel von dir wie alle andern.|Sie weiß ebensoviel von dir wie alle andern.
maedchenvommoorhof_3_f000095|Mit einem Schrei des Staunens und der Freude sprang das Mädchen auf, und im nächsten Augenblick fühlte Gudmund ein paar Arme um seinen Hals.|Mit einem Schrei des Staunens und der Freude sprang das Mädchen auf, und im nächsten Augenblick fühlte Gudmund ein paar Arme um seinen Hals.
maedchenvommoorhof_3_f000096|Er erschrak förmlich, und sein erster Gedanke war, sich loszureißen.|Er erschrak förmlich, und sein erster Gedanke war, sich loszureißen.
maedchenvommoorhof_3_f000097|Aber dann faßte er sich und blieb stehen.|Aber dann faßte er sich und blieb stehen.
maedchenvommoorhof_3_f000098|Er begriff, daß das Mädchen so außer sich vor Freude war, daß sie nicht wußte, was sie tat; in diesem Augenblick härte sie sich dem ärgsten Schurken an den Hals werfen können,|Er begriff, daß das Mädchen so außer sich vor Freude war, daß sie nicht wußte, was sie tat; in diesem Augenblick härte sie sich dem ärgsten Schurken an den Hals werfen können,
maedchenvommoorhof_3_f000099|nur um in dem großen Glück, das über sie gekommen war, ein klein wenig Mitgefühl zu finden.|nur um in dem großen Glück, das über sie gekommen war, ein klein wenig Mitgefühl zu finden.
maedchenvommoorhof_3_f000100|Wenn sie mich bei sich aufnehmen will, dann kann ich ja am Leben bleiben!|Wenn sie mich bei sich aufnehmen will, dann kann ich ja am Leben bleiben!
maedchenvommoorhof_3_f000101|sagte sie und legte den Kopf an Gudmunds Brust und weinte wieder, aber nicht so heftig wie zuvor.|sagte sie und legte den Kopf an Gudmunds Brust und weinte wieder, aber nicht so heftig wie zuvor.
maedchenvommoorhof_3_f000102|Ich kann dir jetzt sagen, daß es mir damit Ernst war, ins Moor zu gehen, sagte sie.|Ich kann dir jetzt sagen, daß es mir damit Ernst war, ins Moor zu gehen, sagte sie.
maedchenvommoorhof_3_f000103|Ich danke dir, daß du gekommen bist! Du hast mir das Leben gerettet.|Ich danke dir, daß du gekommen bist! Du hast mir das Leben gerettet.
maedchenvommoorhof_3_f000104|Gudmund hatte bisher unbeweglich dagestanden, jetzt aber fühlte er, wie sich etwas warm und zärtlich in ihm zu regen begann.|Gudmund hatte bisher unbeweglich dagestanden, jetzt aber fühlte er, wie sich etwas warm und zärtlich in ihm zu regen begann.
maedchenvommoorhof_3_f000105|Er hob die Hand und strich ihr übers Haar.|Er hob die Hand und strich ihr übers Haar.
maedchenvommoorhof_3_f000106|Da zuckte sie zusammen, als hätte er sie aus einem Traum geweckt, und stellte sich kerzengerade vor ihn hin.|Da zuckte sie zusammen, als hätte er sie aus einem Traum geweckt, und stellte sich kerzengerade vor ihn hin.
maedchenvommoorhof_3_f000107|Ich danke dir, daß du gekommen bist! sagte sie noch einmal.|Ich danke dir, daß du gekommen bist! sagte sie noch einmal.
maedchenvommoorhof_3_f000108|Sie war flammend rot im Gesicht geworden, und er errötete auch.|Sie war flammend rot im Gesicht geworden, und er errötete auch.
maedchenvommoorhof_3_f000109|Ja, so kommst du also morgen zu uns, sagte er und streckte die Hand aus, um ihr Lebewohl zu sagen.|Ja, so kommst du also morgen zu uns, sagte er und streckte die Hand aus, um ihr Lebewohl zu sagen.
