zweiplaneten_01_lasswitz_f000001|Auf zwei Planeten von Kurd Laßwitz|Auf zwei Planeten von Kurd Laßwitz
zweiplaneten_17_lasswitz_f000053|Denn ich bin überzeugt, daß der heutige Tag nicht ohne Ultimatum vorübergeht.|Denn ich bin überzeugt, daß der heutige Tag nicht ohne Ultimatum vorübergeht.
zweiplaneten_17_lasswitz_f000054|»Das ist eine kitzlige Sache, liebster Freund.|Das ist eine kitzlige Sache, liebster Freund.
zweiplaneten_17_lasswitz_f000055|Unter diesen Umständen könnte es sicherer sein, auf dem kleinen Umweg über den Mars nach Berlin oder Friedau zurückzukehren.|Unter diesen Umständen könnte es sicherer sein, auf dem kleinen Umweg über den Mars nach Berlin oder Friedau zurückzukehren.
zweiplaneten_17_lasswitz_f000056|Nehmen Sie an, wir kommen glücklich über das Eismeer und geraten nicht in einen der Ozeane|Nehmen Sie an, wir kommen glücklich über das Eismeer und geraten nicht in einen der Ozeane
zweiplaneten_17_lasswitz_f000057|aber wir gelangen nach Labrador oder Alaska oder nach Sibirien oder sonst einer dieser lieblichen Sommerfrischen wenn wir dann überhaupt wieder herauskommen|aber wir gelangen nach Labrador oder Alaska oder nach Sibirien oder sonst einer dieser lieblichen Sommerfrischen wenn wir dann überhaupt wieder herauskommen
zweiplaneten_17_lasswitz_f000058|so ist doch vor dem Sommer an keine Heimkehr zu denken;|so ist doch vor dem Sommer an keine Heimkehr zu denken;
zweiplaneten_17_lasswitz_f000059|und für den Sommer haben uns die Martier ja sowieso versprochen, uns wieder herzubringen.|und für den Sommer haben uns die Martier ja sowieso versprochen, uns wieder herzubringen.
zweiplaneten_17_lasswitz_f000060|»Die Gefahren kann ich leider nicht leugnen, aber wir müssen sie auf uns nehmen.|Die Gefahren kann ich leider nicht leugnen, aber wir müssen sie auf uns nehmen.
zweiplaneten_17_lasswitz_f000061|Es ist doch immer die Möglichkeit vorhanden, daß wir nach Hause kommen oder wenigstens bis zu einem Ort|Es ist doch immer die Möglichkeit vorhanden, daß wir nach Hause kommen oder wenigstens bis zu einem Ort
zweiplaneten_17_lasswitz_f000062|von welchem aus wir Nachricht geben können.|von welchem aus wir Nachricht geben können.
zweiplaneten_17_lasswitz_f000063|Und das scheint mir das Entscheidende.|Und das scheint mir das Entscheidende.
zweiplaneten_17_lasswitz_f000064|Wir dürfen nichts unterlassen, die Kunde von der Anwesenheit der Martier am Pol den Regierungen der Kulturstaaten zu übermitteln|Wir dürfen nichts unterlassen, die Kunde von der Anwesenheit der Martier am Pol den Regierungen der Kulturstaaten zu übermitteln
zweiplaneten_17_lasswitz_f000065|ehe jene selbst in unsern Ländern eintreffen.|ehe jene selbst in unsern Ländern eintreffen.
zweiplaneten_17_lasswitz_f000066|Man muß in Europa wie in Amerika vorbereitet sein. Saltner nickte nachdenklich.|Man muß in Europa wie in Amerika vorbereitet sein. Saltner nickte nachdenklich.
zweiplaneten_17_lasswitz_f000067|»Wenn wir unsre Brieftauben noch hätten! Aber die armen Dinger sind alle ertrunken.|Wenn wir unsre Brieftauben noch hätten! Aber die armen Dinger sind alle ertrunken.
zweiplaneten_17_lasswitz_f000068|»Sehen Sie«, fuhr Grunthe noch leiser fort, »ich fürchte, wir können die Sachlage nicht ernst genug nehmen.|Sehen Sie, fuhr Grunthe noch leiser fort, ich fürchte, wir können die Sachlage nicht ernst genug nehmen.
zweiplaneten_17_lasswitz_f000069|Wir haben eine wissenschaftliche Pflicht;|Wir haben eine wissenschaftliche Pflicht;
zweiplaneten_17_lasswitz_f000070|in dieser Hinsicht könnte man vielleicht sagen, daß wir ein Recht hätten|in dieser Hinsicht könnte man vielleicht sagen, daß wir ein Recht hätten
zweiplaneten_17_lasswitz_f000071|die sicherste Heimkehr zu wählen, auch daß der Besuch des Mars eine so unerhörte Tat wäre|die sicherste Heimkehr zu wählen, auch daß der Besuch des Mars eine so unerhörte Tat wäre
zweiplaneten_17_lasswitz_f000072|daß sie die Übertretung unserer Instruktion entschuldigen könnte, obwohl sie dies für mein Gewissen nicht tut.|daß sie die Übertretung unserer Instruktion entschuldigen könnte, obwohl sie dies für mein Gewissen nicht tut.
zweiplaneten_17_lasswitz_f000073|Bitte, lassen Sie mich aussprechen.|Bitte, lassen Sie mich aussprechen.
zweiplaneten_17_lasswitz_f000074|Wir haben aber nach meiner Überzeugung außerdem eine politische und kulturgeschichtliche Pflicht, wenn man so sagen darf, die uns zwingt|Wir haben aber nach meiner Überzeugung außerdem eine politische und kulturgeschichtliche Pflicht, wenn man so sagen darf, die uns zwingt
zweiplaneten_17_lasswitz_f000075|alles daranzusetzen, selbst den geringsten Umstand auszunutzen, der uns eine Chance bietet, der Ankunft der Martier zuvorzukommen.|alles daranzusetzen, selbst den geringsten Umstand auszunutzen, der uns eine Chance bietet, der Ankunft der Martier zuvorzukommen.
zweiplaneten_17_lasswitz_f000076|Wer garantiert Ihnen, was die Vereinigten Staaten des Mars beschließen|Wer garantiert Ihnen, was die Vereinigten Staaten des Mars beschließen
zweiplaneten_17_lasswitz_f000077|wenn sie erst im vollen Besitz der Nachrichten über die Erdbewohner sind?|wenn sie erst im vollen Besitz der Nachrichten über die Erdbewohner sind?
zweiplaneten_17_lasswitz_f000078|Und selbst, wenn sie uns Wort halten, durch welche unbekannten Einflüsse können sie uns nicht verhindern|Und selbst, wenn sie uns Wort halten, durch welche unbekannten Einflüsse können sie uns nicht verhindern
zweiplaneten_17_lasswitz_f000079|das zu tun, was für die Menschen das Richtige wäre?|das zu tun, was für die Menschen das Richtige wäre?
zweiplaneten_17_lasswitz_f000080|Wenn wir erst zugleich mit ihnen in Europa ankommen, wenn die Regierungen überrascht werden|Wenn wir erst zugleich mit ihnen in Europa ankommen, wenn die Regierungen überrascht werden
zweiplaneten_17_lasswitz_f000081|ist es vielleicht zu spät, die geeigneten Maßregeln zu treffen.|ist es vielleicht zu spät, die geeigneten Maßregeln zu treffen.
zweiplaneten_17_lasswitz_f000082|»Ich hätte unsre Stellung nicht für so verantwortlich gehalten«, sagte Saltner.|Ich hätte unsre Stellung nicht für so verantwortlich gehalten, sagte Saltner.
zweiplaneten_17_lasswitz_f000083|»Und ich sage Ihnen«, sprach Grunthe weiter, »nach reiflicher Überlegung Sie wissen, daß ich keine Phrasen mache ist es mir klar geworden|Und ich sage Ihnen, sprach Grunthe weiter, nach reiflicher Überlegung Sie wissen, daß ich keine Phrasen mache ist es mir klar geworden
zweiplaneten_17_lasswitz_f000084|daß, solange die Menschheit existiert, von dem Entschluß zweier Menschen noch niemals so viel abgehangen hat wie von dem unsrigen. Saltner fuhr in die Höhe.|daß, solange die Menschheit existiert, von dem Entschluß zweier Menschen noch niemals so viel abgehangen hat wie von dem unsrigen. Saltner fuhr in die Höhe.
zweiplaneten_17_lasswitz_f000085|»Das ist ein großes Wort«. »Ein ganz bescheidenes.|Das ist ein großes Wort. Ein ganz bescheidenes.
zweiplaneten_17_lasswitz_f000086|Wir sind durch Zufall in die Lage versetzt worden, einen Funken zu entdecken, der vielleicht einen Weltbrand entfacht.|Wir sind durch Zufall in die Lage versetzt worden, einen Funken zu entdecken, der vielleicht einen Weltbrand entfacht.
zweiplaneten_17_lasswitz_f000087|Unsere Entscheidung gleicht nicht der des Machthabers, der über Völkerschicksale bestimmt, sondern der des Soldaten|Unsere Entscheidung gleicht nicht der des Machthabers, der über Völkerschicksale bestimmt, sondern der des Soldaten
zweiplaneten_17_lasswitz_f000088|der sein Leben aufs Spiel zu setzen hat, um eine wichtige Meldung zur rechten Zeit zu überbringen.|der sein Leben aufs Spiel zu setzen hat, um eine wichtige Meldung zur rechten Zeit zu überbringen.
zweiplaneten_17_lasswitz_f000089|Sie werden mir zugeben, daß es noch niemals für die zivilisierte Menschheit ein bedeutungsvolleres Ereignis gegeben hat|Sie werden mir zugeben, daß es noch niemals für die zivilisierte Menschheit ein bedeutungsvolleres Ereignis gegeben hat
zweiplaneten_17_lasswitz_f000090|als es die Berührung mit den Bewohnern des Mars sein muß.|als es die Berührung mit den Bewohnern des Mars sein muß.
zweiplaneten_17_lasswitz_f000091|Die Europäer haben so viele Völker niederer Zivilisation durch ihr Eindringen vernichtet|Die Europäer haben so viele Völker niederer Zivilisation durch ihr Eindringen vernichtet
zweiplaneten_17_lasswitz_f000092|daß wir wohl wissen können, was für uns auf dem Spiel steht, wenn die Martier in Europa Fuß fassen.|daß wir wohl wissen können, was für uns auf dem Spiel steht, wenn die Martier in Europa Fuß fassen.
zweiplaneten_17_lasswitz_f000093|»So wollen Sie überhaupt verhindern, daß die Martier in Europa aufgenommen werden?|So wollen Sie überhaupt verhindern, daß die Martier in Europa aufgenommen werden?
zweiplaneten_17_lasswitz_f000094|»Wenn ich es könnte, würde ich es tun.|Wenn ich es könnte, würde ich es tun.
zweiplaneten_17_lasswitz_f000095|Aber wir sind einfache Gelehrte, wir haben keine politischen Entscheidungen zu fällen.|Aber wir sind einfache Gelehrte, wir haben keine politischen Entscheidungen zu fällen.
zweiplaneten_17_lasswitz_f000096|Und eben darum dürfen wir unter keinen Umständen auf eigene Faust den Martiern die Hand bieten|Und eben darum dürfen wir unter keinen Umständen auf eigene Faust den Martiern die Hand bieten
zweiplaneten_17_lasswitz_f000097|dürfen nicht mit ihnen zugleich nach Europa gelangen, sondern wir müssen versuchen|dürfen nicht mit ihnen zugleich nach Europa gelangen, sondern wir müssen versuchen
zweiplaneten_17_lasswitz_f000098|den Großmächten die Nachricht von dem Bevorstehenden so zeitig zu bringen, daß sie sich über ihr gemeinsames Vorgehen entschließen können|den Großmächten die Nachricht von dem Bevorstehenden so zeitig zu bringen, daß sie sich über ihr gemeinsames Vorgehen entschließen können
zweiplaneten_17_lasswitz_f000099|ehe die Luftschiffe der Martier über Berlin und Petersburg, über London, Paris und Washington schweben.|ehe die Luftschiffe der Martier über Berlin und Petersburg, über London, Paris und Washington schweben.
zweiplaneten_17_lasswitz_f000100|»Um Gottes willen, Sie sehen die Sache zu tragisch an.|Um Gottes willen, Sie sehen die Sache zu tragisch an.
zweiplaneten_17_lasswitz_f000101|Die paar hundert Martier werden uns nicht gleich zugrunde richten;|Die paar hundert Martier werden uns nicht gleich zugrunde richten;
zweiplaneten_17_lasswitz_f000102|und wenn sie uns gefährlich werden, ist es immer noch Zeit, sie wieder hinauszuwerfen.|und wenn sie uns gefährlich werden, ist es immer noch Zeit, sie wieder hinauszuwerfen.
zweiplaneten_17_lasswitz_f000103|Aber es ist doch viel wahrscheinlicher|Aber es ist doch viel wahrscheinlicher
zweiplaneten_17_lasswitz_f000104|daß wir sie als Freunde aufnehmen und den unermeßlichen Vorteil ihrer überlegenen Kultur für uns ausbeuten.|daß wir sie als Freunde aufnehmen und den unermeßlichen Vorteil ihrer überlegenen Kultur für uns ausbeuten.
zweiplaneten_17_lasswitz_f000105|»Die Frage ist zu schwer, um sie jetzt zu diskutieren, und wir eben müssen dafür sorgen|Die Frage ist zu schwer, um sie jetzt zu diskutieren, und wir eben müssen dafür sorgen
zweiplaneten_17_lasswitz_f000106|daß sie an den entscheidenden Stellen zur rechten Zeit erwogen werden kann.|daß sie an den entscheidenden Stellen zur rechten Zeit erwogen werden kann.
zweiplaneten_17_lasswitz_f000107|Nur unterschätzen Sie ja nicht die Macht der Martier.|Nur unterschätzen Sie ja nicht die Macht der Martier.
zweiplaneten_17_lasswitz_f000108|Denken Sie an Cortez, an Pizarro, die mit einer Handvoll Abenteurer mächtige Staaten zerstörten.|Denken Sie an Cortez, an Pizarro, die mit einer Handvoll Abenteurer mächtige Staaten zerstörten.
zweiplaneten_17_lasswitz_f000109|Und was will die Kultur der Spanier gegenüber den Mexikanern oder Peruanern bedeuten im Vergleich zu dem Fortschritt von Hunderttausenden von Jahren|Und was will die Kultur der Spanier gegenüber den Mexikanern oder Peruanern bedeuten im Vergleich zu dem Fortschritt von Hunderttausenden von Jahren
zweiplaneten_17_lasswitz_f000110|durch welchen die Martier uns überlegen sind?|durch welchen die Martier uns überlegen sind?
zweiplaneten_17_lasswitz_f000111|Das eben ist meine größte Sorge, daß man diese Überlegenheit überall unterschätzen wird, wenn nicht wir|Das eben ist meine größte Sorge, daß man diese Überlegenheit überall unterschätzen wird, wenn nicht wir
zweiplaneten_17_lasswitz_f000112|die wir das abarische Feld und die Raumschiffe gesehen haben, soviel an uns ist, darüber Aufklärung verbreiten.|die wir das abarische Feld und die Raumschiffe gesehen haben, soviel an uns ist, darüber Aufklärung verbreiten.
zweiplaneten_17_lasswitz_f000113|»Sehen Sie nicht zu schwarz, Grunthe?|Sehen Sie nicht zu schwarz, Grunthe?
zweiplaneten_17_lasswitz_f000114|»Ich will es von Herzen hoffen.|Ich will es von Herzen hoffen.
zweiplaneten_17_lasswitz_f000115|Aber das sage ich Ihnen als meine Überzeugung: Mit dem Augenblick|Aber das sage ich Ihnen als meine Überzeugung: Mit dem Augenblick
zweiplaneten_17_lasswitz_f000116|in welchem das erste Luftschiff der Martier über dem Lustgarten erscheint|in welchem das erste Luftschiff der Martier über dem Lustgarten erscheint
zweiplaneten_17_lasswitz_f000117|ist das deutsche Reich ein Vasall, der von der Gnade der Martier|ist das deutsche Reich ein Vasall, der von der Gnade der Martier
zweiplaneten_17_lasswitz_f000118|vielleicht von der Gnade irgendeines untergeordneten Kapitäns lebt, und so alle übrigen Staaten der Erde.|vielleicht von der Gnade irgendeines untergeordneten Kapitäns lebt, und so alle übrigen Staaten der Erde.
zweiplaneten_17_lasswitz_f000119|»Daran habe ich noch nicht gedacht.|Daran habe ich noch nicht gedacht.
zweiplaneten_17_lasswitz_f000120|»Was wollen Sie gegen diese Nume tun?|Was wollen Sie gegen diese Nume tun?
zweiplaneten_17_lasswitz_f000121|Ich will gar nicht von ihrer moralischen Überlegenheit und ihrer höheren Intelligenz reden;|Ich will gar nicht von ihrer moralischen Überlegenheit und ihrer höheren Intelligenz reden;
zweiplaneten_17_lasswitz_f000122|durch diese werden sie wahrscheinlich Mittel finden, uns nach ihrem Willen zu lenken, ehe wir es merken.|durch diese werden sie wahrscheinlich Mittel finden, uns nach ihrem Willen zu lenken, ehe wir es merken.
zweiplaneten_17_lasswitz_f000123|Denken Sie allein an ihre technische Übermacht.|Denken Sie allein an ihre technische Übermacht.
zweiplaneten_17_lasswitz_f000124|»Man wird ihnen ihre Luftschiffe, die übrigens noch gar nicht fertig sind, einfach mit Granaten entzweischießen|Man wird ihnen ihre Luftschiffe, die übrigens noch gar nicht fertig sind, einfach mit Granaten entzweischießen
zweiplaneten_17_lasswitz_f000125|oder man wird sie auf der Erde, wo sie nur kriechen können, gefangennehmen.|oder man wird sie auf der Erde, wo sie nur kriechen können, gefangennehmen.
zweiplaneten_17_lasswitz_f000126|»Das kann vielleicht mit der ersten Abteilung geschehen, die zu uns kommt;|Das kann vielleicht mit der ersten Abteilung geschehen, die zu uns kommt;
zweiplaneten_17_lasswitz_f000127|aber der Mars hat doppelt soviel Bewohner als die ganze Erde.|aber der Mars hat doppelt soviel Bewohner als die ganze Erde.
zweiplaneten_17_lasswitz_f000128|Das zweite Luftschiff würde uns vernichten.|Das zweite Luftschiff würde uns vernichten.
zweiplaneten_17_lasswitz_f000129|Lieber Saltner, Sie haben vorgestern gehört, was Jo von der Raumschiffahrt erzählte.|Lieber Saltner, Sie haben vorgestern gehört, was Jo von der Raumschiffahrt erzählte.
zweiplaneten_17_lasswitz_f000130|Durch ihre Repulsitschüsse erteilen die Martier einer Masse, die auf der Erde zehn Millionen Kilogramm wiegt|Durch ihre Repulsitschüsse erteilen die Martier einer Masse, die auf der Erde zehn Millionen Kilogramm wiegt
zweiplaneten_17_lasswitz_f000131|Geschwindigkeiten von dreißig, vierzig, ja bis einhundert Kilometern. Wissen Sie, was das heißt?|Geschwindigkeiten von dreißig, vierzig, ja bis einhundert Kilometern. Wissen Sie, was das heißt?
zweiplaneten_17_lasswitz_f000132|Leute, die das können, werden aus Entfernungen, wohin kein irdisches Geschütz trägt|Leute, die das können, werden aus Entfernungen, wohin kein irdisches Geschütz trägt
zweiplaneten_17_lasswitz_f000133|ganz Berlin in wenigen Minuten in Trümmer legen, falls sie dies wollen.|ganz Berlin in wenigen Minuten in Trümmer legen, falls sie dies wollen.
zweiplaneten_17_lasswitz_f000134|Die Europäer können dann einmal erleben, was sie sonst an den Wohnstätten armer Wilden getan haben.|Die Europäer können dann einmal erleben, was sie sonst an den Wohnstätten armer Wilden getan haben.
zweiplaneten_17_lasswitz_f000135|Freilich werden die Martier zu edel dazu sein.|Freilich werden die Martier zu edel dazu sein.
zweiplaneten_17_lasswitz_f000136|Sie hätten es wohl auch nicht nötig.|Sie hätten es wohl auch nicht nötig.
zweiplaneten_17_lasswitz_f000137|Sie können die Schwerkraft aufheben.|Sie können die Schwerkraft aufheben.
zweiplaneten_17_lasswitz_f000138|Was nützt uns die größte, tapferste, glänzend geführte Armee, wenn auf einmal Bataillone|Was nützt uns die größte, tapferste, glänzend geführte Armee, wenn auf einmal Bataillone
