mattiapascal_01_pirandello_f000001|Il fu Mattia Pascal di Luigi Pirandello Capitulo Primo Premessa.|Il fu Mattia Pascal di Luigi Pirandello Capitulo Primo Premessa.
mattiapascal_06_pirandello_f000141|subito: un telegramma d'urgenza per smentire quella notizia.|subito: un telegramma d'urgenza per smentire quella notizia.
mattiapascal_06_pirandello_f000142|Il salto che spiccai dal vagone mi salvò: come se mi avesse scosso dal cervello quella stupida fissazione, intravidi in un baleno...|Il salto che spiccai dal vagone mi salvò: come se mi avesse scosso dal cervello quella stupida fissazione, intravidi in un baleno...
mattiapascal_06_pirandello_f000143|ma sì! la mia liberazione la libertà una vita nuova! Avevo con me ottanta due mila lire, e non avrei più dovuto darle a nessuno! Ero morto|ma sì! la mia liberazione la libertà una vita nuova! Avevo con me ottanta due mila lire, e non avrei più dovuto darle a nessuno! Ero morto
mattiapascal_06_pirandello_f000144|ero morto: non avevo più debiti, non avevo più moglie, non avevo più suocera: nessuno! libero! libero! libero! Che cercavo di più?|ero morto: non avevo più debiti, non avevo più moglie, non avevo più suocera: nessuno! libero! libero! libero! Che cercavo di più?
mattiapascal_06_pirandello_f000145|Pensando così, dovevo esser rimasto in un atteggiamento stranissimo, là su la banchina di quella stazione.|Pensando così, dovevo esser rimasto in un atteggiamento stranissimo, là su la banchina di quella stazione.
mattiapascal_06_pirandello_f000146|Avevo lasciato aperto lo sportello del vagone.|Avevo lasciato aperto lo sportello del vagone.
mattiapascal_06_pirandello_f000147|Mi vidi attorno parecchia gente, che mi gridava non so che cosa;|Mi vidi attorno parecchia gente, che mi gridava non so che cosa;
mattiapascal_06_pirandello_f000148|uno, infine, mi scosse e mi spinse, gridandomi più forte:|uno, infine, mi scosse e mi spinse, gridandomi più forte:
mattiapascal_06_pirandello_f000149|— Il treno riparte! — Ma lo lasci, lo lasci ripartire, caro signore! — gli gridai io, a mia volta.|- Il treno riparte! - Ma lo lasci, lo lasci ripartire, caro signore! - gli gridai io, a mia volta.
mattiapascal_06_pirandello_f000150|— Cambio treno!Mi aveva ora assalito un dubbio: il dubbio se quella notizia fosse già stata smentita;|- Cambio treno!Mi aveva ora assalito un dubbio: il dubbio se quella notizia fosse già stata smentita;
mattiapascal_06_pirandello_f000151|se già si fosse riconosciuto l'errore, a Miragno;|se già si fosse riconosciuto l'errore, a Miragno;
mattiapascal_06_pirandello_f000152|se fossero saltati fuori i parenti del vero morto a correggere la falsa identificazione.|se fossero saltati fuori i parenti del vero morto a correggere la falsa identificazione.
mattiapascal_06_pirandello_f000153|Prima di rallegrarmi così, dovevo bene accertarmi, aver notizie precise e particolareggiate.|Prima di rallegrarmi così, dovevo bene accertarmi, aver notizie precise e particolareggiate.
mattiapascal_06_pirandello_f000154|Ma come procurarmele?|Ma come procurarmele?
mattiapascal_06_pirandello_f000155|Mi cercai nelle tasche il giornale.|Mi cercai nelle tasche il giornale.
mattiapascal_06_pirandello_f000156|Lo avevo lasciato in treno.|Lo avevo lasciato in treno.
mattiapascal_06_pirandello_f000157|Mi voltai a guardare il binario deserto, che si snodava lucido per un tratto nella notte silenziosa|Mi voltai a guardare il binario deserto, che si snodava lucido per un tratto nella notte silenziosa
mattiapascal_06_pirandello_f000158|e mi sentii come smarrito, nel vuoto, in quella misera stazionuccia di passaggio.|e mi sentii come smarrito, nel vuoto, in quella misera stazionuccia di passaggio.
mattiapascal_06_pirandello_f000159|Un dubbio più forte mi assalì, allora: che io avessi sognato?|Un dubbio più forte mi assalì, allora: che io avessi sognato?
mattiapascal_06_pirandello_f000160|Ma no: «“Ci telegrafano da Miragno.|Ma no: Ci telegrafano da Miragno.
mattiapascal_06_pirandello_f000161|Jeri, sabato ventotto...|Jeri, sabato ventotto...
mattiapascal_06_pirandello_f000162|Ecco: potevo ripetere a memoria, parola per parola, il telegramma.|Ecco: potevo ripetere a memoria, parola per parola, il telegramma.
mattiapascal_06_pirandello_f000163|Non c'era dubbio! Tuttavia, sì, era troppo poco; non poteva bastarmi.|Non c'era dubbio! Tuttavia, sì, era troppo poco; non poteva bastarmi.
mattiapascal_06_pirandello_f000164|Guardai la stazione; lessi il nome: ALENGA.|Guardai la stazione; lessi il nome: ALENGA.
mattiapascal_06_pirandello_f000165|Avrei trovato in quel paese altri giornali?|Avrei trovato in quel paese altri giornali?
mattiapascal_06_pirandello_f000166|Mi sovvenne che era domenica.|Mi sovvenne che era domenica.
mattiapascal_06_pirandello_f000167|A Miragno, dunque, quella mattina, era uscito Il Foglietto, l'unico giornale che vi si stampasse.|A Miragno, dunque, quella mattina, era uscito Il Foglietto, l'unico giornale che vi si stampasse.
mattiapascal_06_pirandello_f000168|A tutti i costi dovevo procurarmene una copia.|A tutti i costi dovevo procurarmene una copia.
mattiapascal_06_pirandello_f000169|Lì avrei trovato tutte le notizie particolareggiate che m'abbisognavano.|Lì avrei trovato tutte le notizie particolareggiate che m'abbisognavano.
mattiapascal_06_pirandello_f000170|Ma come sperare di trovare ad Alenga Il Foglietto?|Ma come sperare di trovare ad Alenga Il Foglietto?
mattiapascal_06_pirandello_f000171|Ebbene: avrei telegrafato sotto un falso nome alla redazione del giornale.|Ebbene: avrei telegrafato sotto un falso nome alla redazione del giornale.
mattiapascal_06_pirandello_f000172|Conoscevo il direttore, Miro Colzi, Lodoletta come tutti lo chiamavano a Miragno, da quando|Conoscevo il direttore, Miro Colzi, Lodoletta come tutti lo chiamavano a Miragno, da quando
mattiapascal_06_pirandello_f000173|giovinetto, aveva pubblicato con questo titolo gentile il suo primo e ultimo volume di versi.|giovinetto, aveva pubblicato con questo titolo gentile il suo primo e ultimo volume di versi.
mattiapascal_06_pirandello_f000174|Per Lodoletta però non sarebbe stato un avvenimento quella richiesta di copie del suo giornale da Alenga?|Per Lodoletta però non sarebbe stato un avvenimento quella richiesta di copie del suo giornale da Alenga?
mattiapascal_06_pirandello_f000175|Certo la notizia più «interessante» di quella settimana, e perciò il pezzo più forte di quel numero, doveva essere il mio suicidio.|Certo la notizia più interessante di quella settimana, e perciò il pezzo più forte di quel numero, doveva essere il mio suicidio.
mattiapascal_06_pirandello_f000176|E non mi sarei dunque esposto al rischio che la richiesta insolita facesse nascere in lui qualche sospetto?|E non mi sarei dunque esposto al rischio che la richiesta insolita facesse nascere in lui qualche sospetto?
mattiapascal_06_pirandello_f000177|«Ma che!» pensai poi.|Ma che! pensai poi.
mattiapascal_06_pirandello_f000178|«A Lodoletta non può venire in mente ch'io non mi sia affogato davvero.|A Lodoletta non può venire in mente ch'io non mi sia affogato davvero.
mattiapascal_06_pirandello_f000179|Cercherà la ragione della richiesta in qualche altro pezzo forte del suo numero d'oggi.|Cercherà la ragione della richiesta in qualche altro pezzo forte del suo numero d'oggi.
mattiapascal_06_pirandello_f000180|Da tempo combatte strenuamente contro il Municipio per la conduttura dell'acqua e per l'impianto del gas.|Da tempo combatte strenuamente contro il Municipio per la conduttura dell'acqua e per l'impianto del gas.
mattiapascal_06_pirandello_f000181|Crederà piuttosto che sia per questa sua "campagna".|Crederà piuttosto che sia per questa sua campagna.
mattiapascal_06_pirandello_f000182|» Entrai nella stazione.| Entrai nella stazione.
mattiapascal_06_pirandello_f000183|Per fortuna, il vetturino dell'unico legnetto, quello de la posta|Per fortuna, il vetturino dell'unico legnetto, quello de la posta
mattiapascal_06_pirandello_f000184|stava ancora lì a chiacchierare con gl'impiegati ferroviarii: il paesello era a circa tre quarti d'ora di carrozza dalla stazione, e la via era tutta in salita.|stava ancora lì a chiacchierare con gl'impiegati ferroviarii: il paesello era a circa tre quarti d'ora di carrozza dalla stazione, e la via era tutta in salita.
mattiapascal_06_pirandello_f000185|Montai su quel decrepito calessino sgangherato, senza fanali;|Montai su quel decrepito calessino sgangherato, senza fanali;
mattiapascal_06_pirandello_f000186|e via nel buio.|e via nel buio.
mattiapascal_06_pirandello_f000187|Avevo da pensare a tante cose;|Avevo da pensare a tante cose;
mattiapascal_06_pirandello_f000188|pure, di tratto in tratto, la violenta impressione ricevuta alla lettura di quella notizia che mi riguardava così da vicino mi si ridestava in quella nera|pure, di tratto in tratto, la violenta impressione ricevuta alla lettura di quella notizia che mi riguardava così da vicino mi si ridestava in quella nera
mattiapascal_06_pirandello_f000189|ignota solitudine, e mi sentivo, allora, per un attimo, nel vuoto, come poc'anzi alla vista del binario deserto;|ignota solitudine, e mi sentivo, allora, per un attimo, nel vuoto, come poc'anzi alla vista del binario deserto;
mattiapascal_06_pirandello_f000190|mi sentivo paurosamente sciolto dalla vita, superstite di me stesso, sperduto|mi sentivo paurosamente sciolto dalla vita, superstite di me stesso, sperduto
mattiapascal_06_pirandello_f000191|in attesa di vivere oltre la morte, senza intravedere ancora in qual modo.|in attesa di vivere oltre la morte, senza intravedere ancora in qual modo.
mattiapascal_06_pirandello_f000192|Domandai, per distrarmi, al vetturino, se ci fosse ad Alenga un'agenzia giornalistica: — Come dice?|Domandai, per distrarmi, al vetturino, se ci fosse ad Alenga un'agenzia giornalistica: - Come dice?
mattiapascal_06_pirandello_f000193|Nossignore! — Non si vendono giornali ad Alenga? — Ah! sissignore.|Nossignore! - Non si vendono giornali ad Alenga? - Ah! sissignore.
mattiapascal_06_pirandello_f000194|Li vende il farmacista, Grottanelli.|Li vende il farmacista, Grottanelli.
mattiapascal_06_pirandello_f000195|— C'è un albergo? — C'è la locanda del Palmentino.|- C'è un albergo? - C'è la locanda del Palmentino.
mattiapascal_06_pirandello_f000196|Era smontato da cassetta per alleggerire un po' la vecchia rozza che soffiava con le froge a terra.|Era smontato da cassetta per alleggerire un po' la vecchia rozza che soffiava con le froge a terra.
mattiapascal_06_pirandello_f000197|Lo discernevo appena. A un certo punto accese la pipa e lo vidi, allora, come a sbalzi, e pensai: «Se egli sapesse chi porta...|Lo discernevo appena. A un certo punto accese la pipa e lo vidi, allora, come a sbalzi, e pensai: Se egli sapesse chi porta...
mattiapascal_06_pirandello_f000198|Ma ritorsi subito a me stesso la domanda: «Chi porta?|Ma ritorsi subito a me stesso la domanda: Chi porta?
mattiapascal_06_pirandello_f000199|Non lo so più nemmeno io.|Non lo so più nemmeno io.
mattiapascal_06_pirandello_f000200|Chi sono io ora? Bisogna che ci pensi.|Chi sono io ora? Bisogna che ci pensi.
mattiapascal_06_pirandello_f000201|Un nome, almeno, un nome, bisogna che me lo dia subito|Un nome, almeno, un nome, bisogna che me lo dia subito
mattiapascal_06_pirandello_f000202|per firmare il telegramma e per non trovarmi poi imbarazzato se, alla locanda, me lo domandano.|per firmare il telegramma e per non trovarmi poi imbarazzato se, alla locanda, me lo domandano.
mattiapascal_06_pirandello_f000203|Basterà che pensi soltanto al nome, per adesso.|Basterà che pensi soltanto al nome, per adesso.
mattiapascal_06_pirandello_f000204|Vediamo un po'! Come mi chiamo?|Vediamo un po'! Come mi chiamo?
mattiapascal_06_pirandello_f000205|» Non avrei mai supposto che dovesse costarmi tanto stento e destarmi tanta smania la scelta di un nome e di un cognome.| Non avrei mai supposto che dovesse costarmi tanto stento e destarmi tanta smania la scelta di un nome e di un cognome.
mattiapascal_06_pirandello_f000206|Il cognome specialmente! Accozzavo sillabe, così, senza pensare: venivano fuori certi cognomi|Il cognome specialmente! Accozzavo sillabe, così, senza pensare: venivano fuori certi cognomi
mattiapascal_06_pirandello_f000207|come: Strozzani, Parbetta, Martoni, Bartusi, che m'irritavano peggio i nervi.|come: Strozzani, Parbetta, Martoni, Bartusi, che m'irritavano peggio i nervi.
mattiapascal_06_pirandello_f000208|Non vi trovavo alcuna proprietà, alcun senso.|Non vi trovavo alcuna proprietà, alcun senso.
mattiapascal_06_pirandello_f000209|Come se, in fondo, i cognomi dovessero averne...|Come se, in fondo, i cognomi dovessero averne...
mattiapascal_06_pirandello_f000210|Eh, via! uno qualunque... Martoni, per esempio, perché no?|Eh, via! uno qualunque... Martoni, per esempio, perché no?
mattiapascal_06_pirandello_f000211|Carlo Martoni... Uh, ecco fatto! Ma, poco dopo, davo una spallata: «Sì! Carlo Martello...|Carlo Martoni... Uh, ecco fatto! Ma, poco dopo, davo una spallata: Sì! Carlo Martello...
mattiapascal_06_pirandello_f000212|E la smania ricominciava.|E la smania ricominciava.
mattiapascal_06_pirandello_f000213|Giunsi al paese, senza averne fissato alcuno.|Giunsi al paese, senza averne fissato alcuno.
mattiapascal_06_pirandello_f000214|Fortunatamente, là, dal farmacista, ch'era anche ufficiale telegrafico e postale|Fortunatamente, là, dal farmacista, ch'era anche ufficiale telegrafico e postale
mattiapascal_06_pirandello_f000215|droghiere, cartolajo, giornalajo, bestia e non so che altro, non ce ne fu bisogno.|droghiere, cartolajo, giornalajo, bestia e non so che altro, non ce ne fu bisogno.
mattiapascal_06_pirandello_f000216|Comprai una copia dei pochi giornali che gli arrivavano: giornali di Genova: Il Caffaro e Il Secolo Dicianove;|Comprai una copia dei pochi giornali che gli arrivavano: giornali di Genova: Il Caffaro e Il Secolo Dicianove;
mattiapascal_06_pirandello_f000217|gli domandai poi se potevo avere Il Foglietto di Miragno.|gli domandai poi se potevo avere Il Foglietto di Miragno.
mattiapascal_06_pirandello_f000218|Aveva una faccia da civetta, questo Grottanelli con un pajo d'occhi tondi tondi, come di vetro|Aveva una faccia da civetta, questo Grottanelli con un pajo d'occhi tondi tondi, come di vetro
mattiapascal_06_pirandello_f000219|su cui abbassava, di tratto in tratto, quasi con pena certe pàlpebre cartilaginose.|su cui abbassava, di tratto in tratto, quasi con pena certe pàlpebre cartilaginose.
mattiapascal_06_pirandello_f000220|— Il Foglietto? Non lo conosco.|- Il Foglietto? Non lo conosco.
mattiapascal_06_pirandello_f000221|— È un giornaluccio di provincia, settimanale, — gli spiegai.|- È un giornaluccio di provincia, settimanale, - gli spiegai.
mattiapascal_06_pirandello_f000222|— Vorrei averlo. Il numero d'oggi, s'intende.|- Vorrei averlo. Il numero d'oggi, s'intende.
mattiapascal_06_pirandello_f000223|— Il Foglietto? Non lo conosco — badava a ripetere.|- Il Foglietto? Non lo conosco - badava a ripetere.
mattiapascal_06_pirandello_f000224|— E va bene! Non importa che lei non lo conosca: io le pago le spese per un vaglia telegrafico alla redazione.|- E va bene! Non importa che lei non lo conosca: io le pago le spese per un vaglia telegrafico alla redazione.
