tschun_01_f000001|Tschun war ein schmutziger kleiner chinesischer Junge.|Tschun war ein schmutziger kleiner chinesischer Junge.
tschun_06_f000053|Es war, als träufle er Öl auf erregte Wogen, aber Tschun schien es, daß dieses Verfahren, statt die Taitai zu beruhigen, sie nur rastloser mache.|Es war, als träufle er Öl auf erregte Wogen, aber Tschun schien es, daß dieses Verfahren, statt die Taitai zu beruhigen, sie nur rastloser mache.
tschun_06_f000054|Die Boys kannten all die Eigenheiten der verschiedenen Fremden, und sie hatten ihnen allen Spitznamen gegeben.|Die Boys kannten all die Eigenheiten der verschiedenen Fremden, und sie hatten ihnen allen Spitznamen gegeben.
tschun_06_f000055|Sie besprachen den Geiz des einen und die Heftigkeit des anderen, verglichen, in welchem Haushalt die größten Nebenprofite unbemerkt gemacht werden konnten,|Sie besprachen den Geiz des einen und die Heftigkeit des anderen, verglichen, in welchem Haushalt die größten Nebenprofite unbemerkt gemacht werden konnten,
tschun_06_f000056|und erzählten sich untereinander die geheimen Geschichten gegenwärtiger und früherer Herrschaften, – und Tschun,|und erzählten sich untereinander die geheimen Geschichten gegenwärtiger und früherer Herrschaften, - und Tschun,
tschun_06_f000057|der früh reif war, wie jedes orientalische Menschenkind, schnappte es alles begierig auf.|der früh reif war, wie jedes orientalische Menschenkind, schnappte es alles begierig auf.
tschun_06_f000058|Aber neben all ihren oft komischen, oft unverständlichen Eigentümlichkeiten blieb doch immer das eine,|Aber neben all ihren oft komischen, oft unverständlichen Eigentümlichkeiten blieb doch immer das eine,
tschun_06_f000059|daß niemand diesen großen ausländischen Mandarinen vorwerfen konnte, ihre Stellung zu persönlicher Bereicherung auszunutzen.|daß niemand diesen großen ausländischen Mandarinen vorwerfen konnte, ihre Stellung zu persönlicher Bereicherung auszunutzen.
tschun_06_f000060|Darin schienen sie ganz anders zu sein als die chinesischen Würdenträger.|Darin schienen sie ganz anders zu sein als die chinesischen Würdenträger.
tschun_06_f000061|Wenn die Ta-jens der verschiedenen fremden Gesandtschaften sich feierlich in grünen Sänften mit Vorreitern ins Tsungli-Yamen tragen ließen und dort die Reklamationen irgendeines in China beeinträchtigten Landsmannes beinah heftig vertraten,|Wenn die Ta-jens der verschiedenen fremden Gesandtschaften sich feierlich in grünen Sänften mit Vorreitern ins Tsungli-Yamen tragen ließen und dort die Reklamationen irgendeines in China beeinträchtigten Landsmannes beinah heftig vertraten,
tschun_06_f000062|oder die Erteilung einer der vielen begehrten Konzessionen ungestüm für ihn forderten, so handelte es sich dabei nie um irgend einen eigenen Vorteil.|oder die Erteilung einer der vielen begehrten Konzessionen ungestüm für ihn forderten, so handelte es sich dabei nie um irgend einen eigenen Vorteil.
tschun_06_f000063|Tschun erfuhr, daß sie das alles zur Verbreitung höherer Zivilisation täten.|Tschun erfuhr, daß sie das alles zur Verbreitung höherer Zivilisation täten.
tschun_06_f000064|Das war ihm ein ganz neuer Begriff. Wenn nun aber der eine der großen fremden Herren etwas im Tsungli-Yamen erreicht hatte,|Das war ihm ein ganz neuer Begriff. Wenn nun aber der eine der großen fremden Herren etwas im Tsungli-Yamen erreicht hatte,
tschun_06_f000065|ärgerte sich sicher einer der anderen darüber, und das freute den ersten.|ärgerte sich sicher einer der anderen darüber, und das freute den ersten.
tschun_06_f000066|Dann begann sicher gleich der zweite, nun seinerseits große Anstrengungen zu machen.|Dann begann sicher gleich der zweite, nun seinerseits große Anstrengungen zu machen.
tschun_06_f000067|Es erinnerte Tschun an die Wettrennen der Fremden, die weit außerhalb der Mauern Pekings auf einem großen freien Platz gehalten wurden.|Es erinnerte Tschun an die Wettrennen der Fremden, die weit außerhalb der Mauern Pekings auf einem großen freien Platz gehalten wurden.
tschun_06_f000068|Er war mit Kuang yin und den anderen Boys einmal hinausgefahren, um beim Servieren der großen Mahlzeit zu helfen, die die fremden Herrschaften draußen einnahmen.|Er war mit Kuang yin und den anderen Boys einmal hinausgefahren, um beim Servieren der großen Mahlzeit zu helfen, die die fremden Herrschaften draußen einnahmen.
tschun_06_f000069|Dort waren die jungen Herren in bunten seidenen Jacken und Mützen wie wild drauflos geritten und hatten auf ihre mongolischen Ponies tüchtig gehauen,|Dort waren die jungen Herren in bunten seidenen Jacken und Mützen wie wild drauflos geritten und hatten auf ihre mongolischen Ponies tüchtig gehauen,
tschun_06_f000070|weil jeder der erste sein wollte.|weil jeder der erste sein wollte.
tschun_06_f000071|Bei dem einen Rennen war der hübsche Herr, der auch diesmal Weiß trug, der erste gewesen, und der Böse,|Bei dem einen Rennen war der hübsche Herr, der auch diesmal Weiß trug, der erste gewesen, und der Böse,
tschun_06_f000072|der wahrscheinlich auch gern den Preis gewonnen hätte, sah darob besonders böse aus.|der wahrscheinlich auch gern den Preis gewonnen hätte, sah darob besonders böse aus.
tschun_06_f000073|Ja, so ähnlich mußte es mit dem zivilisatorischen Wettbewerb der Fremden in China wohl auch sein, nur daß dies Rennen nie aufhörte, weil immer neue erstrebenswerte Ziele winkten.|Ja, so ähnlich mußte es mit dem zivilisatorischen Wettbewerb der Fremden in China wohl auch sein, nur daß dies Rennen nie aufhörte, weil immer neue erstrebenswerte Ziele winkten.
tschun_06_f000074|Die meisten Leute, wie der greise Großonkel Lin te i, fanden freilich, daß China den Fremden schon viel zu viel zugestanden hätte.|Die meisten Leute, wie der greise Großonkel Lin te i, fanden freilich, daß China den Fremden schon viel zu viel zugestanden hätte.
tschun_06_f000075|Doch die Ta-jens sagten, daß das alles ja gerade zum Besten Chinas selbst führen würde, das sich in einem beklagenswerten Zustand der Rückständigkeit befände.|Doch die Ta-jens sagten, daß das alles ja gerade zum Besten Chinas selbst führen würde, das sich in einem beklagenswerten Zustand der Rückständigkeit befände.
tschun_06_f000076|Es sollte ja durch sie Eisenbahnen erhalten, mit denen man so rasch wie der Wind von einem Ende des Landes zum anderen fahren und Proviant in diejenigen Provinzen bringen könne,|Es sollte ja durch sie Eisenbahnen erhalten, mit denen man so rasch wie der Wind von einem Ende des Landes zum anderen fahren und Proviant in diejenigen Provinzen bringen könne,
tschun_06_f000077|wo gerade die alljährlichen Hungersnöte herrschten;|wo gerade die alljährlichen Hungersnöte herrschten;
tschun_06_f000078|auch wollten sie in der Erde nach Kohle suchen, mit der dann auch ganz arme Menschen winters heizen und warm haben könnten;|auch wollten sie in der Erde nach Kohle suchen, mit der dann auch ganz arme Menschen winters heizen und warm haben könnten;
tschun_06_f000079|und starke neue Kriegsschiffe sowie furchtbare Kanonen und Gewehre wollten sie China aus ihren großen Vorräten daheim verkaufen und von ihren vielen eigenen Militärmandarinen die besten schicken,|und starke neue Kriegsschiffe sowie furchtbare Kanonen und Gewehre wollten sie China aus ihren großen Vorräten daheim verkaufen und von ihren vielen eigenen Militärmandarinen die besten schicken,
tschun_06_f000080|um den Chinesen zu zeigen, wie man diese Waffen gebrauche.|um den Chinesen zu zeigen, wie man diese Waffen gebrauche.
tschun_06_f000081|Ja, sogar Geld wollten sie China leihen.|Ja, sogar Geld wollten sie China leihen.
tschun_06_f000082|Tschun aber dachte, ich hatte doch recht, diese Fremden sind wahrlich bessere Menschen:|Tschun aber dachte, ich hatte doch recht, diese Fremden sind wahrlich bessere Menschen:
tschun_06_f000083|ihre Priester haben uns den wirklichen lieben Gott gebracht, und diese weltlichen Herren wollen uns nun auch noch all die übrigen guten Dinge bringen.|ihre Priester haben uns den wirklichen lieben Gott gebracht, und diese weltlichen Herren wollen uns nun auch noch all die übrigen guten Dinge bringen.
tschun_06_f000084|Sicher wird es einmal sehr schön werden. Wenn es nur recht schnell ginge!|Sicher wird es einmal sehr schön werden. Wenn es nur recht schnell ginge!
tschun_06_f000085|Und Tschun begann in den Mußestunden, die ihm der Dienst bei seiner fremden Herrschaft ließ, dem Zustand seines eigenen Landes nachzuforschen.|Und Tschun begann in den Mußestunden, die ihm der Dienst bei seiner fremden Herrschaft ließ, dem Zustand seines eigenen Landes nachzuforschen.
tschun_06_f000086|Er hatte davon früher wenig gewußt, aber er war ja auch nur ein kleiner Junge gewesen.|Er hatte davon früher wenig gewußt, aber er war ja auch nur ein kleiner Junge gewesen.
tschun_06_f000087|Jetzt erfuhr er, daß es seit einiger Zeit eine ganze Partei von Chinesen gäbe, die auch fanden, daß es um China schlecht bestellt sei,|Jetzt erfuhr er, daß es seit einiger Zeit eine ganze Partei von Chinesen gäbe, die auch fanden, daß es um China schlecht bestellt sei,
tschun_06_f000088|und die es ebenfalls sehr eilig hatten, allerhand Neuerungen einzuführen.|und die es ebenfalls sehr eilig hatten, allerhand Neuerungen einzuführen.
tschun_06_f000089|Diese Gedanken hatten zuerst Leute aus dem fernen Süden Chinas mitgebracht, wo man viel mehr als in Peking mit den Fremden zusammenkommt.|Diese Gedanken hatten zuerst Leute aus dem fernen Süden Chinas mitgebracht, wo man viel mehr als in Peking mit den Fremden zusammenkommt.
tschun_06_f000090|Von denen hatten sie wohl auch den Begriff des Patriotismus gelernt, ein Wort, das Tschun vorher noch nicht vernommen hatte,|Von denen hatten sie wohl auch den Begriff des Patriotismus gelernt, ein Wort, das Tschun vorher noch nicht vernommen hatte,
tschun_06_f000091|und nun wollten sie als gute Patrioten alles im Lande bessern.|und nun wollten sie als gute Patrioten alles im Lande bessern.
tschun_06_f000092|Man nannte sie die Südpartei. Sie hatten auch schon eine Menge Leute in Peking für ihre Ideen gewonnen,|Man nannte sie die Südpartei. Sie hatten auch schon eine Menge Leute in Peking für ihre Ideen gewonnen,
tschun_06_f000093|auch unter den Literaten und großen Herren, aber im ganzen standen ihnen die Mandschus doch recht mißtrauisch gegenüber,|auch unter den Literaten und großen Herren, aber im ganzen standen ihnen die Mandschus doch recht mißtrauisch gegenüber,
tschun_06_f000094|denn sie fürchteten, daß ihnen, die doch die herrschende Rasse waren, von den schlauen Südländern allerhand Vorrechte weggenommen werden könnten.|denn sie fürchteten, daß ihnen, die doch die herrschende Rasse waren, von den schlauen Südländern allerhand Vorrechte weggenommen werden könnten.
tschun_06_f000095|Die so dachten, nannte man die Nordpartei. Am deutlichsten zeigte sich der Gegensatz bei den alljährlichen großen Staatsexamen,|Die so dachten, nannte man die Nordpartei. Am deutlichsten zeigte sich der Gegensatz bei den alljährlichen großen Staatsexamen,
tschun_06_f000096|in der klassischen Weisheit, da wollte jede der beiden Parteien für die Kompetitoren ihrer Seite die meisten und höchsten Preise erlangen.|in der klassischen Weisheit, da wollte jede der beiden Parteien für die Kompetitoren ihrer Seite die meisten und höchsten Preise erlangen.
tschun_06_f000097|Bei den letzten Examen hatten stets die Südländer gesiegt, und ihre Anhängerzahl war dadurch sehr gestiegen. Darob ärgerte sich die Nordpartei.|Bei den letzten Examen hatten stets die Südländer gesiegt, und ihre Anhängerzahl war dadurch sehr gestiegen. Darob ärgerte sich die Nordpartei.
tschun_06_f000098|Über all diese Dinge hörte Tschun die chinesischen Lehrer sprechen, die alltäglich in die Gesandtschaft kamen,|Über all diese Dinge hörte Tschun die chinesischen Lehrer sprechen, die alltäglich in die Gesandtschaft kamen,
tschun_06_f000099|um den Dolmetschern Stunden zu geben und ihnen beim Schreiben der Briefe an das Tsungli-Yamen zu helfen,|um den Dolmetschern Stunden zu geben und ihnen beim Schreiben der Briefe an das Tsungli-Yamen zu helfen,
tschun_06_f000100|denn diese Herren waren ja selbst Literaten und interessierten sich infolgedessen sehr für alles, was mit den klassischen Examen zu tun hatte.|denn diese Herren waren ja selbst Literaten und interessierten sich infolgedessen sehr für alles, was mit den klassischen Examen zu tun hatte.
tschun_06_f000101|Sie gingen auch viel in die Teehäuser und kannten alle Gerüchte, von denen da gemunkelt wurde.|Sie gingen auch viel in die Teehäuser und kannten alle Gerüchte, von denen da gemunkelt wurde.
tschun_06_f000102|Sie erzählten, daß bisher der greise Prinz Kung, ein Verwandter des Kaisers, zwischen beiden Parteien weise vermittelt habe,|Sie erzählten, daß bisher der greise Prinz Kung, ein Verwandter des Kaisers, zwischen beiden Parteien weise vermittelt habe,
tschun_06_f000103|aber der war nun tot, und seitdem hatten sich die Gegensätze noch sehr verschärft.|aber der war nun tot, und seitdem hatten sich die Gegensätze noch sehr verschärft.
tschun_06_f000104|Führer der Südpartei war der Gelehrte Weng tung ho, der früher den jetzt regierenden jungen Kaiser Kwang Hsü im Palast zur glücklichen Erziehung unterrichtet hatte und der seither viel Einfluß auf seinen einstmaligen Schüler besitzen sollte.|Führer der Südpartei war der Gelehrte Weng tung ho, der früher den jetzt regierenden jungen Kaiser Kwang Hsü im Palast zur glücklichen Erziehung unterrichtet hatte und der seither viel Einfluß auf seinen einstmaligen Schüler besitzen sollte.
tschun_06_f000105|Ihm stand als Führer der Nordpartei der ebenfalls sehr gelehrte Hsütung gegenüber.|Ihm stand als Führer der Nordpartei der ebenfalls sehr gelehrte Hsütung gegenüber.
tschun_06_f000106|Der war der Lehrer des vorherigen Kaisers Tungtschi gewesen, des Sohnes der alten Kaiserin-Witwe Tzü Hsi, und es hieß, daß er viel bei dieser gelte.|Der war der Lehrer des vorherigen Kaisers Tungtschi gewesen, des Sohnes der alten Kaiserin-Witwe Tzü Hsi, und es hieß, daß er viel bei dieser gelte.
tschun_06_f000107|Nach diesen Freundschaften der beiden Allerhöchsten im Lande belegte man die Nördlichen mit dem unehrerbietigen Spitznamen Alte-Mutter-Sippe,|Nach diesen Freundschaften der beiden Allerhöchsten im Lande belegte man die Nördlichen mit dem unehrerbietigen Spitznamen Alte-Mutter-Sippe,
tschun_06_f000108|die Südlichen dagegen nannte man Kleine-Knaben-Sippe.|die Südlichen dagegen nannte man Kleine-Knaben-Sippe.
tschun_06_f000109|Tschun hielt es in seinem Herzen mit den kleinen Knaben.|Tschun hielt es in seinem Herzen mit den kleinen Knaben.
tschun_06_f000110|Die standen ihm ja auch näher. Dabei war er erstaunt, zu sehen, daß die fremden Gesandten diesen Strömungen merkwürdig gleichgültig gegenüberstanden,|Die standen ihm ja auch näher. Dabei war er erstaunt, zu sehen, daß die fremden Gesandten diesen Strömungen merkwürdig gleichgültig gegenüberstanden,
tschun_06_f000111|obschon die Südpartei eigentlich lauter Dinge einführen wollte, die sie selbst seit Jahren anempfohlen hatten.|obschon die Südpartei eigentlich lauter Dinge einführen wollte, die sie selbst seit Jahren anempfohlen hatten.
tschun_06_f000112|Aber es war beinah, als hätten die Fremden allmählich eine Erweckung Chinas als aussichtslos aufgegeben und sich mit den Zuständen abgefunden, wie sie nun einmal waren.|Aber es war beinah, als hätten die Fremden allmählich eine Erweckung Chinas als aussichtslos aufgegeben und sich mit den Zuständen abgefunden, wie sie nun einmal waren.
tschun_06_f000113|Mit praktischem Sinn nahmen sie von den zwei ringenden Gruppen nur insofern Notiz, als sie zu ergründen suchten,|Mit praktischem Sinn nahmen sie von den zwei ringenden Gruppen nur insofern Notiz, als sie zu ergründen suchten,
tschun_06_f000114|zu welchem ihrer eigenen Länder jede der beiden Parteien neige, und wem sie daher den Sieg wünschen sollten.|zu welchem ihrer eigenen Länder jede der beiden Parteien neige, und wem sie daher den Sieg wünschen sollten.
tschun_06_f000115|Die chinesischen Lehrer meinten, daß die Nördlichen es mit Rußland hielten, dessen Gepflogenheiten und Regierungsmethoden ihnen wohl am verwandtesten erschienen,|Die chinesischen Lehrer meinten, daß die Nördlichen es mit Rußland hielten, dessen Gepflogenheiten und Regierungsmethoden ihnen wohl am verwandtesten erschienen,
