ritrattodeldiavolo_01_barrili_f000001|IL RITRATTO DEL DIAVOLO di ANTON GIULIO BARRILI CAPITULO PRIMO.|IL RITRATTO DEL DIAVOLO di ANTON GIULIO BARRILI CAPITULO PRIMO.
ritrattodeldiavolo_03_barrili_f000050|Mentre faceva quei progressi nel cuore di lei, e forse per la stessa ragione che li faceva|Mentre faceva quei progressi nel cuore di lei, e forse per la stessa ragione che li faceva
ritrattodeldiavolo_03_barrili_f000051|il nostro Spinello avanzava rapidamente nella disciplina che aveva con tanto ardore abbracciata.|il nostro Spinello avanzava rapidamente nella disciplina che aveva con tanto ardore abbracciata.
ritrattodeldiavolo_03_barrili_f000052|Imparava facilmente quel che oggi si chiama il meccanismo dell'arte.|Imparava facilmente quel che oggi si chiama il meccanismo dell'arte.
ritrattodeldiavolo_03_barrili_f000053|Sapeva come si dovessero unire i colori, a fresco e a tempera, o come si avessero a dipingere le carni e i panni|Sapeva come si dovessero unire i colori, a fresco e a tempera, o come si avessero a dipingere le carni e i panni
ritrattodeldiavolo_03_barrili_f000054|per modo che ne venisse rilievo e forza alle figure, mostrando l'opera chiara ed aperta;|per modo che ne venisse rilievo e forza alle figure, mostrando l'opera chiara ed aperta;
ritrattodeldiavolo_03_barrili_f000055|conosceva quali colori si dovessero usare nel dipingere a fresco, cioè tutti di terra e non di miniere;|conosceva quali colori si dovessero usare nel dipingere a fresco, cioè tutti di terra e non di miniere;
ritrattodeldiavolo_03_barrili_f000056|con che risolutezza di mano si avesse a condurre il lavoro|con che risolutezza di mano si avesse a condurre il lavoro
ritrattodeldiavolo_03_barrili_f000057|prima che l'intonaco del muro potesse disseccarsi, e qual forza dovesse dare al colore|prima che l'intonaco del muro potesse disseccarsi, e qual forza dovesse dare al colore
ritrattodeldiavolo_03_barrili_f000058|perchè le tinte, mentre che il muro è molle, mostrano una cosa in un modo, che poi, secco il muro, non è più quella di prima.|perchè le tinte, mentre che il muro è molle, mostrano una cosa in un modo, che poi, secco il muro, non è più quella di prima.
ritrattodeldiavolo_03_barrili_f000059|Ed altre cose aveva prontamente imparate, con potenza di desiderio, anzichè per pratica;|Ed altre cose aveva prontamente imparate, con potenza di desiderio, anzichè per pratica;
ritrattodeldiavolo_03_barrili_f000060|del dipingere a tempera, cioè col rosso dell'uovo e col latte del fico mescolati nei colori;|del dipingere a tempera, cioè col rosso dell'uovo e col latte del fico mescolati nei colori;
ritrattodeldiavolo_03_barrili_f000061|del dipingere a chiaroscuro, contraffacendo le cose di bronzo: e finalmente del fare gli sgraffiti sulle mura|del dipingere a chiaroscuro, contraffacendo le cose di bronzo: e finalmente del fare gli sgraffiti sulle mura
ritrattodeldiavolo_03_barrili_f000062|per modo che reggessero all'acqua piovana.|per modo che reggessero all'acqua piovana.
ritrattodeldiavolo_03_barrili_f000063|E tutto ciò senza rifarsi pure una volta ai principii.|E tutto ciò senza rifarsi pure una volta ai principii.
ritrattodeldiavolo_03_barrili_f000064|Tirato dalla sua inclinazione a schizzare dal vivo, od altrimenti dal naturale, Spinello Spinelli era già andato molto innanzi nel disegno|Tirato dalla sua inclinazione a schizzare dal vivo, od altrimenti dal naturale, Spinello Spinelli era già andato molto innanzi nel disegno
ritrattodeldiavolo_03_barrili_f000065|esprimendo col lapis rosso di Lamagna, o col nero di Francia, figure, atteggiamenti, partiti di pieghe, od altro che gli toccasse l'animo.|esprimendo col lapis rosso di Lamagna, o col nero di Francia, figure, atteggiamenti, partiti di pieghe, od altro che gli toccasse l'animo.
ritrattodeldiavolo_03_barrili_f000066|Così lavorando, aveva acquistato una maravigliosa destrezza a fare con la penna i dintorni delle cose vedute|Così lavorando, aveva acquistato una maravigliosa destrezza a fare con la penna i dintorni delle cose vedute
ritrattodeldiavolo_03_barrili_f000067|dando le velature e le ombre con una tinta dolce, che otteneva dall'inchiostro stemperato nell'acqua.|dando le velature e le ombre con una tinta dolce, che otteneva dall'inchiostro stemperato nell'acqua.
ritrattodeldiavolo_03_barrili_f000068|E da ultimo, come abbiamo veduto dai disegni suoi, che erano andati sotto gli occhi di mastro Jacopo|E da ultimo, come abbiamo veduto dai disegni suoi, che erano andati sotto gli occhi di mastro Jacopo
ritrattodeldiavolo_03_barrili_f000069|faceva ogni cosa a tratti di penna, lasciando che i lumi delle figure fossero resi dal bianco della carta.|faceva ogni cosa a tratti di penna, lasciando che i lumi delle figure fossero resi dal bianco della carta.
ritrattodeldiavolo_03_barrili_f000070|Del resto, in quei cominciamenti della pittura mancavano i grandi esemplari da proporre ai discepoli, e ognuno ritraeva dal vero|Del resto, in quei cominciamenti della pittura mancavano i grandi esemplari da proporre ai discepoli, e ognuno ritraeva dal vero
ritrattodeldiavolo_03_barrili_f000071|portando nell'opera quei medesimi difetti e qualità, che erano nell'occhio di ciascheduno, e nel suo modo particolare di veder la natura.|portando nell'opera quei medesimi difetti e qualità, che erano nell'occhio di ciascheduno, e nel suo modo particolare di veder la natura.
ritrattodeldiavolo_03_barrili_f000072|Che se a voi, lettori discreti, paresse strano il caso di tanti pittori i quali vedevano la figura umana più smilza del naturale|Che se a voi, lettori discreti, paresse strano il caso di tanti pittori i quali vedevano la figura umana più smilza del naturale
ritrattodeldiavolo_03_barrili_f000073|di guisa che nei dipinti di quel secolo non si scorge ombra di quella pienezza di forme che è tanto comune in natura|di guisa che nei dipinti di quel secolo non si scorge ombra di quella pienezza di forme che è tanto comune in natura
ritrattodeldiavolo_03_barrili_f000074|io vi pregherò di ricordare che quei bravi rinnovatori dell'arte escivano allora dagli stecchi della pittura bisantina|io vi pregherò di ricordare che quei bravi rinnovatori dell'arte escivano allora dagli stecchi della pittura bisantina
ritrattodeldiavolo_03_barrili_f000075|e, per vedere tutto il vero nel vero, dovette mancar loro il coraggio. Natura non facit saltum, si è detto;|e, per vedere tutto il vero nel vero, dovette mancar loro il coraggio. Natura non facit saltum, si è detto;
ritrattodeldiavolo_03_barrili_f000076|anche l'arte ha dovuto andare per gradi.|anche l'arte ha dovuto andare per gradi.
ritrattodeldiavolo_03_barrili_f000077|Per contro, se i pittori della scuola di Giotto davano ancora troppo nello smilzo, avevano già la cura lodevole del finito;|Per contro, se i pittori della scuola di Giotto davano ancora troppo nello smilzo, avevano già la cura lodevole del finito;
ritrattodeldiavolo_03_barrili_f000078|laonde se i corpi delle loro figure, asciutti come sono, accusano la povertà degli studi anatomici|laonde se i corpi delle loro figure, asciutti come sono, accusano la povertà degli studi anatomici
ritrattodeldiavolo_03_barrili_f000079|la espressione dei volti e diligenza nel disegnare le estremità|la espressione dei volti e diligenza nel disegnare le estremità
ritrattodeldiavolo_03_barrili_f000080|ci appalesano quel sentimento profondo della verità|ci appalesano quel sentimento profondo della verità
ritrattodeldiavolo_03_barrili_f000081|che doveva rifare di sana pianta le arti figurative e non far rimpiangere al mondo la perdita dei capolavori di Apelle e di Zeusi.|che doveva rifare di sana pianta le arti figurative e non far rimpiangere al mondo la perdita dei capolavori di Apelle e di Zeusi.
ritrattodeldiavolo_03_barrili_f000082|Ho detto, e ritorno a Spinello Spinelli.|Ho detto, e ritorno a Spinello Spinelli.
ritrattodeldiavolo_03_barrili_f000083|Il quale, vedendo operare mastro Jacopo di Casentino|Il quale, vedendo operare mastro Jacopo di Casentino
ritrattodeldiavolo_03_barrili_f000084|si accese del desiderio di dipingere a fresco, che era in quei tempi il sommo dell'arte.|si accese del desiderio di dipingere a fresco, che era in quei tempi il sommo dell'arte.
ritrattodeldiavolo_03_barrili_f000085|Ma tacque il suo pensiero, che gli pareva troppo audace, anzi temerario senz'altro|Ma tacque il suo pensiero, che gli pareva troppo audace, anzi temerario senz'altro
ritrattodeldiavolo_03_barrili_f000086|e si restrinse ad osservare il modo con cui mastro Jacopo preparava i cartoni|e si restrinse ad osservare il modo con cui mastro Jacopo preparava i cartoni
ritrattodeldiavolo_03_barrili_f000087|ringrandendo a vaste proporzioni i suoi disegni, e qualche volta|ringrandendo a vaste proporzioni i suoi disegni, e qualche volta
ritrattodeldiavolo_03_barrili_f000088|ad ottenere i giusti effetti di luce e d'ombra, facendo modelli di creta, i quali disposti in una data azione tra loro|ad ottenere i giusti effetti di luce e d'ombra, facendo modelli di creta, i quali disposti in una data azione tra loro
ritrattodeldiavolo_03_barrili_f000089|lasciavano vedere gli sbattimenti, i rilievi, e tutte l'altre particolarità di cui si vantaggia la prospettiva d'un quadro.|lasciavano vedere gli sbattimenti, i rilievi, e tutte l'altre particolarità di cui si vantaggia la prospettiva d'un quadro.
ritrattodeldiavolo_03_barrili_f000090|Tre mesi erano scorsi dacchè Spinello viveva al fianco di mastro Jacopo, e il giovinotto, a mala pena ventenne|Tre mesi erano scorsi dacchè Spinello viveva al fianco di mastro Jacopo, e il giovinotto, a mala pena ventenne
ritrattodeldiavolo_03_barrili_f000091|aiutava già il principale negli affreschi del Duomo Vecchio, di quel Duomo in cui per la prima volta aveva veduto madonna Fiordalisa.|aiutava già il principale negli affreschi del Duomo Vecchio, di quel Duomo in cui per la prima volta aveva veduto madonna Fiordalisa.
ritrattodeldiavolo_03_barrili_f000092|S'intende che Spinello tratteggiava sull'intonaco i disegni del maestro, e sotto gli occhi di lui ci metteva il colore.|S'intende che Spinello tratteggiava sull'intonaco i disegni del maestro, e sotto gli occhi di lui ci metteva il colore.
ritrattodeldiavolo_03_barrili_f000093|Immaginate voi come si struggessero di rabbia i compagni di Spinello.|Immaginate voi come si struggessero di rabbia i compagni di Spinello.
ritrattodeldiavolo_03_barrili_f000094|Escludiamo, per altro, il povero Parri della Quercia, modesto e buon giovane|Escludiamo, per altro, il povero Parri della Quercia, modesto e buon giovane
ritrattodeldiavolo_03_barrili_f000095|il quale non si sentiva nato per la grand'arte dell'affresco e si contentava di lavorare a tempera certi trittici|il quale non si sentiva nato per la grand'arte dell'affresco e si contentava di lavorare a tempera certi trittici
ritrattodeldiavolo_03_barrili_f000096|e pale d'altare, che erano commesse a mastro Jacopo da qualche pieve, o da qualche oratorio del contado.|e pale d'altare, che erano commesse a mastro Jacopo da qualche pieve, o da qualche oratorio del contado.
ritrattodeldiavolo_03_barrili_f000097|L'affresco voleva ardimento d'ingegno, franchezza di mano, sicurezza di giudizio.|L'affresco voleva ardimento d'ingegno, franchezza di mano, sicurezza di giudizio.
ritrattodeldiavolo_03_barrili_f000098|e tante altre belle qualità, che non erano nell'indole di Parri.|e tante altre belle qualità, che non erano nell'indole di Parri.
ritrattodeldiavolo_03_barrili_f000099|Ma gli altri discepoli di mastro Jacopo, assai meno valenti di Parri della Quercia, erano anche assai meno modesti di lui|Ma gli altri discepoli di mastro Jacopo, assai meno valenti di Parri della Quercia, erano anche assai meno modesti di lui
ritrattodeldiavolo_03_barrili_f000100|e si rodevano di vedere quel nuovo venuto, che si spingeva in brev'ora tanto innanzi nel magistero dell'arte|e si rodevano di vedere quel nuovo venuto, che si spingeva in brev'ora tanto innanzi nel magistero dell'arte
ritrattodeldiavolo_03_barrili_f000101|e, quel ch'era peggio, nelle grazie del maestro.|e, quel ch'era peggio, nelle grazie del maestro.
ritrattodeldiavolo_03_barrili_f000102|Un giorno, essendo Spinello a lavorare sulle impalcature del Duomo, in compagnia di mastro Jacopo, questi gli disse di punto in bianco:|Un giorno, essendo Spinello a lavorare sulle impalcature del Duomo, in compagnia di mastro Jacopo, questi gli disse di punto in bianco:
ritrattodeldiavolo_03_barrili_f000103|--Ragazzo mio, è tempo che tu voli da te.|--Ragazzo mio, è tempo che tu voli da te.
ritrattodeldiavolo_03_barrili_f000104|--Volare da me!--esclamò il giovine levando gli occhi dal muro, per guardare il maestro.|--Volare da me!--esclamò il giovine levando gli occhi dal muro, per guardare il maestro.
ritrattodeldiavolo_03_barrili_f000105|--Che intendete di dire? --Mi sembra di parlar chiaro; --ripigliò mastro Jacopo.|--Che intendete di dire? --Mi sembra di parlar chiaro; --ripigliò mastro Jacopo.
ritrattodeldiavolo_03_barrili_f000106|--Il tuo ingegno ha messe le penne maestre; puoi volare senza aiuto di chicchessia.|--Il tuo ingegno ha messe le penne maestre; puoi volare senza aiuto di chicchessia.
ritrattodeldiavolo_03_barrili_f000107|Spinello si fece rosso, chinò la fronte e rispose:|Spinello si fece rosso, chinò la fronte e rispose:
ritrattodeldiavolo_03_barrili_f000108|--Maestro, al fianco vostro ho un cuor da leone.|--Maestro, al fianco vostro ho un cuor da leone.
ritrattodeldiavolo_03_barrili_f000109|Ma da solo! Ci pensate voi! Non mi avverrà egli dì fare come quell'Icaro di Creta, che perse le penne e andò a sommergersi in mare?|Ma da solo! Ci pensate voi! Non mi avverrà egli dì fare come quell'Icaro di Creta, che perse le penne e andò a sommergersi in mare?
ritrattodeldiavolo_03_barrili_f000110|--Vedete la modestia, che è andata a stare ad uscio e bottega coi giovani!--gridò mastro Jacopo, ridendo.|--Vedete la modestia, che è andata a stare ad uscio e bottega coi giovani!--gridò mastro Jacopo, ridendo.
ritrattodeldiavolo_03_barrili_f000111|--Ma sia pur giusto il paragone che tu fai delle tue ali con quelle d'Icaro.|--Ma sia pur giusto il paragone che tu fai delle tue ali con quelle d'Icaro.
ritrattodeldiavolo_03_barrili_f000112|Nessuno ti dice che tu abbia a discostarti dal tuo maestro, dal tuo secondo padre.|Nessuno ti dice che tu abbia a discostarti dal tuo maestro, dal tuo secondo padre.
ritrattodeldiavolo_03_barrili_f000113|Lavorerai sotto i miei occhi, se Dio vuole, e baderai sempre ai miei consigli.|Lavorerai sotto i miei occhi, se Dio vuole, e baderai sempre ai miei consigli.
ritrattodeldiavolo_03_barrili_f000114|Hai risolutezza di mano e buon giudizio per fare da te. Vuoi?|Hai risolutezza di mano e buon giudizio per fare da te. Vuoi?
ritrattodeldiavolo_03_barrili_f000115|C'è da dipingere, nella cappella qui presso, un Miracolo di san Donato.|C'è da dipingere, nella cappella qui presso, un Miracolo di san Donato.
ritrattodeldiavolo_03_barrili_f000116|L'opera è di grande rilievo, perchè il santo è qui in casa sua; ma ho fede che te la caverai con onore. --Maestro, e se mi fallisse la prova?|L'opera è di grande rilievo, perchè il santo è qui in casa sua; ma ho fede che te la caverai con onore. --Maestro, e se mi fallisse la prova?
ritrattodeldiavolo_03_barrili_f000117|Vorranno poi i massari della chiesa commettere a me un'opera di tanta importanza? --Non lo sapranno che poi;|Vorranno poi i massari della chiesa commettere a me un'opera di tanta importanza? --Non lo sapranno che poi;
ritrattodeldiavolo_03_barrili_f000118|--rispose mastro Jacopo, dando un'alzata di spalle.|--rispose mastro Jacopo, dando un'alzata di spalle.
ritrattodeldiavolo_03_barrili_f000119|--E noi cancelleremo il dipinto, se non riescirà secondo le speranze che io ho concepite di te. Spinello tuttavia esitava.|--E noi cancelleremo il dipinto, se non riescirà secondo le speranze che io ho concepite di te. Spinello tuttavia esitava.
ritrattodeldiavolo_03_barrili_f000120|--Bell'ardire!--esclamò mastro Jacopo,--Così ami tu Fiordalisa?|--Bell'ardire!--esclamò mastro Jacopo,--Così ami tu Fiordalisa?
